cohort	gene	endpoint	n_NMPR_or_NR	n_MPR_or_R	n_patients	mean_NMPR_or_NR	mean_MPR_or_R	hedges_g	g_se	mwu_p	rank_biserial	note
GSE207422 (A3, epithelial)	TACSTD2	MPR	8	4	12	1.7924261083771964	1.5904965393074169	0.32343123763410053	0.6159209826713951	0.6828282828282828	0.1875	Hu 2023 public UMI; post-tx only; all epithelial; pCR with MPR; A3 MPR labels taken as given
GSE207422 (A3, epithelial)	CLDN4	MPR	8	4	12	1.6400244802373654	1.7635701366454613	-0.2479022742004526	0.6144596385427388	0.5696969696969697	-0.25	Hu 2023 public UMI; post-tx only; all epithelial; pCR with MPR; A3 MPR labels taken as given
GSE207422 malignant-like (sensitivity)	TACSTD2	MPR	8	2	10	1.6500912186398047	1.5614652921422874	0.09094153256863187	0.7908309036180217	0.888888888888889	0.125	marker epithelial AND zero SFTPA2/AGER/SCGB1A1/SCGB3A1/TPPP3; 2/4 MPR have 0 malignant-like cells
GSE207422 malignant-like (sensitivity)	CLDN4	MPR	8	2	10	1.4895233342528025	0.7124259359866942	0.7410686899635237	0.8077494290695677	0.5333333333333333	0.375	marker epithelial AND zero SFTPA2/AGER/SCGB1A1/SCGB3A1/TPPP3; 2/4 MPR have 0 malignant-like cells
GSE241934 IIT	TACSTD2	MPR	7	4	11	1.5801220249695873	1.583820797552848	-0.01158782200713115	0.6267880394401869	1.0	0.0	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE241934 IIT	CLDN4	MPR	7	4	11	1.5719152300710981	1.709189050879711	-0.47860827293817837	0.635034824448879	0.5272727272727272	-0.2857142857142857	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE241934 Real	TACSTD2	MPR	18	6	24	1.3965822938208121	1.4780265078293482	-0.18150099251814591	0.47213189534616407	1.0	0.0	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE241934 Real	CLDN4	MPR	18	6	24	1.5921602369500056	1.403982690172433	0.41121770381458606	0.47512644515690955	0.45368361615501207	0.22222222222222232	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE241934 IIT+Real (pooled patients)	TACSTD2	MPR	25	10	35	1.4479734185424693	1.520344223718748	-0.1800046951412927	0.3747837793843445	0.9563199039155035	-0.016000000000000014	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE241934 IIT+Real (pooled patients)	CLDN4	MPR	25	10	35	1.5864916350239116	1.526065234455344	0.14961411730938995	0.3745928148212263	0.674543438343884	0.09600000000000009	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)
GSE291670	TACSTD2	MPR	3	3	6	0.09932343165079749	0.22604035337766012	-1.031937364667854	0.8691420446143827	0.2	-0.7777777777777778	Xia 2025; 3 vs 3; marker malignant; mean log1p(CP10k); exact MWU min p at 3v3 is 0.10
GSE291670	CLDN4	MPR	3	3	6	0.12103709951043128	0.20936544239521024	-0.7838338734552281	0.8472699068761887	0.4	-0.5555555555555556	Xia 2025; 3 vs 3; marker malignant; mean log1p(CP10k); exact MWU min p at 3v3 is 0.10
GSE205335	TACSTD2	RECIST	10	6	16	1.0590871508471427	0.9998837835011353	0.07862025509671557	0.5165847727456261	0.9577922077922078	0.03333333333333344	Kim/Ahn 2024; author malignant; R=PR, NR=SD/PD; NE dropped; 3 R + 1 NR had 0 malignant cells
GSE205335	CLDN4	RECIST	10	6	16	1.1692225611220342	1.363065272908045	-0.35490831429372977	0.5201950729320249	0.5621878121878122	-0.19999999999999996	author malignant; R=PR, NR=SD/PD
