cohort	gene	endpoint	metric	n_NMPR_or_NR	n_MPR_or_R	n_patients	mean_NMPR_or_NR	mean_MPR_or_R	sd_NMPR_or_NR	sd_MPR_or_R	hedges_g	g_se	g_var	mwu_U	mwu_p	rank_biserial	rb_se	rb_var	note	n1	n2	g	var
GSE207422 (A3, epithelial)	TACSTD2	MPR	epi_TACSTD2_mean_log1p	8	4	12	1.7924261083771964	1.5904965393074169	0.6386769415151464	0.39411074318862105	0.32343123763410053	0.6159209826713951	0.3793586568948969	19.0	0.6828282828282828	0.1875	0.3679900360969936	0.13541666666666666	Hu 2023 public UMI; post-tx only; all epithelial; pCR with MPR; A3 MPR labels taken as given	8	4	0.32343123763410053	0.3793586568948969
GSE207422 (A3, epithelial)	CLDN4	MPR	epi_CLDN4_mean_log1p	8	4	12	1.6400244802373654	1.7635701366454613	0.5157344717557747	0.29119816647534547	-0.2479022742004526	0.6144596385427388	0.37756064739807316	12.0	0.5696969696969697	-0.25	0.3679900360969936	0.13541666666666666	Hu 2023 public UMI; post-tx only; all epithelial; pCR with MPR; A3 MPR labels taken as given	8	4	-0.2479022742004526	0.37756064739807316
GSE207422 malignant-like (sensitivity)	TACSTD2	MPR	malig_TACSTD2_mean_log1p	8	2	10	1.6500912186398047	1.5614652921422874	0.9182907850549913	0.5436871306309846	0.09094153256863187	0.7908309036180217	0.6254135181172966	9.0	0.888888888888889	0.125	0.47871355387816905	0.22916666666666666	marker epithelial AND zero SFTPA2/AGER/SCGB1A1/SCGB3A1/TPPP3; 2/4 MPR have 0 malignant-like cells	8	2	0.09094153256863187	0.6254135181172966
GSE207422 malignant-like (sensitivity)	CLDN4	MPR	malig_CLDN4_mean_log1p	8	2	10	1.4895233342528025	0.7124259359866942	0.9381946108924671	1.0075224208587295	0.7410686899635237	0.8077494290695677	0.6524591401622126	11.0	0.5333333333333333	0.375	0.47871355387816905	0.22916666666666666	marker epithelial AND zero SFTPA2/AGER/SCGB1A1/SCGB3A1/TPPP3; 2/4 MPR have 0 malignant-like cells	8	2	0.7410686899635237	0.6524591401622126
GSE241934 IIT	TACSTD2	MPR	malignant_TACSTD2_mean_log1p	7	4	11	1.5801220249695873	1.583820797552848	0.28780816629316247	0.2997271398916323	-0.01158782200713115	0.6267880394401869	0.39286324638527326	14.0	1.0	0.0	0.37796447300922725	0.14285714285714288	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	7	4	-0.01158782200713115	0.39286324638527326
GSE241934 IIT	CLDN4	MPR	malignant_CLDN4_mean_log1p	7	4	11	1.5719152300710981	1.709189050879711	0.165612584059506	0.38915984949143556	-0.47860827293817837	0.635034824448879	0.4032692282628186	10.0	0.5272727272727272	-0.2857142857142857	0.37796447300922725	0.14285714285714288	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	7	4	-0.47860827293817837	0.4032692282628186
GSE241934 Real	TACSTD2	MPR	malignant_TACSTD2_mean_log1p	18	6	24	1.3965822938208121	1.4780265078293482	0.455738240512373	0.34604010340476155	-0.18150099251814591	0.47213189534616407	0.2229085266031612	54.0	1.0	0.0	0.2777777777777778	0.0771604938271605	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	18	6	-0.18150099251814591	0.2229085266031612
GSE241934 Real	CLDN4	MPR	malignant_CLDN4_mean_log1p	18	6	24	1.5921602369500056	1.403982690172433	0.48606434816124494	0.23593370160930144	0.41121770381458606	0.47512644515690955	0.2257451388874418	66.0	0.45368361615501207	0.22222222222222232	0.2777777777777778	0.0771604938271605	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	18	6	0.41121770381458606	0.2257451388874418
GSE241934 IIT+Real (pooled patients)	TACSTD2	MPR	malignant_TACSTD2_mean_log1p	25	10	35	1.4479734185424693	1.520344223718748	0.41821235271329543	0.3153639303612722	-0.1800046951412927	0.3747837793843445	0.140462881289613	123.0	0.9563199039155035	-0.016000000000000014	0.21908902300206645	0.048	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	25	10	-0.1800046951412927	0.140462881289613
GSE241934 IIT+Real (pooled patients)	CLDN4	MPR	malignant_CLDN4_mean_log1p	25	10	35	1.5864916350239116	1.526065234455344	0.41748384316696663	0.32595533733298826	0.14961411730938995	0.3745928148212263	0.14031977691568956	137.0	0.674543438343884	0.09600000000000009	0.21908902300206645	0.048	author Epi labels; pCR with MPR; min 20 Epi cells; mean log1p(UMI)	25	10	0.14961411730938995	0.14031977691568956
