accession	pdat	n_samples	gdstype	must_try	mentions_mpr	mentions_recist	mentions_scrna	mentions_lung	title
GSE205335	2024/11/05	33	Expression profiling by high throughput sequencing	True	False	False	True	True	Single-cell transcriptome profiles of tumor tissues from lung cancer patients receiving immune checkpoint inhibitors.
GSE207422	2023/03/21	39	Expression profiling by high throughput sequencing	True	True	False	True	True	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing
GSE218989	2024/02/14	355	Expression profiling by high throughput sequencing	False	True	False	True	True	Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types
GSE229353	2023/05/16	7	Expression profiling by high throughput sequencing	False	True	False	True	True	PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells
GSE241934	2024/05/17	88	Expression profiling by high throughput sequencing; Other	True	True	False	True	True	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)
GSE243013	2025/01/28	243	Expression profiling by high throughput sequencing	True	True	False	True	True	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer
GSE267026	2026/02/05	24	Expression profiling by high throughput sequencing; Other	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]
GSE267027	2026/02/05	9	Expression profiling by high throughput sequencing; Other	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]
GSE280232	2024/10/24	42	Expression profiling by high throughput sequencing; Other	False	False	False	True	True	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade
GSE291670	2025/03/31	6	Expression profiling by high throughput sequencing	True	True	False	True	True	Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer
GSE295601	2026/02/05	18	Other; Expression profiling by high throughput sequencing	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment. [P6]
GSE295977	2026/02/05	2	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[multiome]
GSE299111	2025/06/06	7	Expression profiling by high throughput sequencing	False	True	False	False	True	Regulatory T cells in lung tumor shape an anti-inflammatory myeloid-landscape recovery after chemotherapy
GSE300685	2025/06/30	8	Expression profiling by high throughput sequencing	False	True	False	True	True	Tumor-infiltrating natural killer cell profiling for therapeutic stratification in smokers with resectable non-small cell lung cancer
GSE302284	2025/07/10	6	Expression profiling by high throughput sequencing	False	True	False	False	True	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy
GSE308745	2026/02/05	87	Expression profiling by high throughput sequencing; Other	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]
GSE312336	2026/02/05	9	Expression profiling by high throughput sequencing; Other	False	False	False	True	True	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]
GSE337519	2026/07/29	1	Expression profiling by high throughput sequencing	False	False	False	True	True	Single-cell transcriptomic landscape of neoadjuvant chemo-immunotherapy response in lung cancer
