sig_id	pert_id	pert_type	cmap_name	cell_iname	cell_lineage	primary_disease	subtype	cell_type	pert_itime	pert_time	nsample	cc_q75	ss_ngene	tas	pct_self_rank_q25	is_hiq	qc_pass	is_exemplar_sig	is_ncs_sig	is_null_sig	bead_batch	det_plates	distil_ids	project_code	build_name	gctx_row	gctx_bytes_fetched	gctx_http_requests
XPR025_A375.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	A375	skin	skin cancer	melanoma	tumor	96 h	96	3	0.1969	77	0.124523	4.92958	0	1	1	1	0	b37	XPR025_A375.311_96H_X1_B37|XPR025_A375.311_96H_X2_B37|XPR025_A375.311_96H_X3_B37	XPR025_A375.311_96H_X1_B37:L07|XPR025_A375.311_96H_X2_B37:L07|XPR025_A375.311_96H_X3_B37:L07	XPR		98153	175024881	42
XPR025_A375.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	A375	skin	skin cancer	melanoma	tumor	96 h	96	3	0.42	256	0.331579	2.8169	0	1	1	1	0	b37	XPR025_A375.311_96H_X1_B37|XPR025_A375.311_96H_X2_B37|XPR025_A375.311_96H_X3_B37	XPR025_A375.311_96H_X1_B37:D23|XPR025_A375.311_96H_X2_B37:D23|XPR025_A375.311_96H_X3_B37:D23	XPR		97993	175024881	42
XPR025_A549.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	A549	lung	lung cancer	non small cell carcinoma	tumor	96 h	96	3	0.2561	75	0.140144	2.80055	1	1	1	1	0	b37	XPR025_A549.311_96H_X1_B37|XPR025_A549.311_96H_X2_B37|XPR025_A549.311_96H_X3_B37	XPR025_A549.311_96H_X1_B37:L07|XPR025_A549.311_96H_X2_B37:L07|XPR025_A549.311_96H_X3_B37:L07	XPR		98506	175024881	42
XPR025_A549.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	A549	lung	lung cancer	non small cell carcinoma	tumor	96 h	96	3	0.2997	124	0.194944	7.5592	0	1	1	1	0	b37	XPR025_A549.311_96H_X1_B37|XPR025_A549.311_96H_X2_B37|XPR025_A549.311_96H_X3_B37	XPR025_A549.311_96H_X1_B37:D23|XPR025_A549.311_96H_X2_B37:D23|XPR025_A549.311_96H_X3_B37:D23	XPR		98346	175024881	42
XPR025_AGS.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	AGS	stomach	gastric cancer	adenocarcinoma	tumor	96 h	96	3	0.0906	46	0.0652631	12.5885	0	1	1	1	0	b37	XPR025_AGS.311_96H_X1_B37|XPR025_AGS.311_96H_X2_B37|XPR025_AGS.311_96H_X3_B37	XPR025_AGS.311_96H_X1_B37:L07|XPR025_AGS.311_96H_X2_B37:L07|XPR025_AGS.311_96H_X3_B37:L07	XPR		98859	175024881	42
XPR025_AGS.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	AGS	stomach	gastric cancer	adenocarcinoma	tumor	96 h	96	3	0.4108	233	0.312846	1.0	0	1	1	1	0	b37	XPR025_AGS.311_96H_X1_B37|XPR025_AGS.311_96H_X2_B37|XPR025_AGS.311_96H_X3_B37	XPR025_AGS.311_96H_X1_B37:D23|XPR025_AGS.311_96H_X2_B37:D23|XPR025_AGS.311_96H_X3_B37:D23	XPR		98699	175024881	42
XPR025_BICR6.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	BICR6	upper_aerodigestive_tract	head and neck cancer	carcinoma	tumor	96 h	96	2	0.2461	124	0.176643	0.0	1	1	1	1	0	b37	XPR025_BICR6.311_96H_X1_B37|XPR025_BICR6.311_96H_X2_B37	XPR025_BICR6.311_96H_X1_B37:L07|XPR025_BICR6.311_96H_X2_B37:L07	XPR		99212	175024881	42
XPR025_BICR6.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	BICR6	upper_aerodigestive_tract	head and neck cancer	carcinoma	tumor	96 h	96	2	0.2221	108	0.1566	0.0	0	1	1	1	0	b37	XPR025_BICR6.311_96H_X1_B37|XPR025_BICR6.311_96H_X2_B37	XPR025_BICR6.311_96H_X1_B37:D23|XPR025_BICR6.311_96H_X2_B37:D23	XPR		99052	175024881	42
XPR025_ES2.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	ES2	ovary	ovarian cancer	carcinoma	tumor	96 h	96	3	0.3522	148	0.230848	0.221828	1	1	1	1	0	b37	XPR025_ES2.311_96H_X1_B37|XPR025_ES2.311_96H_X2_B37|XPR025_ES2.311_96H_X3_B37	XPR025_ES2.311_96H_X1_B37:L07|XPR025_ES2.311_96H_X2_B37:L07|XPR025_ES2.311_96H_X3_B37:L07	XPR		99565	175024881	42
XPR025_ES2.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	ES2	ovary	ovarian cancer	carcinoma	tumor	96 h	96	3	0.1811	127	0.153342	9.56078	0	1	1	1	0	b37	XPR025_ES2.311_96H_X1_B37|XPR025_ES2.311_96H_X2_B37|XPR025_ES2.311_96H_X3_B37	XPR025_ES2.311_96H_X1_B37:D23|XPR025_ES2.311_96H_X2_B37:D23|XPR025_ES2.311_96H_X3_B37:D23	XPR		99405	175024881	42
XPR025_HT29.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	HT29	large_intestine	colon cancer	adenocarcinoma	tumor	96 h	96	3	0.0243	75	0.0431439	40.6951	0	1	1	1	0	b37	XPR025_HT29.311_96H_X1_B37|XPR025_HT29.311_96H_X2_B37|XPR025_HT29.311_96H_X3.A2_B39	XPR025_HT29.311_96H_X1_B37:L07|XPR025_HT29.311_96H_X2_B37:L07|XPR025_HT29.311_96H_X3.A2_B39:L07	XPR		99918	175024881	42
XPR025_HT29.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	HT29	large_intestine	colon cancer	adenocarcinoma	tumor	96 h	96	3	0.3145	213	0.261707	2.04036	0	1	1	1	0	b37	XPR025_HT29.311_96H_X1_B37|XPR025_HT29.311_96H_X2_B37|XPR025_HT29.311_96H_X3.A2_B39	XPR025_HT29.311_96H_X1_B37:D23|XPR025_HT29.311_96H_X2_B37:D23|XPR025_HT29.311_96H_X3.A2_B39:D23	XPR		99758	175024881	42
XPR025_MCF7.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	MCF7	breast	breast cancer	adenocarcinoma	tumor	96 h	96	3	0.0555	65	0.0607482	27.0	0	1	1	1	0	b37	XPR025_MCF7.311_96H_X1_B37|XPR025_MCF7.311_96H_X2.L2_B38|XPR025_MCF7.311_96H_X3_B37	XPR025_MCF7.311_96H_X1_B37:L07|XPR025_MCF7.311_96H_X2.L2_B38:L07|XPR025_MCF7.311_96H_X3_B37:L07	XPR		100271	175024881	42
XPR025_MCF7.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	MCF7	breast	breast cancer	adenocarcinoma	tumor	96 h	96	3	0.0747	152	0.107761	24.0	0	1	1	1	0	b37	XPR025_MCF7.311_96H_X1_B37|XPR025_MCF7.311_96H_X2.L2_B38|XPR025_MCF7.311_96H_X3_B37	XPR025_MCF7.311_96H_X1_B37:D23|XPR025_MCF7.311_96H_X2.L2_B38:D23|XPR025_MCF7.311_96H_X3_B37:D23	XPR		100111	175024881	42
XPR025_PC3.311B_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	PC3	prostate	prostate cancer	adenocarcinoma	tumor	96 h	96	3	0.058	74	0.0662586	28.9091	0	1	1	1	0	b37	XPR025_PC3.311B_96H_X1_B37|XPR025_PC3.311B_96H_X2_B37|XPR025_PC3.311B_96H_X3_B37	XPR025_PC3.311B_96H_X1_B37:L07|XPR025_PC3.311B_96H_X2_B37:L07|XPR025_PC3.311B_96H_X3_B37:L07	XPR		100624	175024881	42
XPR025_PC3.311B_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	PC3	prostate	prostate cancer	adenocarcinoma	tumor	96 h	96	3	0.1743	97	0.131476	10.0455	0	1	1	1	0	b37	XPR025_PC3.311B_96H_X1_B37|XPR025_PC3.311B_96H_X2_B37|XPR025_PC3.311B_96H_X3_B37	XPR025_PC3.311B_96H_X1_B37:D23|XPR025_PC3.311B_96H_X2_B37:D23|XPR025_PC3.311B_96H_X3_B37:D23	XPR		100464	175024881	42
XPR025_U251MG.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	U251MG	central_nervous_system	brain cancer	astrocytoma	tumor	96 h	96	3	0.1091	62	0.0831771	19.8899	0	1	1	1	0	b37	XPR025_U251MG.311_96H_X1_B37|XPR025_U251MG.311_96H_X2_B37|XPR025_U251MG.311_96H_X3_B37	XPR025_U251MG.311_96H_X1_B37:L07|XPR025_U251MG.311_96H_X2_B37:L07|XPR025_U251MG.311_96H_X3_B37:L07	XPR		100976	175024881	42
XPR025_U251MG.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	U251MG	central_nervous_system	brain cancer	astrocytoma	tumor	96 h	96	3	0.3497	392	0.374392	16.1894	0	1	1	1	0	b37	XPR025_U251MG.311_96H_X1_B37|XPR025_U251MG.311_96H_X2_B37|XPR025_U251MG.311_96H_X3_B37	XPR025_U251MG.311_96H_X1_B37:D23|XPR025_U251MG.311_96H_X2_B37:D23|XPR025_U251MG.311_96H_X3_B37:D23	XPR		100816	175024881	42
XPR025_YAPC.311_96H:L07	BRDN0001498584	trt_xpr	TACSTD2	YAPC	pancreas	pancreatic cancer	carcinoma	tumor	96 h	96	3	0.3782	180	0.263832	2.19684	0	1	1	1	0	b37	XPR025_YAPC.311_96H_X1_B37|XPR025_YAPC.311_96H_X2_B37|XPR025_YAPC.311_96H_X3_B37	XPR025_YAPC.311_96H_X1_B37:L07|XPR025_YAPC.311_96H_X2_B37:L07|XPR025_YAPC.311_96H_X3_B37:L07	XPR		101329	175024881	42
XPR025_YAPC.311_96H:D23	BRDN0001498879	trt_xpr	TACSTD2	YAPC	pancreas	pancreatic cancer	carcinoma	tumor	96 h	96	3	0.1259	135	0.131854	18.2777	0	1	1	1	0	b37	XPR025_YAPC.311_96H_X1_B37|XPR025_YAPC.311_96H_X2_B37|XPR025_YAPC.311_96H_X3_B37	XPR025_YAPC.311_96H_X1_B37:D23|XPR025_YAPC.311_96H_X2_B37:D23|XPR025_YAPC.311_96H_X3_B37:D23	XPR		101169	175024881	42
