library	short	gsm	arm	genotype	cluster
B6AL10-1-RNA	KP B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-2-RNA	KP B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-3-RNA	KP B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	B6AL10-3
B6AL10-4-RNA	KP B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-5-RNA	KP B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
KL155mix-control-2-RNA	KL KL155	GSM4073821	KL	KrasG12D;Lkb1	KL155
KL47-1-untreated-1-RNA	KL KL47	GSM4073822	KL	KrasG12D;Lkb1	KL47
KLC-RNA	KL KLC	GSM4073823	KL	KrasG12D;Lkb1	KLC+KLE
KLD-RNA	KL KLD	GSM4073824	KL	KrasG12D;Lkb1	KLD
KLE-RNA	KL KLE	GSM4073825	KL	KrasG12D;Lkb1	KLC+KLE
