set	n_genes_in_matrix	n_genes_listed	library_delta	library_p	library_U	library_cliffs	library_complete	library_hits_floor	cluster_delta	cluster_p	cluster_U	cluster_cliffs	cluster_complete	n_kl_clusters	n_kp_clusters	KP B6AL10-1	KP B6AL10-2	KP B6AL10-3	KP B6AL10-4	KP B6AL10-5	KL KL155	KL KL47	KL KLC	KL KLD	KL KLE
EPITHELIAL_TJ_CORE	18	18	1.6266264627956226	0.007936507936507936	25.0	1.0	True	True	1.9998694790858051	0.13333333333333333	8.0	1.0	True	4	2	3.697860588015009	3.906301274438241	2.403349609828504	3.6359461360203604	3.740659783680754	4.971360649673374	4.97667344874778	5.207150879890147	5.1278382497726795	5.234226477877002
GO_BICELLULAR_TIGHT_JUNCTION	76	76	0.43008918401640717	0.007936507936507936	25.0	1.0	True	True	0.5590678600028864	0.13333333333333333	8.0	1.0	True	4	2	2.544468603144252	2.6737495992124987	2.093590197626599	2.5548813058333395	2.6199336787804084	2.803546049217925	2.8504837957045637	2.9980362764249726	2.948837707898366	3.0361654754333034
KEGG_TIGHT_JUNCTION	167	167	0.21861135361531492	0.007936507936507936	25.0	1.0	True	True	0.2957060505466407	0.13333333333333333	8.0	1.0	True	4	2	3.1983675878875664	3.267334788156976	2.933192396477732	3.194245227608649	3.24433859828609	3.35147785763959	3.292634300254635	3.4220136726789385	3.4280566678355218	3.4363528680849007
GOCC_GAP_JUNCTION	32	34	-0.27696956387294236	0.15079365079365079	5.0	-0.6	False	False	-0.1313671954066904	1.0	4.0	0.0	False	4	2	1.9531455461167222	1.910724106398063	1.4306972095394916	1.9585833290628902	1.9308996691231193	1.556773591012605	1.5465821103228266	1.5936985000007775	1.5226461833942344	1.5795016561451298
GOCC_ADHERENS_JUNCTION	150	154	0.12319880363317282	0.007936507936507936	25.0	1.0	True	True	0.1595469920803585	0.13333333333333333	8.0	1.0	True	4	2	2.762803485272392	2.864943454070094	2.6790499041291014	2.736967584111242	2.841615649658755	2.879058263713342	2.8721068509637617	2.893839874694096	2.946366516187206	2.9100025898490407
HALLMARK_INTERFERON_ALPHA_RESPONSE	92	94	-0.6626992422184506	0.031746031746031744	2.0	-0.84	False	False	-0.315989229320051	0.5333333333333333	2.0	-0.5	False	4	2	3.3580288955800337	3.3096454673929783	2.3713129748044746	3.401223913763682	3.335167216290418	2.220874870914262	2.5705282492282278	2.272733194644999	3.108118180802777	2.2896277611490707
HALLMARK_INTERFERON_GAMMA_RESPONSE	184	188	-0.6642967311072314	0.031746031746031744	2.0	-0.84	False	False	-0.3935711992873059	0.5333333333333333	2.0	-0.5	False	4	2	3.092704908582948	3.0637681594888018	2.249847287973076	3.109882021601341	3.0727586281864934	2.0835040628701966	2.2511386421473976	2.1730104187675687	2.5878132201393456	2.1720110063719944
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	192	194	-0.8427120004689272	0.007936507936507936	0.0	-1.0	True	True	-0.5779917117931719	0.13333333333333333	0.0	-1.0	True	4	2	3.7240555698884505	3.7034894764751356	2.7859337000610354	3.6856153231274953	3.6374187460508005	2.5293440330115784	2.712269082747228	2.762947266750048	2.705814292423561	2.612578138325866
HALLMARK_APICAL_JUNCTION	196	199	-0.11568094031799436	0.15079365079365079	5.0	-0.6	False	False	0.02093650928314217	1.0	4.0	0.0	False	4	2	3.030336430812968	3.076189157182684	2.595697547783383	3.0603999373505992	3.079911860680294	2.8296091215286987	2.749763162386907	2.857659057748013	2.9536171352896528	2.8734817552666843
COMPACT_ISG	15	15	-0.8707747110531279	0.031746031746031744	2.0	-0.84	False	False	-0.43261171966346557	0.5333333333333333	2.0	-0.5	False	4	2	2.3681168918785787	2.2380603031165736	1.091616508854802	2.367744042290594	2.4190217209500124	0.940247683448265	1.211713631012139	0.9622917940566844	2.0158680100619164	1.000564793245917
