	B6AL10-1-RNA	B6AL10-2-RNA	B6AL10-3-RNA	B6AL10-4-RNA	B6AL10-5-RNA	KL155mix-control-2-RNA	KL47-1-untreated-1-RNA	KLC-RNA	KLD-RNA	KLE-RNA
B6AL10-1-RNA	1.0	0.988900261287566	0.8223516094394211	0.9883898375447453	0.9858969375048184	0.6912680295258267	0.717031494515937	0.6146243659216377	0.646157316423478	0.6288668218302421
B6AL10-2-RNA	0.988900261287566	1.0	0.8194353175085066	0.9852831414105353	0.9871251007428082	0.6877419476524576	0.7148280851865263	0.6124414275176292	0.6441078343217379	0.6267660849102074
B6AL10-3-RNA	0.8223516094394211	0.8194353175085066	1.0	0.7993076152227505	0.8264940102596037	0.8268864211736761	0.8364426134897653	0.7608630162274218	0.763399144581287	0.7659602066662914
B6AL10-4-RNA	0.9883898375447453	0.9852831414105353	0.7993076152227505	1.0	0.9904003762381125	0.6690663370128156	0.697741213025265	0.590944962051353	0.6271903397882087	0.6052425518337022
B6AL10-5-RNA	0.9858969375048184	0.9871251007428082	0.8264940102596037	0.9904003762381125	1.0	0.6892067846430543	0.7183489616660571	0.6089694608295081	0.6458248849528385	0.6231709582371698
KL155mix-control-2-RNA	0.6912680295258267	0.6877419476524576	0.8268864211736761	0.6690663370128156	0.6892067846430543	1.0	0.9395334151117705	0.8687027470366054	0.8283227866305217	0.8751763008740705
KL47-1-untreated-1-RNA	0.717031494515937	0.7148280851865263	0.8364426134897653	0.697741213025265	0.7183489616660571	0.9395334151117705	1.0	0.8584429618751682	0.856736787763307	0.864348974858931
KLC-RNA	0.6146243659216377	0.6124414275176292	0.7608630162274218	0.590944962051353	0.6089694608295081	0.8687027470366054	0.8584429618751682	1.0	0.9117616709241543	0.9860527870146021
KLD-RNA	0.646157316423478	0.6441078343217379	0.763399144581287	0.6271903397882087	0.6458248849528385	0.8283227866305217	0.856736787763307	0.9117616709241543	1.0	0.9211266824780795
KLE-RNA	0.6288668218302421	0.6267660849102074	0.7659602066662914	0.6052425518337022	0.6231709582371698	0.8751763008740705	0.864348974858931	0.9860527870146021	0.9211266824780795	1.0
