set	ssgsea_delta_kl_minus_kp	ssgsea_p	ssgsea_complete_kl_lower	ssgsea_hits_floor	meanlog_delta	meanlog_p	meanlog_complete_kl_lower	kl_max_es	kp_min_es
HALLMARK_INTERFERON_ALPHA_RESPONSE	-1958.0985370195267	0.031746031746031744	False	False	-0.6626992422184506	0.031746031746031744	False	18621.20117344254	16736.66122532539
HALLMARK_INTERFERON_GAMMA_RESPONSE	-3209.912455693837	0.007936507936507936	True	True	-0.6642967311072314	0.031746031746031744	False	15886.648032482091	16030.061387497979
