library	short	arm	cluster
B6AL10-1-RNA	KP B6AL10-1	KP	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-2-RNA	KP B6AL10-2	KP	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-3-RNA	KP B6AL10-3	KP	B6AL10-3
B6AL10-4-RNA	KP B6AL10-4	KP	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
B6AL10-5-RNA	KP B6AL10-5	KP	B6AL10-1+B6AL10-2+B6AL10-4+B6AL10-5
KL155mix-control-2-RNA	KL KL155	KL	KL155
KL47-1-untreated-1-RNA	KL KL47	KL	KL47
KLC-RNA	KL KLC	KL	KLC+KLE
KLD-RNA	KL KLD	KL	KLD
KLE-RNA	KL KLE	KL	KLC+KLE
