collection	rank_metric	n_genes_ranked	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
hallmark_50	welch_t	15254	prerank	HALLMARK_G2M_CHECKPOINT	0.4573578850117235	2.307099754173406	0.0	0.0	0.0	123/183	37.60%	Uck2;Odf2;Slc38a1;Ss18;Orc5;Map3k20;Odc1;Hspa8;Nup50;Kif5b;Hmgb3;Hnrnpu;Cdc27;Prmt5;Dbf4;Top1;Tmpo;Kpnb1;Lig3;Stag1;Mtf2;Nup98;Mnat1;Casp8ap2;Sqle;Cdk4;Ctcf;Lmnb1;Ccnt1;Srsf10;Wrn;Prim2;Rad23b;Pura;Nsd2;Xpo1;Atrx;Katna1;Bard1;Prpf4b;Tfdp1;Tra2b;Srsf1;Cbx1;Rbl1;Pml;Knl1;Upf1;Cdc6;G3bp1;Exo1;Cul5;Hus1;Pafah1b1;Smc2;Cdc25a;Rps6ka5;Pole;Amd1;Kif23;Hif1a;Snrpd1;Hmmr;Mybl2;Stil;Nasp;Syncrip;Bub1;Brca2;Tnpo2;Smad3;Dr1;E2f3;Kif2c;Gspt1;Polq;Kif20b;Cul4a;Kif15;Slc7a1;Ccnf;Kif4;Cenpf;Rad54l;Ttk;Ube2s;Smarcc1;Cul3;Lbr;Aurka;Cenpe;Notch2;Foxn3;Slc7a5;Plk4;Ythdc1;Ilf3;Cdc7;Nek2;Pbk;Abl1;Jpt1;Traip;Fbxo5;Smc4;Top2a;Numa1;Tpx2;Espl1;Srsf2;Tacc3;Chmp1a;Mapk14;Ndc80;Chek1;Bub3;Cdk1;Ccnd1;Kmt5a;Marcks;Cul1;Aurkb;Cenpa
hallmark_50	welch_t	15254	prerank	HALLMARK_MTORC1_SIGNALING	0.453157226987488	2.2825191181410784	0.0	0.0	0.0	84/188	22.42%	Eno1b;Ccng1;Psmc2;Gtf2h1;Bhlhe40;Psmd14;Tfrc;Actr2;Gbe1;Nufip1;Txnrd1;Psmc4;Ykt6;Nmt1;Sc5d;Pno1;Dhcr24;Acly;Tuba4a;Psma3;Pik3r3;Psmc6;Arpc5l;G6pdx;Tbk1;Cops5;Cyp51;Hmgcr;Plod2;Slc2a1;Cct6a;Abcf2;Ak4;Mthfd2l;Etf1;Hspa4;Hmbs;Rdh11;Ldlr;Hmgcs1;Canx;Psmd12;Atp6v1d;Cacybp;Polr3g;Hk2;Gsr;Sqle;Rab1a;Fads2;Ddit4;Calr;Aldoa;Cdkn1a;Acaca;Acsl3;Sdf2l1;Eef1e1;Idi1;Pdap1;Nfil3;Eif2s2;Ufm1;Uchl5;Pdk1;Pfkl;Pgk1;Nampt;Ssr1;Psma4;Ldha;Gmps;Pgm1;Nup205;Ppa1;Ifrd1;Tes;Elovl6;Insig1;Atp2a2;Cdc25a;Glrx;Dapp1;Rrm2
hallmark_50	welch_t	15254	prerank	HALLMARK_MYC_TARGETS_V1	0.4299662142675475	2.167626662736242	0.0	0.0	0.0	88/190	25.31%	Eif4a1;Prps2;Psmd14;Rpl6;Eif4h;Cad;Psmd1;Psmc4;Cct4;Odc1;Psmc6;Cct2;Cops5;Psmd8;Hnrnpu;Eif2s1;Acp1;Hdac2;Etf1;Kpnb1;Dhx15;Got2;Psmd3;Canx;Ube2e1;Psmb2;Abce1;Ppm1g;Txnl4a;Gm9531;Cct5;Cstf2;Ddx21;Eif3d;Apex1;Cdk4;Psma1;Rrm1;Tcp1;Ptges3-ps;Psma2;Rad23b;Xpo1;Eif3b;Psma7;Ap3s1;Slc25a3;Pcna;Srpk1;Ran;Eif2s2;Mrps18b;Tfdp1;Tra2b;Rps6;Uba2;Cct3;Srsf1;Rps2;Pgk1;Rsl1d1;Psma4;Orc2;Ldha;Ruvbl2;Pwp1;Sf3b3;Tomm70a;Tufm;Fam120a;Vbp1;Vdac3;G3bp1;Ssb;Erh;Rack1;Ifrd1;Hddc2;Sf3a1;Srsf7;Snrpd1;Ppia;Nop56;Tyms;Syncrip;Eif3j1;Pabpc4;Xpot
hallmark_50	welch_t	15254	prerank	HALLMARK_PANCREAS_BETA_CELLS	-0.7418133605606925	-2.0733609124049477	0.0033277870216306157	0.009965122072745391	0.012	4/18	1.62%	Hnf1a;Pdx1;Foxa2;Pklr
hallmark_50	welch_t	15254	prerank	HALLMARK_E2F_TARGETS	0.3991999270185655	2.006077606740449	0.0	0.001441545336600836	0.004	126/192	39.99%	Ppm1d;Tfrc;Rad50;Hmgb3;Cse1l;Trp53;Eif2s1;Chek2;Nbn;Tmpo;Tubb5;Smc6;Wee1;Stag1;Eed;Donson;Nup153;Dnmt1;Cdk4;Ccne1;Ctcf;Lmnb1;Cdkn1a;Prim2;Atad2;Xpo1;Pcna;Ran;Rfc1;Diaph3;Gins1;Bard1;Tra2b;Srsf1;Brca1;Asf1a;Snrpb;Mms22l;Orc2;Nup107;Rfc3;Nup205;Hus1;Mre11a;Cdc25a;Pop7;Rrm2;Zw10;Rfc2;Pole;Hmmr;Mybl2;Nasp;Nop56;Pms2;Cnot9;Dlgap5;Syncrip;Wdr90;Brca2;Ak2;Melk;Prkdc;Kif2c;Gspt1;Usp1;Ppp1r8;Gins3;Ranbp1;Cit;Kif18b;Cbx5;Spag5;Kif4;Depdc1a;Ube2s;Rpa1;Trip13;Tubg1;Lbr;Aurka;Spc25;Cenpe;Ipo7;Ung;Nap1l1;Ube2t;Plk4;Slbp;Ccp110;Paics;Ilf3;E2f8;Jpt1;Smc4;Top2a;Cdca8;Mthfd2;Dck;Espl1;Srsf2;Tacc3;Mcm4;Ssrp1;Hells;Chek1;Psip1;Cdk1;Bub1b;Mcm7;Aurkb;Dut;Spc24;Dek;Mki67;Asf1b;Mcm5;Nudt21;Pa2g4;Pold3;Ubr7;Lyar;Tbrg4;Cdkn3;Rpa2;Racgap1
hallmark_50	welch_t	15254	prerank	HALLMARK_XENOBIOTIC_METABOLISM	-0.4847388077215053	-2.0009696243950033	0.0	0.01079554891214084	0.025	58/155	20.74%	Hnf4a;Igfbp4;Papss2;Ddah2;Rbp4;Ddc;Cyp2s1;Slc35d1;Gstm4;Atoh8;Aox1;Retsat;Cyp27a1;Pdk4;Blvrb;Apoe;F10;Fbln1;Cfb;Ninj1;Ech1;Ndrg2;Csad;Cyp2j6;Arg1;Lcat;Gss;Aldh2;Pros1;Tnfrsf1a;Pts;Gstt2;Pcx;Enpep;Acox1;Tgfb2;Igf1;Gabarapl1;Ptgds;Cd36;Cyp4f14;Cdo1;Reg1;Itih4;Ces1d;Fmo1;Vtn;Irf8;Fetub;Ccl25;Maoa;Nqo1;Tkfc;Etfdh;Mpp2;Cbr1;Slc46a3;Il1r1
hallmark_50	welch_t	15254	prerank	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4551218500857804	-1.9161678689723092	0.0	0.01190278469800144	0.041	66/164	19.73%	Bgn;Vcam1;Igfbp4;Gem;Dab2;Cthrc1;Emp3;Vim;P3h1;Matn2;Pdlim4;Fbln1;Anpep;Slit2;Fstl3;Tgfb1;Rgs4;Mylk;Pcolce;Fgf2;Tgfbi;Col6a2;Col1a1;Wipf1;Col5a1;Vegfc;Mgp;Itga5;Col6a3;Spp1;Col1a2;Nnmt;Loxl1;Slit3;Col5a3;Col3a1;Col5a2;Cdh11;Qsox1;Lox;Nid2;Dcn;Tagln;Pdgfrb;Thbs2;Cxcl15;Gpx7;Eln;Fbn1;Mmp2;Igfbp2;Postn;Mfap5;Tgfbr3;Thy1;Fmod;Gas1;Sfrp1;Cxcl12;Fbln5;Fstl1;Lum;Efemp2;Rhob;Col16a1;Lamc1
hallmark_50	welch_t	15254	prerank	HALLMARK_MITOTIC_SPINDLE	0.3782264519228288	1.8954683614548995	0.0	0.002306472538561338	0.008	105/195	34.46%	Tbcd;Shroom2;Fscn1;Cenpj;Als2;Rhof;Bcr;Vcl;Tuba4a;Atg4b;Ckap5;Flnb;Sptbn1;Ranbp9;Kif5b;Pxn;Cep250;Abr;Mapre1;Cdc27;Sptan1;Bin1;Clip2;Lats1;Abi1;Cep192;Arfgef1;Tiam1;Rock1;Lmnb1;Kifap3;Cdk5rap2;Clasp1;Rasa1;Tubgcp2;Nin;Sass6;Apc;Lrpprc;Rfc1;Katna1;Myh9;Tubgcp6;Trio;Epb41;Rapgef6;Tubgcp5;Arf6;Cttn;Dync1h1;Alms1;Ppp4r2;Flna;Cdc42;Cdc42bpa;Kntc1;Rab3gap1;Rictor;Pafah1b1;Arhgap10;Dlg1;Dst;Kif23;Clip1;Pcnt;Myo9b;Dlgap5;Ect2;Arhgap5;Bub1;Brca2;Kif3c;Pdlim5;Kif2c;Kif20b;Kif15;Map1s;Rabgap1;Anln;Kif1b;Pif1;Kif4;Tubgcp3;Cenpf;Ttk;Ralbp1;Aurka;Klc1;Cenpe;Notch2;Cd2ap;Nf1;Kif3b;Mid1;Myo1e;Nek2;Abl1;Tlk1;Hook3;Fbxo5;Arhgef7;Smc4;Top2a;Numa1;Tpx2
hallmark_50	welch_t	15254	prerank	HALLMARK_P53_PATHWAY	0.3727392903872256	1.8868124638040231	0.0	0.001922060448801115	0.008	42/186	8.42%	Fgf13;Aen;Plk2;Mdm2;Ccng1;Rps27l;Slc19a2;Klk8;Rhbdf2;Ppm1d;Il1a;Tm4sf1;Tpd52l1;Perp;Sfn;Itgb4;Zmat3;Ptpn14;Ei24;Rgs16;Cgrrf1;Bak1;Jag2;Ercc5;Lif;St14;Ier3;Apaf1;Phlda3;Trp53;Bax;Serpinb5;Pdgfa;Hdac3;Ier5;Epha2;Rnf19b;Fos;Upp1;Cd81;Procr;Def6
hallmark_50	welch_t	15254	prerank	HALLMARK_BILE_ACID_METABOLISM	-0.4865996728176936	-1.85004629044016	0.001447178002894356	0.012248795881082877	0.056	34/83	23.03%	Gstk1;Abcd3;Soat2;Nr1h4;Retsat;Cyp27a1;Aldh1a1;Phyh;Abca1;Slc22a18;Rbp1;Hsd17b11;Pex6;Pex11a;Sod1;Gc;Apoa1;Nr1i2;Acsl5;Sult1b1;Idh2;Pecr;Pipox;Ttr;Abcg8;Cyp7b1;Efhc1;Pfkm;Lck;Slc29a1;Amacr;Bmp6;Acsl1;Ch25h
