panel	family	metric	n_genes	U	p	n_kl_gt_kp	n_kl_lt_kp	n_tie_pairs	cliffs_delta	complete_separation	hits_floor	delta_mean	mean_kl	mean_kp	complete_kl_lower	kl_max	kp_min	n_kl	n_kp	exact_floor_p	KP B6AL10-1	KP B6AL10-2	KP B6AL10-3	KP B6AL10-4	KP B6AL10-5	KL KL155	KL KL47	KL KLC	KL KLD	KL KLE
HALLMARK_INTERFERON_ALPHA_RESPONSE__2022_1	IFN	mean_log2	93	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6595605569478833	2.5206152494911067	3.18017580643899	False	3.128422165379604	2.408176334456605	5	5	0.007936507936507936	3.379296608970875	3.333298517731922	2.408176334456605	3.4228426371103833	3.3572649339251646	2.2507239652893274	2.5957586366446255	2.3060238952304326	3.128422165379604	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2022_1	IFN	mean_log2	187	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6521681574047467	2.2753774326360583	2.927545590040805	False	2.600388396552628	2.2560843387447904	5	5	0.007936507936507936	3.10433474392889	3.0770319726098796	2.2560843387447904	3.1190660278819964	3.0812108670384686	2.110208075133544	2.2623531394242535	2.202116833780087	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	mean_log2	93	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6595605569478833	2.5206152494911067	3.18017580643899	False	3.128422165379604	2.408176334456605	5	5	0.007936507936507936	3.379296608970875	3.333298517731922	2.408176334456605	3.4228426371103833	3.3572649339251646	2.2507239652893274	2.5957586366446255	2.3060238952304326	3.128422165379604	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	mean_log2	187	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6521681574047467	2.2753774326360583	2.927545590040805	False	2.600388396552628	2.2560843387447904	5	5	0.007936507936507936	3.10433474392889	3.0770319726098796	2.2560843387447904	3.1190660278819964	3.0812108670384686	2.110208075133544	2.2623531394242535	2.202116833780087	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	mean_log2	93	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6595605569478833	2.5206152494911067	3.18017580643899	False	3.1284221653796034	2.408176334456605	5	5	0.007936507936507936	3.3792966089708756	3.3332985177319214	2.408176334456605	3.4228426371103837	3.3572649339251646	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	mean_log2	187	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6521681574047471	2.275377432636058	2.927545590040805	False	2.600388396552628	2.2560843387447904	5	5	0.007936507936507936	3.10433474392889	3.07703197260988	2.2560843387447904	3.119066027881997	3.0812108670384686	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	mean_log2	93	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6595605569478833	2.5206152494911067	3.18017580643899	False	3.1284221653796034	2.408176334456605	5	5	0.007936507936507936	3.3792966089708756	3.3332985177319214	2.408176334456605	3.4228426371103837	3.3572649339251646	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	mean_log2	187	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6521681574047471	2.275377432636058	2.927545590040805	False	2.600388396552628	2.2560843387447904	5	5	0.007936507936507936	3.10433474392889	3.07703197260988	2.2560843387447904	3.1190660278819955	3.0812108670384686	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	mean_log2	93	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6595605569478833	2.5206152494911067	3.18017580643899	False	3.1284221653796034	2.408176334456605	5	5	0.007936507936507936	3.3792966089708756	3.3332985177319214	2.408176334456605	3.4228426371103837	3.3572649339251646	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	mean_log2	187	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-0.6521681574047471	2.275377432636058	2.927545590040805	False	2.600388396552628	2.2560843387447904	5	5	0.007936507936507936	3.10433474392889	3.07703197260988	2.2560843387447904	3.1190660278819955	3.0812108670384686	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	mean_log2	34	9.0	0.5476190476190477	9	16	0	-0.28	False	False	-0.018239794904447937	2.265820719307211	2.284060514211659	False	2.366772163577067	2.156120927972099	5	5	0.007936507936507936	2.317426297161289	2.3035162552297686	2.156120927972099	2.319472459426755	2.3237666312683802	2.230608410119785	2.3030945896867245	2.18556421637093	2.366772163577067	2.2430642167815478
REACTOME_INTERFERON_GAMMA_SIGNALING	IFN	mean_log2	19	1.0	0.015873015873015872	1	24	0	-0.92	False	False	-0.29266989864666737	3.603152404649947	3.8958223032966144	False	3.8497709338098773	3.7915200096951294	5	5	0.007936507936507936	3.924222610970657	3.902062484713616	3.7915200096951294	3.9114814876303003	3.9498249234733698	3.5618580516962877	3.5141312912952705	3.496495772475354	3.8497709338098773	3.593505973972946
REACTOME_INTERFERON_SIGNALING	IFN	mean_log2	136	25.0	0.007936507936507936	25	0	0	1.0	True	True	0.12977576631991505	3.3195501416130866	3.1897743752931715	False	3.3638177375127953	3.071678062237574	5	5	0.007936507936507936	3.2387091753515933	3.205302844414585	3.071678062237574	3.203829049311892	3.229352745150212	3.336801508058663	3.285372639937676	3.295359417380701	3.3638177375127953	3.3163994051756003
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	IFN	mean_log2	91	25.0	0.007936507936507936	25	0	0	1.0	True	True	0.2374675383317375	3.671762382861499	3.4342948445297616	False	3.7109319093068995	3.288824523762337	5	5	0.007936507936507936	3.5023775905814345	3.4528093709700247	3.288824523762337	3.4487084771600407	3.47875426017497	3.7109319093068995	3.635389819714399	3.6719264571884915	3.6632229345599248	3.6773407935377787
