library	set	ES	NES
KLE-RNA	EPITHELIAL_TJ_CORE	23138.447843255213	1.2233923848472494
KLC-RNA	EPITHELIAL_TJ_CORE	23094.47930521958	1.2210676491964378
KL155mix-control-2-RNA	EPITHELIAL_TJ_CORE	22842.419079131843	1.2077405425898249
KL47-1-untreated-1-RNA	EPITHELIAL_TJ_CORE	22821.99951877705	1.2066609051478838
KLD-RNA	EPITHELIAL_TJ_CORE	22610.154863520638	1.1954601046548277
B6AL10-2-RNA	EPITHELIAL_TJ_CORE	21136.397695646436	1.1175385729900789
B6AL10-5-RNA	EPITHELIAL_TJ_CORE	20672.501025920115	1.0930111000608775
B6AL10-1-RNA	EPITHELIAL_TJ_CORE	20594.19685163373	1.0888709463577138
B6AL10-4-RNA	EPITHELIAL_TJ_CORE	20490.325960034977	1.0833790110883283
B6AL10-1-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	19819.418930492873	1.0479063399548774
B6AL10-2-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	19698.8884287845	1.0415335659930827
B6AL10-4-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	19674.670126166624	1.0402530787625932
B6AL10-5-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	19566.32125227323	1.0345243804451478
B6AL10-4-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	19386.716352199204	1.025028183097759
B6AL10-1-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	19302.303458719685	1.02056504487149
B6AL10-5-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	19279.22794108059	1.0193449797769203
B6AL10-2-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	19160.412415359955	1.0130628812388967
B6AL10-1-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	18789.266224095638	0.9934393772280093
B6AL10-4-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	18781.09118033576	0.9930071405304841
B6AL10-5-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	18692.385428256577	0.9883170272471312
B6AL10-2-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	18676.533624217423	0.9874788994488034
KLD-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	18621.20117344254	0.9845533229636607
B6AL10-5-RNA	HALLMARK_APICAL_JUNCTION	17900.362588558302	0.9464406353095273
B6AL10-4-RNA	HALLMARK_APICAL_JUNCTION	17839.693464098174	0.9432328944375955
