panel	n_genes	mean_delta	mean_p	mean_complete_kl_lower	mean_cliffs	ssgsea_delta	ssgsea_p	ssgsea_complete_kl_lower	robust_hard_cold	leaveone_all_complete_kl_lower	leaveone_n_complete	leaveone_n	block_complete_kl_lower	block_p	n_kl_below_block
COMPACT_ISG	15	-0.8707747110531279	0.031746031746031744	False	-0.84	-2396.0041449745167	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_ALPHA_RESPONSE__2022_1	93	-0.6595605569478833	0.031746031746031744	False	-0.84	-1941.3040086328438	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	93	-0.6595605569478833	0.031746031746031744	False	-0.84	-1941.3040086328438	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	93	-0.6595605569478833	0.031746031746031744	False	-0.84	-1941.3040086328438	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	93	-0.6595605569478833	0.031746031746031744	False	-0.84	-1941.3040086328438	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	93	-0.6595605569478833	0.031746031746031744	False	-0.84	-1941.3040086328438	0.031746031746031744	False	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	187	-0.6521681574047471	0.031746031746031744	False	-0.84	-3146.824502252799	0.007936507936507936	True	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	187	-0.6521681574047471	0.031746031746031744	False	-0.84	-3146.824502252799	0.007936507936507936	True	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	187	-0.6521681574047471	0.031746031746031744	False	-0.84	-3146.824502252799	0.007936507936507936	True	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_GAMMA_RESPONSE__2022_1	187	-0.6521681574047467	0.031746031746031744	False	-0.84	-3146.824502252799	0.007936507936507936	True	False	False	1	10	False	0.38095238095238093	5
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	187	-0.6521681574047467	0.031746031746031744	False	-0.84	-3146.824502252799	0.007936507936507936	True	False	False	1	10	False	0.38095238095238093	5
REACTOME_INTERFERON_GAMMA_SIGNALING	19	-0.29266989864666737	0.015873015873015872	False	-0.92	-988.6960538040948	0.007936507936507936	True	False	False	2	10	False	0.19047619047619047	5
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	33	-0.10407684308090825	0.2222222222222222	False	-0.52	-271.78209120587417	0.15079365079365079	False	False	False	0	10	False	1.0	5
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	34	-0.018239794904447937	0.5476190476190477	False	-0.28	101.21410303986158	0.8412698412698413	False	False	False	0	10	False	0.8571428571428571	4
REACTOME_INTERFERON_SIGNALING	136	0.12977576631991505	0.007936507936507936	False	1.0	22.258032105964958	0.8412698412698413	False	False	False	0	10	False	0.09523809523809523	0
REACTOME_ISG15_ANTIVIRAL_MECHANISM	28	0.14340571746324482	0.015873015873015872	False	0.92	-112.36134445817515	0.6904761904761905	False	False	False	0	10	False	0.09523809523809523	0
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	91	0.2374675383317375	0.007936507936507936	False	1.0	190.64179746800073	0.09523809523809523	False	False	False	0	10	False	0.09523809523809523	0
REACTOME_OAS_ANTIVIRAL_RESPONSE	5	0.7774881580439588	0.031746031746031744	False	0.84	2075.981456824	0.015873015873015872	False	False	False	0	10	False	0.19047619047619047	0
