collection	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
hallmark_50	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4551218500857804	-1.9161678689723092	0.0	0.01190278469800144	0.041	66/164	19.73%	Bgn;Vcam1;Igfbp4;Gem;Dab2;Cthrc1;Emp3;Vim;P3h1;Matn2;Pdlim4;Fbln1;Anpep;Slit2;Fstl3;Tgfb1;Rgs4;Mylk;Pcolce;Fgf2;Tgfbi;Col6a2;Col1a1;Wipf1;Col5a1;Vegfc;Mgp;Itga5;Col6a3;Spp1;Col1a2;Nnmt;Loxl1;Slit3;Col5a3;Col3a1;Col5a2;Cdh11;Qsox1;Lox;Nid2;Dcn;Tagln;Pdgfrb;Thbs2;Cxcl15;Gpx7;Eln;Fbn1;Mmp2;Igfbp2;Postn;Mfap5;Tgfbr3;Thy1;Fmod;Gas1;Sfrp1;Cxcl12;Fbln5;Fstl1;Lum;Efemp2;Rhob;Col16a1;Lamc1
hallmark_50	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.3948353075929658	-1.647810116780904	0.0026109660574412533	0.028649725959143002	0.275	56/159	22.08%	Vcam1;Cd274;Ifit2;St3gal5;Ifit3;Cxcl10;Sspn;Lgals3bp;Ifi27;Vamp5;Cfb;Lcp2;Slc25a28;Ccl7;Cd74;Cmklr1;Il10ra;H2-DMa;Socs3;Batf2;H2-Aa;Itgb7;Irf5;Nod1;Fcgr1;Txnip;Sp110;Cd86;Fgl2;Cd38;Cfh;Serping1;Dhx58;Il18bp;Slamf7;Ciita;Tnfsf10;Irf8;Cxcl9;Gzma;Oas2;C1s1;Xcl1;Xaf1;Il15ra;Ccl5;Lysmd2;Irf2;Stat2;Irf9;Icam1;Bst2;Ifi30;Mvp;Arid5b;Psmb9
hallmark_50	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.37260180258157294	-1.4074299036832298	0.055232558139534885	0.09378633117422355	0.816	35/81	33.51%	Ifit2;Ifit3;Cxcl10;Lgals3bp;Ifi27;Slc25a28;Cd74;Batf2;Lamp3;Txnip;Sp110;Dhx58;C1s1;Irf2;Stat2;Irf9;Bst2;Ifi30;Psmb9;Cd47;B2m;Ccrl2;Irf7;Isg15;Oas1a;Gbp3;Ube2l6;Trim26;Trafd1;Rtp4;Psmb8;Usp18;Ifitm1;Trim14;Psme1
hallmark_50	HALLMARK_APICAL_JUNCTION	-0.27385334819743895	-1.1476310731295833	0.21045918367346939	0.3077863840195679	0.999	43/161	16.67%	Vcam1;Cd274;Cldn18;Wnk4;Layn;Cercam;Hadh;Thbs3;Pkd1;Slit2;Rras;Atp1a3;Gamt;Pbx2;Shc1;Sirpa;Itga9;Cx3cl1;Amigo1;Rac2;Ptprc;Tgfbi;Nexn;Adam15;Akt2;Tmem8b;Tspan4;Cd86;Arhgef6;Icam4;Cdh11;Taok2;Mdk;Cldn5;Fbn1;Mmp2;Vwf;Pecam1;Stx4a;Arpc2;Thy1;Icam2;Cdsn
junction_focused	EPITHELIAL_TJ_CORE	0.6990382290696356	2.137522521322339	0.0	0.0	0.0	11/18	12.59%	Cldn4;Cldn1;Cldn7;Cgnl1;Marveld2;Marveld3;Tjp1;Tjp2;Ildr1;Cldn3;Ocln
junction_focused	KEGG_TIGHT_JUNCTION	0.36570195118029447	1.759779302913126	0.0	0.010775862068965516	0.007	36/132	10.71%	Cldn6;Micall2;Cldn4;Amotl1;Pard6b;Ppp2ca;Actr2;Cldn1;Cldn7;Patj;Actn1;Mapk8;Itgb1;Mapk9;Tuba4a;Afdn;Ppp2cb;Ppp2r1b;Actg1;Prkaa1;Cgnl1;Marveld2;Prkcz;Rdx;Tuba1a;Pard6g;Amotl2;Hspa4;Marveld3;Tjp1;Tjp2;Cldn3;Tiam1;Rock1;Cdk4;Rapgef2
junction_focused	GO_BICELLULAR_TIGHT_JUNCTION	0.4145146324719694	1.7219824417404885	0.009900990099009901	0.014367816091954023	0.014	24/63	12.59%	Cldn6;Micall2;Tbcd;Cldn4;Amotl1;Shroom2;Pard6b;Cldn1;Cldn7;Patj;Strn;Cgnl1;Marveld2;Amotl2;Mpp7;Tgfbr1;Marveld3;Tjp1;Tjp2;Cldn3;Rapgef2;Mtdh;Cldn12;Ocln
junction_focused	GOCC_GAP_JUNCTION	0.29600801381988556	0.9209256315255355	0.5714285714285714	0.604064039408867	0.614	4/18	8.36%	Gja1;Gjb3;Tjp1;Tjp2
