U_kl_wins	n_configurations	two_sided_exact_p	cliffs_delta	rejects_alpha_0.05	is_floor
0	1	0.007936507936507936	-1.0	True	True
1	1	0.015873015873015872	-0.92	True	False
2	2	0.031746031746031744	-0.84	True	False
3	3	0.05555555555555555	-0.76	False	False
4	5	0.09523809523809523	-0.68	False	False
5	7	0.15079365079365079	-0.6	False	False
6	9	0.2222222222222222	-0.52	False	False
7	11	0.30952380952380953	-0.44	False	False
8	14	0.42063492063492064	-0.36	False	False
9	16	0.5476190476190477	-0.28	False	False
10	18	0.6904761904761905	-0.2	False	False
11	19	0.8412698412698413	-0.12	False	False
12	20	1.0	-0.04	False	False
13	20	1.0	0.04	False	False
14	19	0.8412698412698413	0.12	False	False
15	18	0.6904761904761905	0.2	False	False
16	16	0.5476190476190477	0.28	False	False
17	14	0.42063492063492064	0.36	False	False
18	11	0.30952380952380953	0.44	False	False
19	9	0.2222222222222222	0.52	False	False
20	7	0.15079365079365079	0.6	False	False
21	5	0.09523809523809523	0.68	False	False
22	3	0.05555555555555555	0.76	False	False
23	2	0.031746031746031744	0.84	True	False
24	1	0.015873015873015872	0.92	True	False
25	1	0.007936507936507936	1.0	True	True
