set	U	p	n_kl_gt_kp	n_kl_lt_kp	n_tie_pairs	cliffs_delta	complete_separation	hits_floor	delta_mean	mean_kl	mean_kp	KP B6AL10-1	KP B6AL10-2	KP B6AL10-3	KP B6AL10-4	KP B6AL10-5	KL KL155	KL KL47	KL KLC	KL KLD	KL KLE
COMPACT_ISG	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-2396.0041449745167	13424.344791954141	15820.348936928658	16662.93959179578	16210.603849264371	12848.387700376832	16622.590761116913	16757.222782089397	12626.538946415472	13463.745027931112	12391.469105314412	15973.9101485373	12666.060731572423
EPITHELIAL_TJ_CORE	25.0	0.007936507936507936	25	0	0	1.0	True	True	3008.444385357663	22901.500121980866	19893.055736623202	20594.19685163373	21136.397695646436	16571.85714988074	20490.325960034977	20672.501025920115	22842.419079131843	22821.99951877705	23094.47930521958	22610.154863520638	23138.447843255213
GOCC_ADHERENS_JUNCTION	9.0	0.5476190476190477	9	16	0	-0.28	False	False	-386.0926565469508	15968.316495974123	16354.409152521073	16188.376116842806	16822.88838313469	15557.222939669773	16510.704051235305	16692.854271722797	16902.91216527081	16553.493918543318	15727.721363109558	15133.724695095734	15523.73033785119
GOCC_GAP_JUNCTION	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-3153.317046081018	6671.018697713269	9824.335743794287	10211.90711412246	9910.75311992778	7512.324609724816	10624.87440654173	10861.819468654652	9656.367095096473	8253.683524083383	6395.204339818887	4225.098267236528	4824.740262331074
GO_BICELLULAR_TIGHT_JUNCTION	5.0	0.15079365079365079	5	20	0	-0.6	False	False	-440.0205625475992	15094.616980153622	15534.63754270122	15914.216279976052	16062.44530658091	13378.841313589754	15976.878675070562	16340.806138288826	15499.372116479743	15861.6582903233	14218.705538805476	14932.517041323557	14960.831913836042
HALLMARK_APICAL_JUNCTION	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-2011.784185524777	15336.170786481985	17347.954972006763	17585.33235696266	17789.9847569469	15624.401693467778	17839.693464098174	17900.362588558302	16087.08667005711	15698.266427877461	14816.270212842075	14753.787506346867	15325.44311528642
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0	0.007936507936507936	0	25	0	-1.0	True	True	-4619.71460088909	14483.755360998513	19103.469961887604	19819.418930492873	19698.8884287845	16758.05107172081	19674.670126166624	19566.32125227323	14882.555182794054	15410.18315290286	14723.685975024167	13455.90363356394	13946.448860707544
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.0	0.031746031746031744	2	23	0	-0.84	False	False	-1958.0985370195267	16814.96574151744	18773.064278536967	19302.303458719685	19160.412415359955	16736.66122532539	19386.716352199204	19279.22794108059	16202.642048287966	17045.15078465188	16116.547180227637	18621.20117344254	16089.287520977196
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0	0.007936507936507936	0	25	0	-1.0	True	True	-3209.912455693837	14983.95511318684	18193.867568880676	18789.266224095638	18676.533624217423	16030.061387497979	18781.09118033576	18692.385428256577	14509.059729780482	15216.882165025105	14950.4349042609	15886.648032482091	14356.750734385605
KEGG_TIGHT_JUNCTION	5.0	0.15079365079365079	5	20	0	-0.6	False	False	-460.53369355022005	16483.33533312793	16943.86902667815	17082.892318435133	17103.82132692822	16055.483404115126	17122.955694638174	17354.19238927408	16840.87000148818	16840.037475873927	16068.733917150494	16286.430655405016	16380.604615722012
