panel	family	source	n_listed	n_used	n_missing	missing	aliases	genes_used
HALLMARK_INTERFERON_ALPHA_RESPONSE__2022_1	IFN	MSigDB mouse hallmark 2022.1	94	93	1	Tent5a		Adar,Ifitm3,Irf1,Ifih1,Tap1,Wars,Casp8,Pnpt1,Lpar6,Tdrd7,Il4ra,B2m,Procr,Nub1,Isg20,Rsad2,Irf9,Txnip,Usp18,Cnp,Csf1,Elf1,Samd9l,Ifit2,Il7,Il15,Cxcl10,Ly6e,Mx2,Oas1a,Plscr1,Eif2ak2,Psma3,Psmb8,Psmb9,Psme1,Psme2,Cxcl11,Sell,Trim21,Stat2,Trim25,Trim26,Casp1,Cd47,Cd74,Ogfr,Rnf31,Dhx58,Ccrl2,Ifi30,Mov10,Irf2,Gmpr,Ripk2,Lap3,Slc25a28,Ddx60,Trafd1,Isg15,Parp9,Parp12,Parp14,Helz2,Lamp3,Mvb12a,Cmtr1,Ifi35,Ifi44l,Trim14,Irf7,Ube2l6,Oasl1,Lgals3bp,Uba7,Nmi,Ifitm1,Ifitm2,Gbp3,Rtp4,Epsti1,Ifi44,Bst2,Cmpk2,Ncoa7,Batf2,Ifi27,Sp110,Herc6,Tmem140,C1s1,Trim12c,Ifit3
HALLMARK_INTERFERON_GAMMA_RESPONSE__2022_1	IFN	MSigDB mouse hallmark 2022.1	188	187	1	Marchf1		Adar,Ifitm3,Samhd1,Gch1,Cfh,Icam1,Fas,Il6,Irf1,Jak2,Ciita,Pnp,Rnf213,Ptpn1,Cfb,Ifih1,Stat3,Tap1,Tapbp,Serping1,Wars,Casp8,Pnpt1,Nup93,Tdrd7,Auts2,H2-Aa,Il4ra,Il10ra,Irf5,Myd88,B2m,Stat1,Stat4,Cd40,Lats2,Il18bp,Tor1b,St8sia4,Isg20,Rsad2,Arl4a,Cdkn1a,Irf9,Txnip,Mthfd2,Usp18,Fpr1,Samd9l,Gpr18,Gzma,Hif1a,H2-DMa,Ifit2,Ifnar2,Il2rb,Il7,Il15,Il15ra,Ido1,Cxcl10,Irf4,Itgb7,Lcp2,Ly6e,Mx2,Nfkb1,Nfkbia,Pde4b,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Eif2ak2,Psma2,Psma3,Psmb2,Psmb8,Psmb9,Psmb10,Psme1,Psme2,Ptgs2,Ptpn2,Ptpn6,Ccl5,Ccl7,Cxcl11,Xcl1,Sectm1a,Selp,Sod2,Bpgm,Trim21,Stat2,Btg1,Tnfaip2,Tnfaip6,Upp1,Vcam1,Trim25,Trim26,Sspn,Ncoa3,Casp1,Casp3,Casp4,Casp7,Socs1,Vamp8,Ripk1,Tnfsf10,St3gal5,Cd86,Cd38,Cd69,Cd74,Fgl2,Ogfr,Rnf31,Peli1,Dhx58,Ifi30,Nod1,Tnfaip3,Irf2,Mvp,Irf8,P2ry14,Cd274,Ripk2,Lap3,Slc25a28,Zbp1,Ddx60,Slamf7,Trafd1,Isg15,Parp12,Rapgef6,Parp14,Helz2,Oas2,Oas3,Fcgr1,Cxcl9,Ddx58,Cmtr1,Ifi35,Isoc1,Rbck1,Ifi44l,Trim14,Irf7,Arid5b,Ube2l6,Mettl7b,Oasl1,Socs3,Lgals3bp,Nmi,Ifitm2,Cmklr1,Znfx1,Vamp5,Gbp3,Nampt,Rtp4,Epsti1,Bank1,Ifi44,Bst2,Lysmd2,Cmpk2,Eif4e3,Batf2,Ifi27,Sp110,Xaf1,Herc6,Sri,C1s1,Apol6,Nlrc5,Sppl2a,Ifit3
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	MSigDB mouse hallmark 2023.1	94	93	1	Tent5a	Wars1->Wars	Adar,Ifitm3,Irf1,Ifih1,Tap1,Wars,Casp8,Pnpt1,Lpar6,Tdrd7,Il4ra,B2m,Procr,Nub1,Isg20,Rsad2,Irf9,Txnip,Usp18,Cnp,Csf1,Elf1,Samd9l,Ifit2,Il7,Il15,Cxcl10,Ly6e,Mx2,Oas1a,Plscr1,Eif2ak2,Psma3,Psmb8,Psmb9,Psme1,Psme2,Cxcl11,Sell,Trim21,Stat2,Trim25,Trim26,Casp1,Cd47,Cd74,Ogfr,Rnf31,Dhx58,Ccrl2,Ifi30,Mov10,Irf2,Gmpr,Ripk2,Lap3,Slc25a28,Ddx60,Trafd1,Isg15,Parp9,Parp12,Parp14,Helz2,Lamp3,Mvb12a,Cmtr1,Ifi35,Ifi44l,Trim14,Irf7,Ube2l6,Oasl1,Lgals3bp,Uba7,Nmi,Ifitm1,Ifitm2,Gbp3,Rtp4,Epsti1,Ifi44,Bst2,Cmpk2,Ncoa7,Batf2,Ifi27,Sp110,Herc6,Tmem140,C1s1,Trim12c,Ifit3
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	MSigDB mouse hallmark 2023.1	188	187	1	Marchf1	Wars1->Wars,Rigi->Ddx58	Adar,Ifitm3,Samhd1,Gch1,Cfh,Icam1,Fas,Il6,Irf1,Jak2,Ciita,Pnp,Rnf213,Ptpn1,Cfb,Ifih1,Stat3,Tap1,Tapbp,Serping1,Wars,Casp8,Pnpt1,Nup93,Tdrd7,Auts2,H2-Aa,Il4ra,Il10ra,Irf5,Myd88,B2m,Stat1,Stat4,Cd40,Lats2,Il18bp,Tor1b,St8sia4,Isg20,Rsad2,Arl4a,Cdkn1a,Irf9,Txnip,Mthfd2,Usp18,Fpr1,Samd9l,Gpr18,Gzma,Hif1a,H2-DMa,Ifit2,Ifnar2,Il2rb,Il7,Il15,Il15ra,Ido1,Cxcl10,Irf4,Itgb7,Lcp2,Ly6e,Mx2,Nfkb1,Nfkbia,Pde4b,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Eif2ak2,Psma2,Psma3,Psmb2,Psmb8,Psmb9,Psmb10,Psme1,Psme2,Ptgs2,Ptpn2,Ptpn6,Ccl5,Ccl7,Cxcl11,Xcl1,Sectm1a,Selp,Sod2,Bpgm,Trim21,Stat2,Btg1,Tnfaip2,Tnfaip6,Upp1,Vcam1,Trim25,Trim26,Sspn,Ncoa3,Casp1,Casp3,Casp4,Casp7,Socs1,Vamp8,Ripk1,Tnfsf10,St3gal5,Cd86,Cd38,Cd69,Cd74,Fgl2,Ogfr,Rnf31,Peli1,Dhx58,Ifi30,Nod1,Tnfaip3,Irf2,Mvp,Irf8,P2ry14,Cd274,Ripk2,Lap3,Slc25a28,Zbp1,Ddx60,Slamf7,Trafd1,Isg15,Parp12,Rapgef6,Parp14,Helz2,Oas2,Oas3,Fcgr1,Cxcl9,Ddx58,Cmtr1,Ifi35,Isoc1,Rbck1,Ifi44l,Trim14,Irf7,Arid5b,Ube2l6,Mettl7b,Oasl1,Socs3,Lgals3bp,Nmi,Ifitm2,Cmklr1,Znfx1,Vamp5,Gbp3,Nampt,Rtp4,Epsti1,Bank1,Ifi44,Bst2,Lysmd2,Cmpk2,Eif4e3,Batf2,Ifi27,Sp110,Xaf1,Herc6,Sri,C1s1,Apol6,Nlrc5,Sppl2a,Ifit3
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	MSigDB mouse hallmark 2023.2	94	93	1	Tent5a	Wars1->Wars	Adar,B2m,Batf2,Bst2,C1s1,Casp1,Casp8,Ccrl2,Cd47,Cd74,Cmpk2,Cmtr1,Cnp,Csf1,Cxcl10,Cxcl11,Ddx60,Dhx58,Eif2ak2,Elf1,Epsti1,Gbp3,Gmpr,Helz2,Herc6,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm1,Ifitm2,Ifitm3,Il15,Il4ra,Il7,Irf1,Irf2,Irf7,Irf9,Isg15,Isg20,Lamp3,Lap3,Lgals3bp,Lpar6,Ly6e,Mov10,Mvb12a,Mx2,Ncoa7,Nmi,Nub1,Oas1a,Oasl1,Ogfr,Parp12,Parp14,Parp9,Plscr1,Pnpt1,Procr,Psma3,Psmb8,Psmb9,Psme1,Psme2,Ripk2,Rnf31,Rsad2,Rtp4,Samd9l,Sell,Slc25a28,Sp110,Stat2,Tap1,Tdrd7,Tmem140,Trafd1,Trim12c,Trim14,Trim21,Trim25,Trim26,Txnip,Uba7,Ube2l6,Usp18,Wars
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	MSigDB mouse hallmark 2023.2	188	187	1	Marchf1	Rigi->Ddx58,Wars1->Wars	Adar,Apol6,Arid5b,Arl4a,Auts2,B2m,Bank1,Batf2,Bpgm,Bst2,Btg1,C1s1,Casp1,Casp3,Casp4,Casp7,Casp8,Ccl5,Ccl7,Cd274,Cd38,Cd40,Cd69,Cd74,Cd86,Cdkn1a,Cfb,Cfh,Ciita,Cmklr1,Cmpk2,Cmtr1,Cxcl10,Cxcl11,Cxcl9,Ddx60,Dhx58,Eif2ak2,Eif4e3,Epsti1,Fas,Fcgr1,Fgl2,Fpr1,Gbp3,Gch1,Gpr18,Gzma,H2-Aa,H2-DMa,Helz2,Herc6,Hif1a,Icam1,Ido1,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm2,Ifitm3,Ifnar2,Il10ra,Il15,Il15ra,Il18bp,Il2rb,Il4ra,Il6,Il7,Irf1,Irf2,Irf4,Irf5,Irf7,Irf8,Irf9,Isg15,Isg20,Isoc1,Itgb7,Jak2,Lap3,Lats2,Lcp2,Lgals3bp,Ly6e,Lysmd2,Mettl7b,Mthfd2,Mvp,Mx2,Myd88,Nampt,Ncoa3,Nfkb1,Nfkbia,Nlrc5,Nmi,Nod1,Nup93,Oas2,Oas3,Oasl1,Ogfr,P2ry14,Parp12,Parp14,Pde4b,Peli1,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Pnp,Pnpt1,Psma2,Psma3,Psmb10,Psmb2,Psmb8,Psmb9,Psme1,Psme2,Ptgs2,Ptpn1,Ptpn2,Ptpn6,Rapgef6,Rbck1,Ddx58,Ripk1,Ripk2,Rnf213,Rnf31,Rsad2,Rtp4,Samd9l,Samhd1,Sectm1a,Selp,Serping1,Slamf7,Slc25a28,Socs1,Socs3,Sod2,Sp110,Sppl2a,Sri,Sspn,St3gal5,St8sia4,Stat1,Stat2,Stat3,Stat4,Tap1,Tapbp,Tdrd7,Tnfaip2,Tnfaip3,Tnfaip6,Tnfsf10,Tor1b,Trafd1,Trim14,Trim21,Trim25,Trim26,Txnip,Ube2l6,Upp1,Usp18,Vamp5,Vamp8,Vcam1,Wars,Xaf1,Xcl1,Zbp1,Znfx1
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	MSigDB mouse hallmark 2024.1	94	93	1	Tent5a	Wars1->Wars	Adar,B2m,Batf2,Bst2,C1s1,Casp1,Casp8,Ccrl2,Cd47,Cd74,Cmpk2,Cmtr1,Cnp,Csf1,Cxcl10,Cxcl11,Ddx60,Dhx58,Eif2ak2,Elf1,Epsti1,Gbp3,Gmpr,Helz2,Herc6,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm1,Ifitm2,Ifitm3,Il15,Il4ra,Il7,Irf1,Irf2,Irf7,Irf9,Isg15,Isg20,Lamp3,Lap3,Lgals3bp,Lpar6,Ly6e,Mov10,Mvb12a,Mx2,Ncoa7,Nmi,Nub1,Oas1a,Oasl1,Ogfr,Parp12,Parp14,Parp9,Plscr1,Pnpt1,Procr,Psma3,Psmb8,Psmb9,Psme1,Psme2,Ripk2,Rnf31,Rsad2,Rtp4,Samd9l,Sell,Slc25a28,Sp110,Stat2,Tap1,Tdrd7,Tmem140,Trafd1,Trim12c,Trim14,Trim21,Trim25,Trim26,Txnip,Uba7,Ube2l6,Usp18,Wars
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	MSigDB mouse hallmark 2024.1	188	187	1	Marchf1	Rigi->Ddx58,Tmt1b->Mettl7b,Wars1->Wars	Adar,Apol6,Arid5b,Arl4a,Auts2,B2m,Bank1,Batf2,Bpgm,Bst2,Btg1,C1s1,Casp1,Casp3,Casp4,Casp7,Casp8,Ccl5,Ccl7,Cd274,Cd38,Cd40,Cd69,Cd74,Cd86,Cdkn1a,Cfb,Cfh,Ciita,Cmklr1,Cmpk2,Cmtr1,Cxcl10,Cxcl11,Cxcl9,Ddx60,Dhx58,Eif2ak2,Eif4e3,Epsti1,Fas,Fcgr1,Fgl2,Fpr1,Gbp3,Gch1,Gpr18,Gzma,H2-Aa,H2-DMa,Helz2,Herc6,Hif1a,Icam1,Ido1,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm2,Ifitm3,Ifnar2,Il10ra,Il15,Il15ra,Il18bp,Il2rb,Il4ra,Il6,Il7,Irf1,Irf2,Irf4,Irf5,Irf7,Irf8,Irf9,Isg15,Isg20,Isoc1,Itgb7,Jak2,Lap3,Lats2,Lcp2,Lgals3bp,Ly6e,Lysmd2,Mthfd2,Mvp,Mx2,Myd88,Nampt,Ncoa3,Nfkb1,Nfkbia,Nlrc5,Nmi,Nod1,Nup93,Oas2,Oas3,Oasl1,Ogfr,P2ry14,Parp12,Parp14,Pde4b,Peli1,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Pnp,Pnpt1,Psma2,Psma3,Psmb10,Psmb2,Psmb8,Psmb9,Psme1,Psme2,Ptgs2,Ptpn1,Ptpn2,Ptpn6,Rapgef6,Rbck1,Ddx58,Ripk1,Ripk2,Rnf213,Rnf31,Rsad2,Rtp4,Samd9l,Samhd1,Sectm1a,Selp,Serping1,Slamf7,Slc25a28,Socs1,Socs3,Sod2,Sp110,Sppl2a,Sri,Sspn,St3gal5,St8sia4,Stat1,Stat2,Stat3,Stat4,Tap1,Tapbp,Tdrd7,Mettl7b,Tnfaip2,Tnfaip3,Tnfaip6,Tnfsf10,Tor1b,Trafd1,Trim14,Trim21,Trim25,Trim26,Txnip,Ube2l6,Upp1,Usp18,Vamp5,Vamp8,Vcam1,Wars,Xaf1,Xcl1,Zbp1,Znfx1
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	MSigDB mouse hallmark 2025.1	94	93	1	Tent5a	Wars1->Wars	Adar,B2m,Batf2,Bst2,C1s1,Casp1,Casp8,Ccrl2,Cd47,Cd74,Cmpk2,Cmtr1,Cnp,Csf1,Cxcl10,Cxcl11,Ddx60,Dhx58,Eif2ak2,Elf1,Epsti1,Gbp3,Gmpr,Helz2,Herc6,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm1,Ifitm2,Ifitm3,Il15,Il4ra,Il7,Irf1,Irf2,Irf7,Irf9,Isg15,Isg20,Lamp3,Lap3,Lgals3bp,Lpar6,Ly6e,Mov10,Mvb12a,Mx2,Ncoa7,Nmi,Nub1,Oas1a,Oasl1,Ogfr,Parp12,Parp14,Parp9,Plscr1,Pnpt1,Procr,Psma3,Psmb8,Psmb9,Psme1,Psme2,Ripk2,Rnf31,Rsad2,Rtp4,Samd9l,Sell,Slc25a28,Sp110,Stat2,Tap1,Tdrd7,Tmem140,Trafd1,Trim12c,Trim14,Trim21,Trim25,Trim26,Txnip,Uba7,Ube2l6,Usp18,Wars
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	MSigDB mouse hallmark 2025.1	188	187	1	Marchf1	Rigi->Ddx58,Tmt1b->Mettl7b,Wars1->Wars	Adar,Apol6,Arid5b,Arl4a,Auts2,B2m,Bank1,Batf2,Bpgm,Bst2,Btg1,C1s1,Casp1,Casp3,Casp4,Casp7,Casp8,Ccl5,Ccl7,Cd274,Cd38,Cd40,Cd69,Cd74,Cd86,Cdkn1a,Cfb,Cfh,Ciita,Cmklr1,Cmpk2,Cmtr1,Cxcl10,Cxcl11,Cxcl9,Ddx60,Dhx58,Eif2ak2,Eif4e3,Epsti1,Fas,Fcgr1,Fgl2,Fpr1,Gbp3,Gch1,Gpr18,Gzma,H2-Aa,H2-DMa,Helz2,Herc6,Hif1a,Icam1,Ido1,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm2,Ifitm3,Ifnar2,Il10ra,Il15,Il15ra,Il18bp,Il2rb,Il4ra,Il6,Il7,Irf1,Irf2,Irf4,Irf5,Irf7,Irf8,Irf9,Isg15,Isg20,Isoc1,Itgb7,Jak2,Lap3,Lats2,Lcp2,Lgals3bp,Ly6e,Lysmd2,Mthfd2,Mvp,Mx2,Myd88,Nampt,Ncoa3,Nfkb1,Nfkbia,Nlrc5,Nmi,Nod1,Nup93,Oas2,Oas3,Oasl1,Ogfr,P2ry14,Parp12,Parp14,Pde4b,Peli1,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Pnp,Pnpt1,Psma2,Psma3,Psmb10,Psmb2,Psmb8,Psmb9,Psme1,Psme2,Ptgs2,Ptpn1,Ptpn2,Ptpn6,Rapgef6,Rbck1,Ddx58,Ripk1,Ripk2,Rnf213,Rnf31,Rsad2,Rtp4,Samd9l,Samhd1,Sectm1a,Selp,Serping1,Slamf7,Slc25a28,Socs1,Socs3,Sod2,Sp110,Sppl2a,Sri,Sspn,St3gal5,St8sia4,Stat1,Stat2,Stat3,Stat4,Tap1,Tapbp,Tdrd7,Mettl7b,Tnfaip2,Tnfaip3,Tnfaip6,Tnfsf10,Tor1b,Trafd1,Trim14,Trim21,Trim25,Trim26,Txnip,Ube2l6,Upp1,Usp18,Vamp5,Vamp8,Vcam1,Wars,Xaf1,Xcl1,Zbp1,Znfx1
