subset	endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
all_NSCLC	CD8A	15	15	5.880039692	6.656091159	88.0	0.3195059648919748	-0.21777777777777774
all_NSCLC	CD274	15	15	6.70547066	7.428323419	95.0	0.48073111045562256	-0.15555555555555556
ADC	CD8A	10	10	6.1906797925	7.0218753925	31.0	0.16197241048012612	-0.38
ADC	CD274	10	10	6.9302024875	6.7546965645	57.0	0.6231762238821174	0.1399999999999999
SCC	CD8A	5	5	5.880039692	5.370975767	13.0	1.0	0.040000000000000036
SCC	CD274	5	5	7.343800983	7.347227472	12.0	1.0	-0.040000000000000036
