gene	present	collapse_probe
CLDN4	1	201428_at
CD8A	1	205758_at
CD274	1	227458_at
TACSTD2	1	202286_s_at
EPCAM	1	201839_s_at
KRT8	1	209008_x_at
KRT18	1	201596_x_at
KRT19	1	201650_at
CDH1	1	201131_s_at
KRT7	1	209016_s_at
