gene	probe	gpl570_symbol	entrez	title	in_matrix	is_named_primary	listed_named	chosen_for_collapse	mean_gcrma
CLDN4	1569421_at	CLDN4	1364	claudin 4	True	False	True	False	2.2227010144999997
CLDN4	201428_at	CLDN4	1364	claudin 4	True	True	True	True	8.869285652362068
CD8A	205758_at	CD8A	925	CD8a molecule	True	True	True	True	6.34613188513793
CD274	223834_at	CD274	29126	CD274 molecule	True	False	True	False	3.9643446808620686
CD274	227458_at	CD274	29126	CD274 molecule	True	True	True	True	7.101136516862069
TACSTD2	202285_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	False	True	False	2.270191411896552
TACSTD2	202286_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	True	True	True	12.496735213844827
TACSTD2	202287_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	False	True	False	2.6497175599310343
TACSTD2	227128_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	False	True	False	1.872550442465517
