cohort	patient	n_total	n_epithelial	n_mal_high	n_mal_low	n_TNK	n_T	n_CXCL13pos_T	cldn4_median	mean_CLDN4_epithelial	eligible_TNK	eligible_CXCL13T	gate
GSE207422	P01	4741	588	294	294	674	482	7	2.2579002380371094	2.05611252784729	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P02	5345	107	53	54	2899	2796	199	2.151285171508789	1.9163539409637451	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P03	9259	804	402	402	5060	4692	2133	1.1436527967453003	1.0828747749328613	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P04	8398	145	72	73	5616	5205	1015	1.7016154527664185	1.4964123964309692	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P05	3113	1484	742	742	813	732	134	0.741814374923706	0.8954183459281921	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P06	4649	64	32	32	2924	2575	741	1.700814127922058	1.5623774528503418	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P07	9131	5121	2560	2561	1087	926	104	1.677560806274414	1.6801241636276245	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P08	5825	190	95	95	3174	3040	19	1.8442918062210083	1.5902822017669678	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P09	4849	271	135	136	3283	3080	1548	1.5280393362045288	1.7184779644012451	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P10	6643	208	104	104	4080	3546	1227	0.9173206090927124	1.049410343170166	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P11	3759	439	219	220	1690	1383	113	1.9561278820037842	1.8974274396896362	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P12	6233	482	241	241	1386	1284	387	0.6159108877182007	0.8651391863822937	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P13	6753	35	17	18	1347	1271	92	1.8018492460250854	1.657923698425293	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P14	5546	186	93	93	2863	2636	253	1.5639746189117432	1.4671915769577026	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P15	8086	545	272	273	1525	1071	41	1.5655882358551025	1.4553238153457642	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
