genotype	compartment	N	frac
K	tnk	1172	0.379288025889968
K	myeloid	878	0.284142394822007
K	other	265	0.0857605177993528
K	epithelial	207	0.0669902912621359
K	caf	203	0.0656957928802589
K	endo	187	0.0605177993527508
K	b	175	0.0566343042071198
K	host_epithelial	3	0.000970873786407767
KK	myeloid	1136	0.398177357167893
KK	caf	441	0.154574132492114
KK	tnk	411	0.144058885383807
KK	endo	380	0.133193130038556
KK	other	369	0.129337539432177
KK	epithelial	102	0.035751840168244
KK	b	14	0.00490711531720995
KLK	myeloid	721	0.358171882762047
KLK	caf	559	0.277694982613015
KLK	other	229	0.113760556383507
KLK	tnk	211	0.10481867858917
KLK	endo	196	0.0973671137605564
KLK	epithelial	71	0.035270740188773
KLK	b	26	0.012916045702931
