sample	genotype	closest_to_user_KL	stk11	keap1	n_cells	n_epithelial	n_host_epithelial	n_tnk	frac_tnk	n_cldn4_pos	n_myeloid	n_caf	n_endo	n_b	n_other	frac_epithelial	Cldn4_all_n	Cldn4_all_mean	Cldn4_all_pctpos	Cldn4_all_mean_log1p	Cldn4_epithelial_n	Cldn4_epithelial_mean	Cldn4_epithelial_pctpos	ifn_isg_epithelial_mean	mhc1_epithelial_mean	ifn_core6_epithelial_mean	seurat_ifn_epithelial_mean	seurat_mhc1_epithelial_mean	ifn_isg_all_mean	mhc1_all_mean
LKR13-K-1	K	FALSE	WT	WT	1767	127	0	753	0.426146010186757	2	412	94	88	150	143	0.0718732314657612	1767	0.00735710243350311	0.113186191284663	0.00184385768988199	127	0.102362204724409	1.5748031496063	0.303880788374689	1.23171768986961	0.566374648998236	-0.0421492059852257	0.408220258824524	0.242852833305431	0.831295850379311
LKR13-K-2	K	FALSE	WT	WT	1323	80	3	419	0.316704459561602	1	466	109	99	25	122	0.0604686318972033	1323	0.000755857898715042	0.0755857898715042	0.000523920771398296	80	0	0	0.263898706452367	0.928504178370977	0.489857279066836	-0.0359453436145677	0.324232948440702	0.195720178314962	0.690477174838091
LKR13-KK-1	KK	FALSE	WT	KO	2172	82	0	367	0.168968692449355	1	827	304	284	12	296	0.0377532228360958	2172	0.000460405156537753	0.0460405156537753	0.000319128536169404	82	0	0	0.422851902533789	1.27523444000775	0.699420135269197	0.0449191665343908	0.418554490608118	0.306003509739504	0.827996149211027
LKR13-KK-2	KK	FALSE	WT	KO	681	20	0	44	0.0646108663729809	0	309	137	96	2	73	0.0293685756240822	681	0	0	0	20	0	0	0.275469155190681	0.78415354043729	0.410821491112036	-0.0736567170528098	0.0639797083994707	0.221246416157046	0.633956665634329
LKR13-KLK-1	KLK	TRUE	KO	KO	1232	60	0	171	0.138798701298701	0	433	325	131	4	108	0.0487012987012987	1232	0	0	0	60	0	0	0.541536661006867	1.35500348659889	0.915964597391313	0.121231222720902	0.368347463732585	0.358760401638437	0.915028360362762
LKR13-KLK-2	KLK	TRUE	KO	KO	781	11	0	40	0.0512163892445583	2	288	234	65	22	121	0.0140845070422535	781	0.00256081946222791	0.256081946222791	0.00177502479016631	11	0	0	0.241367923899117	0.570820615854776	0.318948496595665	-0.133873942530451	-0.227651331733702	0.166734400426169	0.386499612184654
