metric	n_tumors	KLK	K	delta_KLK_minus_K	MW_p	KLK_values	K_values
frac_tnk	2 vs 2	0.0950075452716298	0.37142523487418	-0.27641768960255	0.333333333333333	0.138799,0.0512164	0.426146,0.316704
Cldn4_all_mean	2 vs 2	0.00128040973111396	0.00405648016610908	-0.00277607043499512	0.666666666666667	0,0.00256082	0.0073571,0.000755858
Cldn4_all_pctpos	2 vs 2	0.128040973111396	0.0943859905780837	0.0336549825333119	1	0,0.256082	0.113186,0.0755858
Cldn4_epithelial_mean	2 vs 2	0	0.0511811023622047	-0.0511811023622047	1	0,0	0.102362,0
Cldn4_epithelial_pctpos	2 vs 2	0	0.78740157480315	-0.78740157480315	1	0,0	1.5748,0
ifn_isg_epithelial_mean	2 vs 2	0.391452292452992	0.283889747413528	0.107562545039464	1	0.541537,0.241368	0.303881,0.263899
mhc1_epithelial_mean	2 vs 2	0.962912051226834	1.08011093412029	-0.117198882893461	1	1.355,0.570821	1.23172,0.928504
n_epithelial	2 vs 2	35.5	103.5	-68	0.333333333333333	60,11	127,80
