gene	present	n_pos	pct_pos	mean_counts	max_counts
Acta2	TRUE	773	9.71593765711413	1.56825037707391	1070
Ager	TRUE	48	0.603318250377074	0.00603318250377074	1
Atp5a1	TRUE	4736	59.5274007038713	1.75980392156863	34
Atp5b	TRUE	4602	57.843137254902	2.05806938159879	72
B2m	TRUE	7127	89.5801910507793	13.1478129713424	208
Bst2	TRUE	3018	37.9336349924585	1.74509803921569	102
Calr	TRUE	4538	57.0387129210659	2.86261940673705	68
Canx	TRUE	4049	50.8924082453494	1.28305681246858	30
Cd14	TRUE	3568	44.8466566113625	8.21857717445953	262
Cd2	TRUE	1465	18.4137757667169	0.586978381096028	21
Cd3d	TRUE	1521	19.1176470588235	1.10721468074409	37
Cd3e	TRUE	1581	19.8717948717949	1.38084464555053	51
Cd3g	TRUE	1393	17.5087983911513	1.15811965811966	53
Cd4	TRUE	547	6.87531422825541	0.127953745600804	13
Cd68	TRUE	2349	29.5248868778281	0.857340372046254	44
Cd79a	TRUE	288	3.61990950226244	0.35369532428356	47
Cd8a	TRUE	774	9.72850678733032	0.551156359979889	31
Cd8b1	TRUE	779	9.79135243841126	0.496732026143791	26
Cdh1	TRUE	371	4.66314731020613	0.0643539467068879	7
Cdh5	TRUE	278	3.49421820010055	0.327174459527401	52
Cldn4	TRUE	6	0.0754147812971343	0.00213675213675214	12
Cldn5	TRUE	210	2.6395173453997	0.288712921065862	167
Cmpk2	TRUE	239	3.00402212166918	0.0953996983408748	49
Col1a1	TRUE	1288	16.1890397184515	27.916163901458	1799
Cox5a	TRUE	5194	65.2840623428859	2.64957264957265	57
Cox7a2	TRUE	4994	62.7702362996481	2.30467571644042	39
Csf1r	TRUE	2198	27.6269482151835	1.02312719959779	27
Cycs	TRUE	4028	50.6284565108095	1.44042232277526	60
Dcn	TRUE	979	12.3051784816491	2.87719959778783	224
Ddx58	TRUE	890	11.1865258924082	0.145424836601307	7
Dtx3l	TRUE	1156	14.5299145299145	0.204751131221719	32
Epcam	TRUE	259	3.25540472599296	0.0597033685268979	19
Gzma	TRUE	217	2.72750125691302	0.700729009552539	342
H2-D1	TRUE	6778	85.1935646053293	11.0550527903469	204
H2-K1	TRUE	6556	82.4032176973353	11.4636752136752	228
H2-Q4	TRUE	3439	43.2252388134741	1.17081447963801	49
H2-Q7	TRUE	4159	52.2750125691302	2.63360985419809	64
H2-T23	TRUE	2970	37.3303167420815	0.702614379084967	16
Ifi27	TRUE	2444	30.718954248366	0.711287078934138	42
Ifi27l2a	TRUE	3236	40.6737053795877	2.74007038712921	161
Ifi44	TRUE	538	6.7621920563097	0.117144293614882	12
Ifih1	TRUE	863	10.8471593765711	0.201106083459025	21
Ifit1	TRUE	667	8.38360985419809	0.502513826043238	107
Ifit2	TRUE	256	3.21769733534439	0.0696329813976873	16
Ifit3	TRUE	222	2.79034690799397	0.0720211161387632	33
Ifitm3	TRUE	4574	57.4912016088487	11.148315736551	484
Irf1	TRUE	2315	29.0975364504776	0.792106586224233	81
Irf7	TRUE	1605	20.1734539969834	0.515711412770236	51
Irf9	TRUE	1394	17.5213675213675	0.220211161387632	7
Isg15	TRUE	2552	32.0764203117144	1.76835093011564	143
Itgam	TRUE	1045	13.1347410759175	0.224610356963298	14
Klrb1c	TRUE	44	0.553041729512318	0.00641025641025641	3
Klrd1	TRUE	754	9.47712418300654	0.273127199597788	30
Krt18	TRUE	1321	16.6038210155857	0.283056812468577	66
Krt19	TRUE	250	3.14228255404726	0.0546757164404223	44
Krt7	TRUE	142	1.78481649069884	0.033308195072901	42
Krt8	TRUE	973	12.2297637003519	0.196581196581197	43
Ly6e	TRUE	5701	71.6566113624937	6.17785319255908	131
Lyz2	TRUE	3039	38.1975867269985	11.8861236802413	1577
Ms4a1	TRUE	127	1.59627953745601	0.0461287078934138	36
Mx1	TRUE	202	2.53896430367019	0.0594519859225742	14
Mx2	FALSE	0			
Napsa	TRUE	1429	17.9612870789341	0.43413775766717	97
Ncr1	TRUE	70	0.879839115133233	0.02061337355455	15
Ndufa1	TRUE	4322	54.323780794369	1.47259929612871	44
Ndufb3	TRUE	2701	33.9492207139266	0.545751633986928	11
Nkg7	TRUE	1146	14.4042232277526	1.44482151835093	97
Nkx2-1	FALSE	0			
Nlrc5	TRUE	740	9.30115635997989	0.110105580693816	4
Oas1a	TRUE	640	8.04424333836099	0.107968828557064	8
Oas2	TRUE	219	2.7526395173454	0.0331825037707391	5
Oasl1	TRUE	1248	15.6862745098039	0.690296631473102	75
Parp9	TRUE	981	12.3303167420814	0.160382101558572	10
Pdgfra	TRUE	674	8.47159376571141	0.311337355455003	36
Pdia3	TRUE	4125	51.8476621417798	1.94796380090498	84
Pecam1	TRUE	1079	13.562091503268	0.457516339869281	52
Plscr1	TRUE	1456	18.3006535947712	0.322775263951735	20
Prf1	TRUE	416	5.22875816993464	0.145173453996983	86
Psmb10	TRUE	2760	34.6907993966818	0.702362996480644	23
Psmb8	TRUE	4478	56.2845651080945	2.25465057817999	74
Psmb9	TRUE	2910	36.5761689291101	0.848919054801408	38
Psme1	TRUE	4368	54.9019607843137	1.70550527903469	77
Psme2	TRUE	4517	56.7747611865259	1.85859728506787	46
Ptprc	TRUE	3586	45.0729009552539	1.1850175967823	24
Rsad2	TRUE	648	8.1447963800905	1.0148315736551	172
Scgb1a1	TRUE	5	0.0628456510809452	0.00100553041729512	3
Scgb3a2	FALSE	0			
Sdha	TRUE	2357	29.6254399195576	0.427978883861237	9
Sftpa1	FALSE	0			
Sftpb	TRUE	0	0	0	0
Sftpc	FALSE	0			
Sp100	TRUE	1902	23.9064856711916	0.369909502262443	14
Stat1	TRUE	2952	37.1040723981901	1.05103066867773	33
Stat2	TRUE	1034	12.9964806435395	0.184514831573655	9
Tacstd2	TRUE	128	1.6088486676722	0.0204876822523881	6
Tap1	TRUE	2909	36.5635997988939	0.800402212166918	38
Tap2	TRUE	2354	29.587732528909	0.49069884364002	12
Tapbp	TRUE	3962	49.798893916541	1.34841628959276	31
Uqcrc1	TRUE	2809	35.306686777275	0.652589240824535	26
Usp18	TRUE	413	5.19105077928607	0.0908748114630468	14
Vdac1	TRUE	2931	36.8401206636501	0.859854198089492	30
Vwf	TRUE	232	2.91603821015586	0.112745098039216	29
