accession	decision	title	n_processed	processed_bytes	geo_matches	rationale	study_url
E-GEOD-11759	exclude_geo_mirror	Transcription profiling of mouse conditional intestinal epithelial Hnf4Ialpha knockout to investigate the role of HNF4alpha in the adult colon	0	0	E-GEOD-11759;GSE11759	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-11759
E-GEOD-15212	exclude_geo_mirror	Identification and validation of NOL5A and RPS2 as potential therapeutic targtes in colorectal cancer	0	0	E-GEOD-15212;GSE15212	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-15212
E-GEOD-15827	exclude_geo_mirror	Gene expression analysis of 15-Lipoxygenase 2 (15-LOX2) transgenic mice	6	10527436	E-GEOD-15827;GSE15827	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-15827
E-GEOD-19753	exclude_geo_mirror	Transcription profiling of mouse lung tumor tissue from TI-K (CCSP-rtTA;TRE-KrasV12), TI-KM (CCSP-rtTA; TRE-KrasV12; TRE-Mad2), recurrence (TI-KM) or normal lung tissue (CCSP-rtTA) reveals Mad2-induced chromosome instability leads to lung tumor relapse after oncogene withdrawal	29	461766385	E-GEOD-19753;GSE19753	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-19753
E-GEOD-22013	exclude_geo_mirror	Early life growth and gene profile changes during childhood	23	13670001	E-GEOD-22013;GSE22013	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-22013
E-GEOD-22493	exclude_geo_mirror	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	3	1869746	E-GEOD-22493;GSE22493	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-22493
E-GEOD-24584	exclude_geo_mirror	The antitumor mechanism of Desmosdumotin C Analog	2	1825112	E-GEOD-24584;GSE24584	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-24584
E-GEOD-27556	exclude_geo_mirror	Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer	10	9794245	E-GEOD-27556;GSE27556	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-27556
E-GEOD-29573	exclude_geo_mirror	Two Forkhead transcription factors regulate the division of cardiac progenitor cells by a Polo-dependent pathway	6	1851766	E-GEOD-29573;GSE29573	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-29573
E-GEOD-33348	exclude_geo_mirror	The Rho Exchange Factors Vav2 and Vav3 Control a Lung MetastasisM-bM-^@M-^SSpecific Transcriptional Program in Breast Cancer Cells	15	10630589	E-GEOD-33348;GSE33348	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-33348
E-GEOD-34946	exclude_geo_mirror	Two Forkhead transcription factors regulate cardiac progenitor cell divisions by a Polo kinase-dependent pathway	6	2655508	E-GEOD-34946;GSE34946	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-34946
E-GEOD-3521	exclude_geo_mirror	A compact VEGF signature associated with distant metastases and poor outcomes	195	379346431	E-GEOD-3521;GSE3521	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-3521
E-GEOD-35617	exclude_geo_mirror	The invasion promoter Slug is a critical cell cycle regulator	1	2046346	E-GEOD-35617;GSE35617	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-35617
E-GEOD-35640	exclude_geo_mirror	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer	65	87790350	E-GEOD-35640;GSE35640	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-35640
E-GEOD-39297	exclude_geo_mirror	PEA15 regulates the DNA damage induced cell cycle checkpoint and oncogene-directed transformation	6	9230362	E-GEOD-39297;GSE39297	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-39297
E-GEOD-40791	exclude_geo_mirror	Usp44 binds centrin to regulate centrosome positioning and suppress tumorigenesis	194	241162550	E-GEOD-40791;GSE40791	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-40791
E-GEOD-42112	exclude_geo_mirror	Comparison of extravillous trophoblast cells derived from human embryonic stem cells and from first trimester human placentas	13	8118798	E-GEOD-42112;GSE42112	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-42112
E-GEOD-42728	exclude_geo_mirror	Genome wide maps of p53 binding in IMR90 cells	7	228092919	E-GEOD-42728;GSE42728	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-42728
