regulon	tf	kind	n_targets	mean_r	targets	n_cells	n_samples	note
ELF3_pearson_cldn4_high_LUAD	ELF3	pearson_cldn4_high_LUAD	50	0.41194622071996906	PPDPF;KRT7;RPS8;CLDN7;S100P;RPL31;EEF1A1;RPS12;RPS18;RPS24;RPLP2;PERP;RPL4;RPL13;PPIA;RPS13;RPL37;RPL23A;RPS17;GSTP1;RACK1;RPS4X;LGALS3BP;SPINT1;KRT8;RPL10A;RPL37A;RPLP1;LCN2;RPL14;TACSTD2;COX7C;EPCAM;RPS3;RPL19;ATP5F1B;RPL27;ANXA2;RPL38;COX6C;AES;RPS14;RPL39;MAFK;MT-CO1;CANX;S100A14;RPL13A;SLC25A6;RAB25	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
GRHL1_pearson_cldn4_high_LUAD	GRHL1	pearson_cldn4_high_LUAD	50	0.2148056890916145	PRSS8;STXBP6;IGFBP3;RDH10;CDCP1;EGLN3;SPINT1;TACSTD2;ITGA10;STC1;QSOX1;GPRC5A;VEGFA;SERINC2;YAP1;EZR;ERO1A;CSTB;BCL9L;CTNND1;TMC5;IFI27;FREM2;TPBG;GIPR;CAPN1;PLIN2;CARHSP1;ELF3;SND1;VAMP8;MYO1B;GOLM1;JUP;KIF13B;PPDPF;SMAD3;NDRG1;PERP;DSP;CAST;CP;CALR;DDR1;PAM;KIAA1522;SERPINE1;PRKD1;SCNN1A;FAM83A	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
GRHL2_pearson_cldn4_high_LUAD	GRHL2	pearson_cldn4_high_LUAD	50	0.28003108213369	DSG2;DDR1;SLC7A5;IPO7;RCN1;GPRC5A;PLS3;ERBB3;DSP;SERBP1;SERINC2;KRT8;KRT19;SPINT1;SLC2A1;KRT7;JUP;KRT18;FAM83A;PERP;WWC1;PPP1R14B;LGALS3BP;LDHA;EIF5B;EZR;ADCY3;NCCRP1;EIF1AX;PROSER2;ATP11A;EPCAM;EI24;PTPRF;TACSTD2;PON2;SDC1;S100A14;PKM;LAMA5;GALNT2;BZW2;ITGB1;CD24;METAP2;SEPT9;ANXA2;HDLBP;SLC3A2;REEP3	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
KLF4_pearson_cldn4_high_LUAD	KLF4	pearson_cldn4_high_LUAD	50	0.24398162824527656	JUN;NR4A1;ATF3;CXCL2;S100P;LGALS3BP;AES;RPLP0;RHOB;PPDPF;EEF2;EEF1A1;SSR4;TOMM7;RPL27A;RPL13A;CPM;RPS27;RACK1;RPL27;ELF3;GSTP1;KLF5;RPL6;TCIM;SLC25A6;DUSP4;ATP1B1;LGALS3;UQCRH;SLC7A2;KRT17;MUC1;BACE2;HSPA1B;MYDGF;ATP5F1B;RPL23A;S100A14;DSTN;ATP2A2;CD2AP;XBP1;S100A16;CST3;RPL37A;TGIF1;KRT8;RPL31;COX6C	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
KLF5_pearson_cldn4_high_LUAD	KLF5	pearson_cldn4_high_LUAD	50	0.39839405960483587	KRT17;RACK1;GSTP1;RPL4;RPS5;KRT8;RPL27;ATP5F1B;RPL14;RPL8;S100P;RPLP0;RAB25;RPL23A;RPS18;RPL10A;PERP;EEF2;S100A16;COX6C;RPL3;EIF4B;RPL13A;CCT2;RPS12;RPL9;RPL13;MTATP6P1;COX7C;DSTN;RPLP1;RPS17;RPS15A;RPS14;RPS13;RIMKLB;EEF1A1;MAFK;PPDPF;RPS2;LRRC75A-AS1;RPS24;RPS23;CLDN7;KRT7;RPL21;RPL35;ELF3;AP001324.1;RPL24	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
OVOL1_pearson_cldn4_high_LUAD	OVOL1	pearson_cldn4_high_LUAD	50	0.25385316473096425	STC1;EGLN3;PDE4D;NDRG1;GPRC5A;VEGFA;TFAP2A;FAM83A;CLMP;ERO1A;OSMR;EFNA1;CARHSP1;H1F0;PFKP;TACSTD2;BZW1;EZR;LDHA;SNX9;CAST;IGFBP3;GNG4;ARNT2;EGFR;EIF1AX;PLIN2;BCAR3;SMAD3;NECTIN4;PRSS8;PTTG1IP;F3;JUN;CCL20;SLC2A1;HPCAL1;DSP;CITED2;TPBG;C15orf48;KRT19;KRT81;ITGA2;STMN3;ATP2C2;SEC61G;CLIP1;CSTB;DARS	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
OVOL2_pearson_cldn4_high_LUAD	OVOL2	pearson_cldn4_high_LUAD	50	0.16656144494605976	GFI1B;ADGRV1;YIPF2;SNRPA;EEF2;LHX5;NDUFB9;CDC16;IDH1;S100A14;LY6G6C;GTF3A;PRMT1;RPL3;PAICS;SNRPD3;UQCRC2;SUCLG2;YAP1;PRR15L;RHEB;ATP5F1B;EEF1D;CLDN7;PPDPF;SNU13;LAMTOR1;TXNL4A;MAZ;NDUFA13;RPS26;CTTN;UQCC2;SEPHS1;CDKN1C;CRAT;RPL23A;STK24;RPL22;TIMM17A;LDHB;RPL15;PARK7;RPS15;RPL7A;SLC25A39;CEP131;RACK1;NDUFAB1;MCU	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
TFAP2A_pearson_cldn4_high_LUAD	TFAP2A	pearson_cldn4_high_LUAD	50	0.5428386485448823	LDHA;PFKP;EZR;GNG4;F3;SPINT1;SLC2A1;SLC7A5;PKM;KRT81;EGLN3;PTTG1IP;SERINC2;TACSTD2;CD99;PPP1R14B;ANXA2;ERO1A;CD24;FAM83A;APOL1;C3;CAST;CAMK2N1;HPCAL1;ITGB1;DSP;VEGFA;C15orf48;NCCRP1;KRT19;AHNAK;PLS3;EFNA1;PON2;JPT2;S100A10;GPRC5A;JUP;SLC39A4;SERBP1;QPRT;KRT7;ERBB3;ITGB4;NNMT;EGFR;CARHSP1;ADAMTSL4;ATP11A	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
SP1_pearson_cldn4_high_LUAD	SP1	pearson_cldn4_high_LUAD	50	0.11671503466136167	SMG1;MSN;MCL1;FRMD8;BAZ2B;PPP1R12A;TXNIP;MOB1A;WIPF1;CASP8;GNAI2;APOBEC3A;TNFSF14;ATP6V1B2;LAMTOR4;RTN3;TLE3;S100A8;YPEL3;SRGN;RNASET2;WAS;STK17B;MALAT1;TMF1;PADI2;MED13;NCOA4;BPTF;TBL1X;CAPZB;STAG2;MYH9;TMSB4X;BTK;PPT1;NFE2L1;MAML2;RIPOR2;EIF4G3;CDA;FAM129A;NUB1;ITM2B;IGF1R;CCAR1;SNRNP200;IFITM2;LITAF;MSL1	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
TP63_pearson_cldn4_high_LUAD	TP63	pearson_cldn4_high_LUAD	50	0.2551060972692703	PDGFD;HP;PTN;MGP;RBMS3;COLCA1;ROS1;ETV1;RBP1;INPP5J;MMP13;ELN;NPAS3;ZNF608;DMD;GPC3;EGFL6;CERNA2;S100A2;LAYN;GUCY1A1;ANK3;SIX1;JAG1;EGR4;TET1;KRT5;SLC2A12;TSHZ2;FAT2;ADGRL3;NRP2;VANGL2;TEAD2;LMO3;FIGN;MMP1;LTF;NT5DC2;C9orf3;CSF1;NFIB;PIEZO2;TMEM98;MCC;HDGFL3;C1QTNF3;NDRG4;AUTS2;MSX1	1633	6	LUAD-only sensitivity; CLDN4-high within-sample; CLDN4 held out
