Cancer_type,Cell_Line,sub_clone,Study_ID,GSM_ID,Baseline,cytokines,Cell_treatment,Cell_genotype,SRX_ID,SampleName
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_4T1_IFNb_rep1
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_4T1_IFNb_rep2
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_4T1_IFNb_rep3
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_4T1_IFNg_rep1
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNg_rep2,0,IFNg,IFNg,WT,NA,Manguso_4T1_IFNg_rep2
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_IFNg_rep3,0,IFNg,IFNg,WT,NA,Manguso_4T1_IFNg_rep3
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_nostim_rep1,1,NA,no_treatment,WT,NA,Manguso_4T1_nostim_rep1
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_nostim_rep2,1,NA,no_treatment,WT,NA,Manguso_4T1_nostim_rep2
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_4T1_nostim_rep3
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_4T1_TNFa_rep1
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_4T1_TNFa_rep2
Mammary carcinoma,4T1,parental,RTM28723893,RTM_4T1_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_4T1_TNFa_rep3
Melanoma,B16,parental,RTM28723893,RTM_B16_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_B16_IFNb_rep1
Melanoma,B16,parental,RTM28723893,RTM_B16_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_B16_IFNb_rep2
Melanoma,B16,parental,RTM28723893,RTM_B16_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_B16_IFNb_rep3
Melanoma,B16,parental,RTM28723893,RTM_B16_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_B16_IFNg_rep1
Melanoma,B16,parental,RTM28723893,RTM_B16_nostim_rep1,1,NA,no_treatment,WT,NA,Manguso_B16_nostim_rep1
Melanoma,B16,parental,RTM28723893,RTM_B16_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_B16_nostim_rep3
Melanoma,B16,parental,RTM28723893,RTM_B16_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_B16_TNFa_rep1
Melanoma,B16,parental,RTM28723893,RTM_B16_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_B16_TNFa_rep2
Melanoma,B16,parental,RTM28723893,RTM_B16_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_B16_TNFa_rep3
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNb_rep1_d07,0,IFNb,IFNb,WT,NA,Manguso_C38_clone3_IFNb_rep1_d07
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNb_rep2_d08,0,IFNb,IFNb,WT,NA,Manguso_C38_clone3_IFNb_rep2_d08
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNb_rep3_d09,0,IFNb,IFNb,WT,NA,Manguso_C38_clone3_IFNb_rep3_d09
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNg_rep1_c10,0,IFNg,IFNg,WT,NA,Manguso_C38_clone3_IFNg_rep1_c10
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNg_rep2_c11,0,IFNg,IFNg,WT,NA,Manguso_C38_clone3_IFNg_rep2_c11
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_IFNg_rep3_c12,0,IFNg,IFNg,WT,NA,Manguso_C38_clone3_IFNg_rep3_c12
