Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[sample type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[disease]	Factor Value[sample type]
LCP89_Coculture	ERS27100403	SAMEA120399717	Homo sapiens	IIA	male	LUAD	Co-Culture	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP89_Coculture	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP89_Coculture	sequencing assay	ERX15147218	P-MTAB-157239	mimetic3.fastq.gz	mimetic3.fastq.gz	ERR15741496	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/096/ERR15741496/ERR15741496.fastq.gz	P-MTAB-157240	LCP89_CO_matrix.mtx.gz	P-MTAB-157240	LCP89_CO_barcodes.tsv.gz	P-MTAB-157240	LCP89_CO_features.tsv.gz	LUAD	Co-Culture
LCP89_N_ORG	ERS27100404	SAMEA120399718	Homo sapiens	IIA	male	LUAD	Normal Organoid	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP89_N_ORG	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP89_N_ORG	sequencing assay	ERX15147219	P-MTAB-157239	mimetic14.fastq.gz	mimetic14.fastq.gz	ERR15741497	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/097/ERR15741497/ERR15741497.fastq.gz	P-MTAB-157240	LCP89_N_ORG_matrix.mtx.gz	P-MTAB-157240	LCP89_N_ORG_barcodes.tsv.gz	P-MTAB-157240	LCP89_N_ORG_features.tsv.gz	LUAD	Normal Organoid
LCP89_TILs	ERS27100405	SAMEA120399719	Homo sapiens	IIA	male	LUAD	TILs	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP89_TILs	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP89_TILs	sequencing assay	ERX15147220	P-MTAB-157239	mimetic2.fastq.gz	mimetic2.fastq.gz	ERR15741498	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/098/ERR15741498/ERR15741498.fastq.gz	P-MTAB-157240	LCP89_TIL_matrix.mtx.gz	P-MTAB-157240	LCP89_TIL_barcodes.tsv.gz	P-MTAB-157240	LCP89_TIL_features.tsv.gz	LUAD	TILs
LCP89_Tumor_Organoid	ERS27100406	SAMEA120399720	Homo sapiens	IIA	male	LUAD	Tumor_Organoid	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP89_Tumor_Organoid	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP89_Tumor_Organoid	sequencing assay	ERX15147221	P-MTAB-157239	mimetic1.fastq.gz	mimetic1.fastq.gz	ERR15741499	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/099/ERR15741499/ERR15741499.fastq.gz	P-MTAB-157240	LCP89_T_ORG_matrix.mtx.gz	P-MTAB-157240	LCP89_T_ORG_barcodes.tsv.gz	P-MTAB-157240	LCP89_T_ORG_features.tsv.gz	LUAD	Tumor_Organoid
LCP90_Coculture	ERS27100407	SAMEA120399721	Homo sapiens	IIA	male	LUAD	Co-Culture	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP90_Coculture	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP90_Coculture	sequencing assay	ERX15147222	P-MTAB-157239	mimetic6.fastq.gz	mimetic6.fastq.gz	ERR15741500	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/000/ERR15741500/ERR15741500.fastq.gz	P-MTAB-157240	LCP90_CO_matrix.mtx.gz	P-MTAB-157240	LCP90_CO_barcodes.tsv.gz	P-MTAB-157240	LCP90_CO_features.tsv.gz	LUAD	Co-Culture
LCP90_TILs	ERS27100408	SAMEA120399722	Homo sapiens	IIA	male	LUAD	TILs	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP90_TILs	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP90_TILs	sequencing assay	ERX15147223	P-MTAB-157239	mimetic5.fastq.gz	mimetic5.fastq.gz	ERR15741501	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/001/ERR15741501/ERR15741501.fastq.gz	P-MTAB-157240	LCP90_TIL_matrix.mtx.gz	P-MTAB-157240	LCP90_TIL_barcodes.tsv.gz	P-MTAB-157240	LCP90_TIL_features.tsv.gz	LUAD	TILs
LCP90_Tumor_Organoid	ERS27100409	SAMEA120399723	Homo sapiens	IIA	male	LUAD	Tumor_Organoid	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP90_Tumor_Organoid	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP90_Tumor_Organoid	sequencing assay	ERX15147224	P-MTAB-157239	mimetic4.fastq.gz	mimetic4.fastq.gz	ERR15741502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/002/ERR15741502/ERR15741502.fastq.gz	P-MTAB-157240	LCP89_T_ORG_matrix.mtx.gz	P-MTAB-157240	LCP89_T_ORG_barcodes.tsv.gz	P-MTAB-157240	LCP89_T_ORG_features.tsv.gz	LUAD	Tumor_Organoid
LCP92_Coculture	ERS27100410	SAMEA120399724	Homo sapiens	IIB	male	LUSC	Co-Culture	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP92_Coculture	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP92_Coculture	sequencing assay	ERX15147225	P-MTAB-157239	mimetic8.fastq.gz	mimetic8.fastq.gz	ERR15741503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/003/ERR15741503/ERR15741503.fastq.gz	P-MTAB-157240	LCP92_CO_matrix.mtx.gz	P-MTAB-157240	LCP92_CO_barcodes.tsv.gz	P-MTAB-157240	LCP92_CO_features.tsv.gz	LUSC	Co-Culture
LCP92_TILs	ERS27100411	SAMEA120399725	Homo sapiens	IIB	male	LUSC	TILs	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP92_TILs	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP92_TILs	sequencing assay	ERX15147226	P-MTAB-157239	mimetic7.fastq.gz	mimetic7.fastq.gz	ERR15741504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/004/ERR15741504/ERR15741504.fastq.gz	P-MTAB-157240	LCP92_TIL_matrix.mtx.gz	P-MTAB-157240	LCP92_TIL_barcodes.tsv.gz	P-MTAB-157240	LCP92_TIL_features.tsv.gz	LUSC	TILs
LCP94_Coculture	ERS27100412	SAMEA120399726	Homo sapiens	IIIA	female	LUAD	Co-Culture	cell	P-MTAB-157236	P-MTAB-157237	P-MTAB-157238	LCP94_Coculture	RNA	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read2	0	50	0	read1	12	3 prime tag	polyA RNA	Drop-seq	oligo-dT	droplet-based cell isolation	none	12	read1	8	P-MTAB-157239	BGI group	LCP94_Coculture	sequencing assay	ERX15147227	P-MTAB-157239	mimetic10.fastq.gz	mimetic10.fastq.gz	ERR15741505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/005/ERR15741505/ERR15741505.fastq.gz	P-MTAB-157240	LCP94_CO_matrix.mtx.gz	P-MTAB-157240	LCP94_CO_barcodes.tsv.gz	P-MTAB-157240	LCP94_CO_features.tsv.gz	LUAD	Co-Culture
