term	nes	fdr	fdr_context	rank_pos_barrier	rank_pos_all	n_set_in_rank	lead_genes
CUSTOM_EPITHELIAL_ADHESION	2.7648189710720974	0.004995004995004995	0.00333000333000333	1	1	22	CLDN4,CDH1,CGN,F11R,OCLN,CLDN3,CLDN1,NECTIN4,EPCAM,MARVELD2,CTNNA1,DSG2,CLDN7,JUP,TJP3
KRT_EPITHELIAL	2.0723436770532424	0.004995004995004995	0.00333000333000333	2	3	17	KRT19,KRT7,KRT18,KRT8,KRT10,KRT16,KRT4,KRT15,KRT6B,KRT17,KRT13,KRT6A,KRT6C
KEGG_TIGHT_JUNCTION	1.99000662308878	0.004995004995004995	0.00333000333000333	3	4	160	CLDN4,CGN,F11R,OCLN,EZR,CLDN3,CTTN,CLDN1,ERBB2,LLGL2,MARVELD2,AMOT,CRB3,MARVELD3,MYH14,PATJ,CDC42,RAC1,CLDN23,EPB41L4B,MICALL2,PARD6B,AFDN,CLDN7,DLG3
