term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	rank_pos_all	rank_pos_barrier	is_barrier	cohort	universe	fdr_barrier_universe
KRT_EPITHELIAL	0.7657139352169275	2.3200426908430867	0.000999000999000999	17	3.311118560260335	KRT10,KRT19,KRT16,KRT18,KRT7,KRT14,KRT8,KRT6A,KRT17,KRT15,KRT6B,KRT6C	12	0.003518220909525257	4.0	1.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7019471335002285	2.234800758831178	0.000999000999000999	19	2.839621550704523	KDF1,SFN,CLDN4,LSR,MET,KRT16,CLDN1,STMN1,TMEM79,TP63,FA2H	11	0.003518220909525257	6.0	2.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
CUSTOM_EPITHELIAL_ADHESION	0.6205332563143235	2.019400694222785	0.001998001998001998	22	2.748999732313887	NECTIN4,CLDN4,JUP,CLDN7,EPCAM,CDH1,CLDN1,CLDN3,DSG2,NECTIN2,CGN,TJP3	12	0.005580626270281442	9.0	3.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_KERATINIZATION	0.4474131355281587	1.9128113519102083	0.000999000999000999	70	1.3625146624631748	SFN,PPL,KRT16,CNFN,KRT7,KRT80,CDH3,KRT6A,KRT17,SHARPIN,IVL,KRT81,SPRR3,TMEM79,SPRR1B,ABCA12,EVPL,KRT78,CDSN,KRT6B,KRT6C,SPRR2D,SPRR1A	23	0.003518220909525257	10.0	4.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_KERATINOCYTE_DIFFERENTIATION	0.47764447948816174	1.863700289689558	0.001998001998001998	40	1.267964105716943	KRT10,ST14,KRT16,EPHA2,EXPH5,IVL,PIP5K1A,SPRR3,SPRR1B,S100A7,EVPL,CDSN,ANXA1,SPRR1A,AKR1C3,SCEL,POU2F3,WNT5A	18	0.005580626270281442	11.0	5.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.44425814289988924	1.7933190430264854	0.000999000999000999	52	1.1363063849665638	KRT10,ST14,KRT16,OVOL2,EPHA2,IVL,PIP5K1A,SPRR3,SPRR1B,OVOL1,HDAC1,S100A7,EVPL,CDSN,HDAC2,ANXA1,SPRR1A,AKR1C3,SCEL,POU2F3,WNT5A	21	0.003518220909525257	13.0	6.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_TIGHT_JUNCTION_ASSEMBLY	0.424441355840568	1.711995265596851	0.003996003996003996	51	0.875565016858466	CHAF1B,MICALL2,CLDN4,LSR,CLDN7,MARVELD3,ILDR1,CLDN9,CLDN1,GRHL2,CLDN3,PATJ,CLDN12,OCEL1,CLDN16	15	0.010114885114885114	15.0	7.0	True	OncoSG_LUAD	barrier_subset_of_context	0.013764013764013764
CUSTOM_CLAUDIN_PANEL	0.5018298514668975	1.692071132278065	0.001998001998001998	24	1.1821539319063052	CLDN4,CLDN7,CLDN9,CLDN1,CLDN3,CLDN12,CLDN16,CLDN8,CLDN6	9	0.005580626270281442	16.0	8.0	True	OncoSG_LUAD	barrier_subset_of_context	0.007742257742257742
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	0.3561176614604093	1.5029266383120239	0.004995004995004995	63	0.9118618763141565	KRT10,KRT19,KRT16,KRT7,KRT80,KRT14,KRT6A,KRT17,KRT15,KRT81,KRT78,KRT6B,KRT32,KRT9,KRT39,KRT77,KRT40,KRT74,KRT31,KRT34,KRT23,KRT82,KRT86	23	0.011559868702725845	19.0	9.0	True	OncoSG_LUAD	barrier_subset_of_context	0.015484515484515484
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.37900084040729864	1.4718810638087652	0.007992007992007992	46	0.6723871260939258	CHAF1B,MICALL2,CLDN4,CLDN7,MARVELD3,CLDN9,CLDN1,GRHL2,CLDN3,OCEL1,CLDN16,CLDN8,CLDN6	13	0.01798201798201798	20.0	10.0	True	OncoSG_LUAD	barrier_subset_of_context	0.022522931613840703
GOBP_APICAL_JUNCTION_ASSEMBLY	0.3225621180556148	1.3249100509700293	0.03196803196803197	53	0.5567285141823483	CHAF1B,MICALL2,CLDN4,CLDN7,MARVELD3,CLDN9,CLDN1,GRHL2,CLDN3,OCEL1,CLDN16,CLDN8,CLDN6,FBF1	14	0.05885024066842248	23.0	11.0	True	OncoSG_LUAD	barrier_subset_of_context	0.061938061938061936
GOBP_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.3737026090703258	1.1855023691362336	0.0999000999000999	18	0.12153364395382996	KDF1,SFN,ERRFI1	3	0.1419632998580367	27.0	12.0	True	OncoSG_LUAD	barrier_subset_of_context	0.1533704390847248
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.2427617017829937	1.056645443295296	0.13286713286713286	79	-0.026259057581250477	MICALL2,CLDN4,LSR,CLDN7,MARVELD3,ILDR1,CLDN9,CLDN1,GRHL2,CLDN3,PATJ,EPHA2,CLDN12,OCEL1,CLDN16,NPHP1,IKBKB,CLDN8,CLDN6	19	0.17082917082917082	30.0	13.0	True	OncoSG_LUAD	barrier_subset_of_context	0.17162004662004662
GOBP_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	0.33017467603319406	0.9794604459352478	0.2177822177822178	15	0.07915832283484375	CHAF1B,LSR,ILDR1	3	0.26328894985611406	31.0	14.0	True	OncoSG_LUAD	barrier_subset_of_context	0.2700499500499501
GOBP_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.32954127405630723	0.954862256133464	0.24675324675324675	15	0.1417466203155475	KDF1,SFN,NME2,ETV4	4	0.29201233549059635	32.0	15.0	True	OncoSG_LUAD	barrier_subset_of_context	0.2942057942057942
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.3373587793716144	0.9029392433002836	0.26973026973026976	11	-0.16790395570380792	MDK,CDH3	2	0.307720448565519	34.0	16.0	True	OncoSG_LUAD	barrier_subset_of_context	0.30969030969030975
GOBP_CORNIFICATION	-0.29305764272041374	-0.7093496117234799	0.46053946053946054	9	0.02377690701163695	LIPN,CYP26B1	2	0.46629620379620385			True	OncoSG_LUAD	barrier_subset_of_context	0.46053946053946054
GOBP_EPITHELIAL_CELL_CELL_ADHESION	-0.31962236983783815	-0.7866071943844601	0.4065934065934066	10	-0.280042675121947	VCL,SERPINB8,KIT	3	0.41688691055779664			True	OncoSG_LUAD	barrier_subset_of_context	0.42014652014652015
