family	immune_family	score_family	k	cohorts	n_patients	rho_CLDN	p_CLDN	I2_CLDN	stouffer_z_CLDN	stouffer_p_CLDN	cldn4_negative	is_full_family	n_family_units
author/tnk/pct	tnk	pct	2	GSE131907+GSE205335	43	-0.4787109080847739	0.0015191063422345722	0.0	-3.144426482866681	0.001664127187209751	True	False	4
marker/tnk/pct	tnk	pct	2	GSE253013+GSE291670	15	-0.7138342906922605	0.021746934493141492	23.203165014556042	-2.5632836110818227	0.010368731173552442	True	False	3
marker/tnk/mean	tnk	mean	2	GSE253013+GSE291670	15	-0.5820148861914176	0.10157923674410392	28.627433099172066	-1.8922932692259726	0.058451917237438374	True	False	3
primary_mixed	tnk	mean	1	GSE291670	6	-0.8285714285714287	0.04156268221574335	0.0	-2.037872532264634	0.04156268221574339	True	False	8
primary_mixed	tnk	mean	2	GSE291670+GSE253013	15	-0.5820148861914176	0.10157923674410392	28.627433099172066	-1.8922932692259726	0.058451917237438374	True	False	8
primary_mixed	tnk	mean	4	GSE205335+GSE291670+GSE253013+GSE131907	73	-0.26462919791467115	0.03424287575307891	0.0	-2.1315115491285965	0.033047022012966755	True	False	8
primary_mixed	tnk	mean	3	GSE207422+GSE291670+GSE253013	27	-0.37770051123834053	0.15744965845520065	25.54722047350248	-1.536736582788858	0.12435782875634001	True	False	8
primary_mixed	tnk	mean	7	GSE207422+GSE205335+GSE241934_IIT+GSE291670+GSE253013+GSE131907+GSE325414	121	-0.20219207674693132	0.04034783019484503	0.0	-2.0678907754348743	0.03865029503452888	True	False	8
tls/cxcl13pos/mean	cxcl13pos	mean	3	GSE148071+GSE207422+GSE253013	60	-0.42464120111880826	0.001205818284719484	0.0	-3.23142524531714	0.001231745383918288	True	False	5
tls/cxcl13pos/mean	cxcl13pos	mean	2	GSE148071+GSE207422	51	-0.42788077236348104	0.002157425808967354	0.0	-3.050609304981056	0.002283775359486054	True	False	5
tls/cxcl13_mean/mean	cxcl13_mean	mean	2	GSE207422+GSE253013	24	-0.5524242690107906	0.00833120277818764	0.0	-2.630951103227276	0.008514628554105567	True	False	5
author/b/mean	b	mean	2	GSE131907+GSE241934_IIT	32	-0.5126538478673887	0.003880788633364898	0.0	-2.8703117987929123	0.004100672230286602	True	False	4
