family	immune_family	score_family	k	cohorts	n_patients	rho_CLDN	p_CLDN	I2_CLDN	stouffer_z_CLDN	stouffer_p_CLDN	cldn4_negative	is_full_family	n_family_units
author/b/mean	b	mean	2	GSE131907+GSE241934_IIT	32	-0.5126538478673887	0.003880788633364898	0.0	-2.8703117987929123	0.004100672230286602	True	False	4
author/b/pct	b	pct	1	GSE131907	21	-0.6	0.00403591538162697	0.0	-2.87534086064608	0.004035915381626969	True	False	2
tls/b/mean	b	mean	3	GSE131907+GSE154826+GSE207422	77	-0.2717586323083099	0.021520390257417806	0.0	-2.3084515100710163	0.020974036855703596	True	False	5
tls/b/mean	b	mean	2	GSE131907+GSE154826	62	-0.27864015919310947	0.032211329526181526	0.0	-2.146182487286605	0.031858422228909264	True	False	5
author/b/mean	b	mean	1	GSE131907	21	-0.464935064935065	0.033699231028965625	0.0	-2.123652273217031	0.03369923102896559	True	False	4
tls/b/mean	b	mean	4	GSE131907+GSE154826+GSE207422+GSE253013	86	-0.22982266621407194	0.04411848532776072	0.0	-2.01538188168416	0.04386465136400627	True	False	5
author/b/mean	b	mean	1	GSE241934_IIT	11	-0.6090909090909091	0.046695709354098905	0.0	-1.9890497737330142	0.04669570935409891	True	False	4
tls/b/mean	b	mean	2	GSE131907+GSE207422	47	-0.2844482701607305	0.06106673327758347	0.0	-1.8813597964807396	0.05992299189610278	True	False	5
tls/b/mean	b	mean	3	GSE131907+GSE154826+GSE253013	71	-0.22798601621687942	0.06765858390425412	0.0	-1.8239187732482107	0.06816435306736723	True	False	5
author/b/mean	b	mean	3	GSE131907+GSE205335+GSE241934_IIT	54	-0.34264420139267726	0.08974858849960199	46.78117151310753	-2.1801521817524474	0.02924618282575466	True	False	4
tls/b/mean	b	mean	1	GSE131907	32	-0.3027859237536657	0.09209043331982752	0.0	-1.6844722744088523	0.09209043331982758	True	False	5
author/b/pct	b	pct	2	GSE131907+GSE205335	43	-0.4001613322214572	0.11181209846250718	61.93612514954605	-2.5108994310607136	0.012042399894940945	True	True	2
tls/b/mean	b	mean	2	GSE154826+GSE207422	45	-0.24831088379435687	0.11323792124994302	0.0	-1.5956479100704284	0.11056742451335277	True	False	5
tls/b/mean	b	mean	3	GSE131907+GSE207422+GSE253013	56	-0.21679175552038293	0.13098913963445086	0.0	-1.509348528125239	0.13120973936465116	True	False	5
tls/b/mean	b	mean	1	GSE154826	30	-0.25230837846637955	0.1785896075903744	0.0	-1.3451103305896686	0.17858960759037446	True	False	5
tls/b/mean	b	mean	3	GSE154826+GSE207422+GSE253013	54	-0.1813330617930099	0.21868917624118522	0.0	-1.2321941544987423	0.21787656637678177	True	False	5
author/b/mean	b	mean	2	GSE131907+GSE205335	43	-0.2436137688001968	0.3239754762990955	57.43528690423394	-1.4794302854596106	0.13902535084055986	True	False	4
author/b/mean	b	mean	3	GSE131907+GSE241934_IIT+GSE241934_Real	56	-0.27762377967605395	0.3464070565147722	74.87471757769988	-1.3656766515608885	0.17204047589429305	True	False	4
author/b/mean	b	mean	4	GSE131907+GSE205335+GSE241934_IIT+GSE241934_Real	78	-0.19452490458648353	0.3537584991343796	64.76595621125136	-1.1511192488375408	0.2496831800615359	True	True	4
tls/b/mean	b	mean	4	GSE131907+GSE148071+GSE154826+GSE207422	118	-0.12501602936310258	0.377940844251375	50.76272276570318	-1.0394626981581494	0.2985895976250348	True	False	5
author/b/mean	b	mean	2	GSE205335+GSE241934_IIT	33	-0.2934619688621364	0.3880883300777914	64.5672181565593	-1.0806095438805658	0.27987083536299007	True	False	4
tls/b/mean	b	mean	1	GSE207422	15	-0.23928571428571427	0.3903793119202356	0.0	-0.8589296827884384	0.39037931192023556	True	False	5
author/b/pct	b	pct	1	GSE205335	22	-0.15866741953698477	0.48064705182624184	0.0	-0.7052622443668031	0.4806470518262418	True	False	2
tls/b/mean	b	mean	5	GSE131907+GSE148071+GSE154826+GSE207422+GSE253013	127	-0.08972630636217416	0.4920323389218485	41.910310477695084	-0.8506955204190118	0.3949385122286564	True	True	5
tls/b/mean	b	mean	3	GSE131907+GSE148071+GSE154826	103	-0.1054809480342876	0.5496773323966406	65.59963452468708	-0.7969280162272852	0.4254928387281701	True	False	5
tls/b/mean	b	mean	2	GSE131907+GSE253013	41	-0.1316992409439782	0.6241196931847315	41.39462849269549	-1.246121206829069	0.21271990032888444	True	False	5
tls/b/mean	b	mean	2	GSE154826+GSE253013	39	-0.1138344980084419	0.6278906938754789	27.795032489791232	-0.9209386853083187	0.35708243982432764	True	False	5
tls/b/mean	b	mean	3	GSE131907+GSE148071+GSE207422	88	-0.08627204860307575	0.6505930951085508	61.49911669792901	-0.4176917164699854	0.6761725294815792	True	False	5
author/b/mean	b	mean	2	GSE241934_IIT+GSE241934_Real	35	-0.18640145299052638	0.6923765927293075	81.1468038904025	-0.06549732309445228	0.9477780376225369	True	False	4
tls/b/mean	b	mean	4	GSE131907+GSE148071+GSE154826+GSE253013	112	-0.061589340244217264	0.6939903190037244	54.03064170628357	-0.602749545242431	0.5466753162388283	True	False	5
author/b/mean	b	mean	3	GSE131907+GSE205335+GSE241934_Real	67	-0.07774232733560577	0.7237031587710566	64.41169918326791	-0.48922868388848917	0.624679804298884	True	False	4
author/b/mean	b	mean	3	GSE205335+GSE241934_IIT+GSE241934_Real	57	-0.08498745496646506	0.7276344667971693	62.31229212198767	-0.049340851425103374	0.9606476644173494	True	False	4
tls/b/mean	b	mean	3	GSE148071+GSE154826+GSE207422	86	-0.05958600597467644	0.7338690192377151	53.44287359508064	-0.18584265449457887	0.8525681537055998	True	False	5
author/b/mean	b	mean	2	GSE131907+GSE241934_Real	45	-0.12122888450101185	0.7462257530717469	81.80283345762834	-0.5983548893683065	0.549603158958476	True	False	4
