kind,sigma_um,transform,target,model,r2_krt,r2_full,delta,median_fold_delta,n_folds
gauss,400,high,y_log,krt_vs_cldn4,-0.038543005142084086,0.03419440566765186,0.07273741080973595,-0.0036636887010037533,8
gauss,300,high,y_log,krt_vs_cldn4,-0.02547274960288015,0.04029182871580006,0.06576457831868021,-0.010970264402144991,8
gauss,600,high,y_log,krt_vs_cldn4,-0.05076776467029798,0.013448507302181167,0.06421627197247914,-0.0017727386416511726,8
box,600,high,y_log,krt_vs_cldn4,-0.03578767508118563,0.024403765935302135,0.06019144101648777,0.004972654078383876,8
gauss,60,high,y_frac,krt_vs_cldn4,0.039644976980505175,0.09482569122408835,0.05518071424358317,0.0004380299141596433,8
gauss,400,high,y_frac,krt_vs_cldn4,-0.03106102868046179,0.02290969650302177,0.05397072518348356,0.003202088634779443,8
box,400,high,y_log,krt_vs_cldn4,-0.010964869318807136,0.04123671570496401,0.052201585023771147,-0.008023460613050148,8
gauss,300,high,y_frac,krt_vs_cldn4,-0.01538969496039444,0.03608062635892084,0.05147032131931528,0.0027251433461659147,8
gauss,200,high,y_log,krt_vs_cldn4,-0.0014225739971518436,0.0482762014295357,0.04969877542668755,-0.025209414734036928,8
gauss,200,high,y_frac,krt_vs_cldn4,0.009763972702022117,0.05831205748141477,0.04854808477939265,0.0003122875130019409,8
box,400,high,y_frac,krt_vs_cldn4,-0.00023902282664156616,0.04598178077507087,0.046220803601712435,0.0011464764696517138,8
gauss,400,high,y_log,krt_hist_vs_cldn4_interaction,-0.012122796158036353,0.03232579751185938,0.04444859366989573,-0.0059954553023036095,8
gauss,150,high,y_frac,krt_vs_cldn4,0.026542342480916248,0.06937358809906502,0.04283124561814877,-0.0008584000822513538,8
gauss,100,high,y_frac,krt_vs_cldn4,0.042185653023301684,0.08425956492135867,0.04207391189805698,-0.0013119106521438106,8
box,600,high,y_frac,krt_vs_cldn4,-0.03286463712755738,0.009001293484275474,0.04186593061183286,0.0033721372174974062,8
box,100,high,y_frac,krt_vs_cldn4,0.0501634433471877,0.09088480168547441,0.04072135833828672,-0.0040692934874071995,8
gauss,300,high,y_log,krt_hist_vs_cldn4_interaction,-0.0004499172528251716,0.03978969274347688,0.04023960999630205,-0.010858267822551615,8
box,60,high,y_frac,krt_vs_cldn4,0.028695176246699927,0.06872915197350915,0.04003397572680922,-0.0003280809225135739,8
gauss,600,high,y_log,krt_hist_vs_cldn4_interaction,-0.024733272113939275,0.014873875088012745,0.03960714720195202,-0.005628879777812235,8
box,200,high,y_frac,krt_vs_cldn4,0.039786752072195064,0.07875041680625483,0.038963664734059766,-0.002423460228982377,8
box,150,high,y_frac,krt_vs_cldn4,0.04826505803847614,0.08719649767016013,0.038931439631683995,-0.0031122255451023206,8
gauss,600,high,y_frac,krt_vs_cldn4,-0.05610475818720029,-0.01753567089557495,0.03856908729162534,0.0028486302566627097,8
box,300,high,y_frac,krt_vs_cldn4,0.01787797328642038,0.05626623691895971,0.03838826363253933,-0.0007779023708511801,8
gauss,60,high,y_frac,krt_hist_vs_cldn4_interaction,0.04686947143635756,0.08512451499983509,0.03825504356347753,0.0015834548811185511,8
box,600,high,y_log,krt_hist_vs_cldn4_interaction,-0.009357170842575036,0.02859996435669443,0.037957135199269465,-0.002570648382127616,8
gauss,60,high,y_log,krt_vs_cldn4,0.04151226131425856,0.07936717994226639,0.03785491862800783,-0.02437619537145408,8
gauss,150,high,y_log,krt_vs_cldn4,0.015512512518888855,0.05288996343255581,0.037377450913666954,-0.031944562184245795,8
box,60,high,y_log,krt_vs_cldn4,0.03433097636617832,0.06914209279636718,0.03481111643018886,-0.001524332863889477,8
gauss,100,high,y_log,krt_vs_cldn4,0.03603547580445521,0.0693818488248098,0.03334637302035459,-0.03597721631656997,8
box,400,high,y_log,krt_hist_vs_cldn4_interaction,0.010642073501865412,0.04179184218823495,0.03114976868636954,-0.00684093719275547,8
box,300,high,y_log,krt_vs_cldn4,0.008236402367400752,0.038503724629177616,0.030267322261776863,-0.026488319108556202,8
gauss,200,high,y_log,krt_hist_vs_cldn4_interaction,0.01934141026471803,0.04893154264891675,0.02959013238419872,-0.014408645529829844,8
gauss,400,high,y_frac,krt_hist_vs_cldn4_interaction,-0.011000151090520438,0.018169957102422418,0.029170108192942856,-0.00017675791356386306,8
gauss,300,high,y_frac,krt_hist_vs_cldn4_interaction,0.0019209056385521839,0.030078806417823678,0.028157900779271494,-0.0013200605086826078,8
box,60,high,y_frac,krt_hist_vs_cldn4_interaction,0.033645300120090926,0.06148584547942848,0.027840545359337554,-0.0007735923572244063,8
gauss,200,high,y_frac,krt_hist_vs_cldn4_interaction,0.023213367516419336,0.050055269164242855,0.02684190164782352,-0.003155944377120856,8
box,100,high,y_frac,krt_hist_vs_cldn4_interaction,0.05548746342748512,0.08105658575542873,0.025569122327943616,-0.008322389968903166,8
box,100,high,y_log,krt_vs_cldn4,0.0420654620847315,0.06607956641094337,0.02401410432621187,-0.02960631214149856,8
box,400,high,y_frac,krt_hist_vs_cldn4_interaction,0.015319424032023576,0.03929577127832673,0.023976347246303154,-0.0026888384149506006,8
box,200,high,y_log,krt_vs_cldn4,0.027540195673639745,0.05126920530818202,0.023729009634542275,-0.03933119699969434,8
gauss,100,high,y_frac,krt_hist_vs_cldn4_interaction,0.049590196533089825,0.07331696798733545,0.02372677145424562,-0.004508384431294643,8
gauss,150,high,y_frac,krt_hist_vs_cldn4_interaction,0.03721142629841778,0.06065096245534929,0.023439536156931506,-0.0046278358690065025,8
box,600,high,y_frac,krt_hist_vs_cldn4_interaction,-0.013397590615101818,0.00889221131790563,0.022289801933007447,0.0005068688316094416,8
gauss,150,high,y_log,krt_hist_vs_cldn4_interaction,0.032534179423762355,0.054644162169064536,0.02210998274530218,-0.012473241131836066,8
box,150,high,y_frac,krt_hist_vs_cldn4_interaction,0.05624316683032338,0.0778519967093414,0.02160882987901802,-0.006801295321797074,8
gauss,600,high,y_frac,krt_hist_vs_cldn4_interaction,-0.03418448594409229,-0.012617041870231605,0.021567444073860687,0.0011692577078502575,8
box,200,high,y_frac,krt_hist_vs_cldn4_interaction,0.04911935792766242,0.0702232033660285,0.021103845438366076,-0.005522613478688931,8
box,60,high,y_log,krt_hist_vs_cldn4_interaction,0.04137202348765645,0.06203678796885814,0.020664764481201692,-0.0019629318053963063,8
box,150,high,y_log,krt_vs_cldn4,0.03576808601724002,0.05544715285811508,0.01967906684087506,-0.043739355076533426,8
box,300,high,y_frac,krt_hist_vs_cldn4_interaction,0.029724585973560758,0.049307919272960965,0.019583333299400207,-0.00368703684109728,8
gauss,60,high,y_log,krt_hist_vs_cldn4_interaction,0.05280855456097566,0.07157038714991182,0.018761832588936156,-0.002877891497657048,8
gauss,100,high,y_log,krt_hist_vs_cldn4_interaction,0.047923399984787785,0.06575148621509619,0.017828086230308404,-0.009313010551296796,8
box,300,high,y_log,krt_hist_vs_cldn4_interaction,0.025849849018230397,0.043547048420948475,0.017697199402718078,-0.011218265688711704,8
box,200,high,y_log,krt_hist_vs_cldn4_interaction,0.04147420393331391,0.05525517771458466,0.013780973781270744,-0.01131744680694391,8
box,150,high,y_log,krt_hist_vs_cldn4_interaction,0.047574625400590875,0.058944325684010646,0.01136970028341977,-0.010475039998949442,8
box,100,high,y_log,krt_hist_vs_cldn4_interaction,0.05016914333177158,0.06123889646346892,0.011069753131697335,-0.00866647171263446,8
box,600,ecdf,y_log,krt_vs_cldn4,-0.03578767508118563,-0.03523775151372721,0.0005499235674584213,0.013262328311220817,8
gauss,400,ecdf,y_log,krt_vs_cldn4,-0.038543005142084086,-0.03882516319096241,-0.00028215804887832263,-0.0017731708633451082,8
gauss,300,ecdf,y_log,krt_vs_cldn4,-0.02547274960288015,-0.026626127880227335,-0.0011533782773471835,-0.0011367720290332284,8
box,400,ecdf,y_log,krt_vs_cldn4,-0.010964869318807136,-0.015350272852393543,-0.004385403533586407,0.00010367278508488509,8
box,60,ecdf,y_log,krt_vs_cldn4,0.03433097636617832,0.02874919905638762,-0.005581777309790703,-0.011423676418878093,8
box,100,ecdf,y_frac,krt_vs_cldn4,0.0501634433471877,0.04334163108369038,-0.006821812263497318,-0.012862884053616408,8
box,60,ecdf,y_frac,krt_vs_cldn4,0.028695176246699927,0.021771723612710625,-0.006923452633989302,-0.03646911368904471,8
gauss,60,ecdf,y_log,krt_vs_cldn4,0.04151226131425856,0.03456991965154321,-0.006942341662715346,-0.010498980984909034,8
box,600,ecdf,y_log,krt_hist_vs_cldn4_interaction,-0.009357170842575036,-0.016309245540055084,-0.0069520746974800485,-0.001975640209311791,8
gauss,100,ecdf,y_log,krt_vs_cldn4,0.03603547580445521,0.028924980188658966,-0.007110495615796242,-0.01273282915411178,8
gauss,200,ecdf,y_log,krt_vs_cldn4,-0.0014225739971518436,-0.00894478692363121,-0.007522212926479366,-0.0047709364736253645,8
gauss,60,ecdf,y_frac,krt_vs_cldn4,0.039644976980505175,0.032072521780529994,-0.007572455199975181,-0.04361933678626878,8
box,100,ecdf,y_log,krt_vs_cldn4,0.0420654620847315,0.033919069106710165,-0.008146392978021333,-0.015703968243419186,8
gauss,100,ecdf,y_frac,krt_vs_cldn4,0.042185653023301684,0.03386106923029142,-0.008324583793010265,-0.003173049910002168,8
box,60,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.04137202348765645,0.03240594805446262,-0.008966075433193832,-0.02771555180748697,8
gauss,300,ecdf,y_log,krt_hist_vs_cldn4_interaction,-0.0004499172528251716,-0.009500637940498047,-0.009050720687672875,-0.011411356239339532,8
gauss,150,ecdf,y_log,krt_vs_cldn4,0.015512512518888855,0.005814502544218114,-0.00969800997467074,-0.006837365180911381,8
gauss,400,ecdf,y_log,krt_hist_vs_cldn4_interaction,-0.012122796158036353,-0.02186391091568063,-0.009741114757644276,-0.009538857566188108,8
box,60,ecdf,y_frac,krt_hist_vs_cldn4_interaction,0.033645300120090926,0.023564599665025554,-0.010080700455065372,-0.06919078540741336,8
box,400,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.010642073501865412,-0.000521691215808362,-0.011163764717673774,-0.009999731559316605,8
box,300,ecdf,y_log,krt_vs_cldn4,0.008236402367400752,-0.0029974193982655883,-0.01123382176566634,-0.004045447805036462,8
gauss,600,ecdf,y_log,krt_vs_cldn4,-0.05076776467029798,-0.062356939298088054,-0.011589174627790078,-0.0057835671738575845,8
box,150,ecdf,y_log,krt_vs_cldn4,0.03576808601724002,0.024049202199899367,-0.011718883817340653,-0.008106191767832616,8
box,200,ecdf,y_log,krt_vs_cldn4,0.027540195673639745,0.015616231520675594,-0.01192396415296415,-0.007087546207327822,8
gauss,60,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.05280855456097566,0.03886756680804282,-0.013940987752932843,-0.01741513624666924,8
box,100,ecdf,y_frac,krt_hist_vs_cldn4_interaction,0.05548746342748512,0.04118330484391297,-0.014304158583572146,-0.015782503981307927,8
gauss,100,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.047923399984787785,0.03327380099272059,-0.014649598992067192,-0.01917832106829842,8
gauss,200,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.01934141026471803,0.004638368672545634,-0.014703041592172394,-0.015959830052861723,8
box,100,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.05016914333177158,0.035380842699799464,-0.014788300631972118,-0.019805624801790767,8
box,150,ecdf,y_frac,krt_vs_cldn4,0.04826505803847614,0.03272581616505421,-0.015539241873421927,-0.001852500199804319,8
gauss,60,ecdf,y_frac,krt_hist_vs_cldn4_interaction,0.04686947143635756,0.030678027350462322,-0.016191444085895235,-0.09526822987719397,8
gauss,150,ecdf,y_frac,krt_vs_cldn4,0.026542342480916248,0.010060378822824845,-0.016481963658091403,-0.0007282054459251674,8
gauss,150,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.032534179423762355,0.015802856231869833,-0.016731323191892522,-0.0177653307746643,8
box,300,ecdf,y_log,krt_hist_vs_cldn4_interaction,0.025849849018230397,0.008670720874685456,-0.01717912814354494,-0.01922010562682952,8
gauss,100,ecdf,y_frac,krt_hist_vs_cldn4_interaction,0.049590196533089825,0.03237015676721344,-0.017220039765876383,-0.004039621178341335,8
box,200,ecdf,y_frac,krt_vs_cldn4,0.039786752072195064,0.022221425088358004,-0.01756532698383706,-0.0009528680552634561,8
