radius_um,folds,view,marker_block,scale,meta_coef,meta_coef_sd_across_folds
50,sample,intra_krt,KRT,intra,0.013474450966146566,0.0016855302777186213
50,sample,juxta_krt,KRT,juxta,0.01291152564953514,0.004435999714760391
50,sample,para_krt,KRT,para,0.04611647642595427,0.004631620669502616
50,sample,intra_cldn4,CLDN4,intra,0.010348695391595832,0.001388457262028097
50,sample,juxta_cldn4,CLDN4,juxta,0.015240591904225246,0.0018500754099371106
50,sample,para_cldn4,CLDN4,para,0.040113674349804916,0.009682313933362385
50,fov,intra_krt,KRT,intra,0.01310542687299619,0.0004210175778699525
50,fov,juxta_krt,KRT,juxta,0.013772531467545574,0.001356972622918388
50,fov,para_krt,KRT,para,0.04475172815347501,0.0012134925388988433
50,fov,intra_cldn4,CLDN4,intra,0.010539736813664621,0.0007061160640078448
50,fov,juxta_cldn4,CLDN4,juxta,0.015492019033105767,0.0008723510373693
50,fov,para_cldn4,CLDN4,para,0.04128396062816003,0.002583334223321372
