sample,patient,n_tumor,n_interior_50,n_interior_100,n_fov,median_cd8nk_50,mean_dens_50_per_mm2,frac_cldn4_detected,spearman_cldn4_krt_simple
LUAD-5 R1,Lung5,18600,18047,16717,30,0.0,28.34046241037928,0.6871505376344086,0.11399372530593084
LUAD-5 R2,Lung5,19110,18556,17367,29,0.0,30.80174777061945,0.6646258503401361,0.10847607702376084
LUAD-5 R3,Lung5,16555,16029,14770,30,0.0,30.605726906635365,0.6101479915433404,0.10380576599045792
LUSC-6,Lung6,66981,65790,63135,30,0.0,18.66218107597078,0.2448754124303907,0.0613208820749635
LUAD-9 R1,Lung9,39422,38634,36628,20,0.0,70.60260590894391,0.708005682106438,0.13485966954243905
LUAD-9 R2,Lung9,96822,95492,92324,45,0.0,54.93788899774108,0.6018157030426969,0.16333471171230762
LUAD-12,Lung12,18512,18176,17439,28,0.0,57.46249992001838,0.39369057908383753,0.2895246727907909
LUAD-13,Lung13,26311,25797,24371,20,1.0,209.06260664376487,0.7298468321234465,0.06156758308532163
