fold,n_test,r2_krt,r2_full,spearman_krt,spearman_full,radius_um,target,model
LUAD-12,18176,0.08431607860605739,0.07634567162354178,0.24167936843909646,0.226133617963956,50,log_50,joint_ridge
LUAD-13,25797,0.0017330270211820542,0.008848977541055514,0.05750812415172954,0.08702630911467299,50,log_50,joint_ridge
LUAD-5 R1,17998,0.0024286956353547495,-0.07170668607862507,0.14290450546860187,0.07985960788699756,50,log_50,joint_ridge
LUAD-5 R2,18533,0.00782660189058082,-0.029159680220530282,0.12471609907114325,0.0968205477166697,50,log_50,joint_ridge
LUAD-5 R3,16006,-0.0032603924817393715,-0.07073870921611847,0.09210632815305578,0.06349419270627418,50,log_50,joint_ridge
LUAD-9 R1,38634,0.025578948843138716,0.06359278348680586,0.14997042439510097,0.23449718998052824,50,log_50,joint_ridge
LUAD-9 R2,95492,0.03688786175590775,0.07508190218992017,0.1854803039469872,0.24698243880106505,50,log_50,joint_ridge
LUSC-6,65767,-0.3041849326549759,-0.20029477575689492,0.03539561787838759,0.034268352317701915,50,log_50,joint_ridge
LUAD-12,17439,0.06529260311658214,0.0828568142176015,0.22342353430328346,0.24921691977161017,100,log_100,joint_ridge
LUAD-13,24371,-0.007641895282490152,-0.002166026709218505,0.06021672166663429,0.09208757727101974,100,log_100,joint_ridge
LUAD-5 R1,16669,0.02895424977170613,-0.022126485392324424,0.2047598606804011,0.17300360240623544,100,log_100,joint_ridge
LUAD-5 R2,17344,0.027977066563732222,-0.003011920152358849,0.1905106222692641,0.1916082205924819,100,log_100,joint_ridge
LUAD-5 R3,14748,0.03320448551714916,-0.04543567679194371,0.19648276379851728,0.1530037499087269,100,log_100,joint_ridge
LUAD-9 R1,36628,0.04879933954849125,0.08733192389012479,0.29473955852544154,0.35869686612418705,100,log_100,joint_ridge
LUAD-9 R2,92324,0.04203180875004098,0.0819718842086321,0.2086633582429012,0.3043359983945613,100,log_100,joint_ridge
LUSC-6,63113,-0.4370228095859743,-0.31901517961526893,0.06096235645964526,0.06382361178805915,100,log_100,joint_ridge
