radius_um,unit,n,partial_r2_cldn4_views,incremental_r2_cldn4_views
50,LUAD-5 R1,17998,0.000801855412916178,0.0007515322880424543
50,LUAD-5 R2,18533,0.0021221163207997317,0.0019783314342037873
50,LUAD-5 R3,16006,0.0021775553445386652,0.002048008106287556
50,LUSC-6,65767,0.002975237429122245,0.002819309503338411
50,LUAD-9 R1,38634,0.04871746736661941,0.044822443337916004
50,LUAD-9 R2,95492,0.03300268820876926,0.029788776808695523
50,LUAD-12,18176,0.024069754487464415,0.02123294850217646
50,LUAD-13,25797,0.007994101470771139,0.007904033065559795
100,LUAD-5 R1,16669,0.0005354042252934438,0.000472858752491945
100,LUAD-5 R2,17344,0.0007262278190429785,0.0006217418391957201
100,LUAD-5 R3,14748,0.002334384898897931,0.002013820369922816
100,LUSC-6,63113,0.009325312359725129,0.008548017478201513
100,LUAD-9 R1,36628,0.04240027191800059,0.03703428762674284
100,LUAD-9 R2,92324,0.03604563155297678,0.029880938842759698
100,LUAD-12,17439,0.050667715014872036,0.04373342379019189
100,LUAD-13,24371,0.007043701933293054,0.006899852308751726
