accession	set	gene
GSE179501	Cldn4	Cldn4
GSE179501	TNK	Cd3d
GSE179501	TNK	Cd3e
GSE179501	TNK	Cd3g
GSE179501	TNK	Cd2
GSE179501	TNK	Cd8a
GSE179501	TNK	Cd8b1
GSE179501	TNK	Cd4
GSE179501	TNK	Nkg7
GSE179501	TNK	Gzma
GSE179501	TNK	Gzmb
GSE179501	TNK	Prf1
GSE179501	TNK	Klrb1c
GSE179501	TNK	Ncr1
GSE179501	TNK	Klrd1
GSE179501	TNK	Klrc1
GSE179501	TNK	Ifng
GSE179501	IFN_MHC	Stat1
GSE179501	IFN_MHC	Stat2
GSE179501	IFN_MHC	Irf1
GSE179501	IFN_MHC	Irf7
GSE179501	IFN_MHC	Irf9
GSE179501	IFN_MHC	Isg15
GSE179501	IFN_MHC	Ifit1
GSE179501	IFN_MHC	Ifit2
GSE179501	IFN_MHC	Ifit3
GSE179501	IFN_MHC	Mx1
GSE179501	IFN_MHC	Oasl2
GSE179501	IFN_MHC	Rsad2
GSE179501	IFN_MHC	Ifih1
GSE179501	IFN_MHC	Ddx58
GSE179501	IFN_MHC	Ifnb1
GSE179501	IFN_MHC	B2m
GSE179501	IFN_MHC	H2-K1
GSE179501	IFN_MHC	H2-D1
GSE179501	IFN_MHC	H2-Q4
GSE179501	IFN_MHC	H2-Q6
GSE179501	IFN_MHC	H2-Q7
GSE179501	IFN_MHC	H2-Aa
GSE179501	IFN_MHC	H2-Ab1
GSE179501	IFN_MHC	H2-Eb1
GSE179501	IFN_MHC	Tap1
GSE179501	IFN_MHC	Tap2
GSE179501	IFN_MHC	Psmb8
GSE179501	IFN_MHC	Psmb9
GSE179501	IFN_MHC	Nlrc5
GSE179501	IFN_MHC	Ciita
GSE179501	epithelial_marker	Epcam
GSE179501	epithelial_marker	Krt8
GSE179501	epithelial_marker	Krt18
GSE179501	epithelial_marker	Krt19
GSE179501	epithelial_marker	Sftpc
GSE179501	epithelial_marker	Nkx2-1
GSE179501	epithelial_marker	Cdh1
