source	dataset_id	threshold	gene	n_overlapping_peaks_in_tss_pm_10kb	n_gene_body	n_tss_pm_1kb	n_tss_pm_5kb	n_tss_pm_10kb	cells	lung_peak_n
ChIP-Atlas	SRX10412077	q05	CLDN4	1	1	0	0	1	HEPM	0
ChIP-Atlas	SRX10412077	q10	CLDN4	1	1	0	0	1	HEPM	0
ChIP-Atlas	SRX10412078	q05	CLDN4	1	1	0	0	1	HEPM	0
ChIP-Atlas	SRX1091550	q05	CLDN4	1	0	0	0	1	hESC derived neural crests	0
ChIP-Atlas	SRX1091550	q10	CLDN4	1	0	0	0	1	hESC derived neural crests	0
ChIP-Atlas	SRX150447	q05	CLDN4	1	1	0	0	1	HeLa	0
ChIP-Atlas	SRX150447	q10	CLDN4	1	1	0	0	1	HeLa	0
ChIP-Atlas	SRX18711630	q05	CLDN4	2	2	0	1	2	GP5d	0
ChIP-Atlas	SRX18711630	q10	CLDN4	1	1	0	1	1	GP5d	0
ChIP-Atlas	SRX20744801	q05	CLDN4	1	0	0	1	1	GP5d	0
ChIP-Atlas	SRX20744801	q05	TACSTD2	1	1	1	1	1	GP5d	0
ChIP-Atlas	SRX21457790	q05	CLDN4	1	0	0	1	1	92-1	0
ChIP-Atlas	SRX233463	q05	CLDN4	1	1	0	0	1	MCF-7	0
ChIP-Atlas	SRX233463	q10	CLDN4	1	1	0	0	1	MCF-7	0
ChIP-Atlas	SRX3292075	q05	CLDN4	1	0	0	1	1	hESC derived trophoblast cells	0
ChIP-Atlas	SRX3292076	q05	CLDN4	1	0	0	1	1	hESC derived trophoblast cells	0
ChIP-Atlas	SRX3292076	q10	CLDN4	1	0	0	1	1	hESC derived trophoblast cells	0
ChIP-Atlas	SRX9969701	q05	CLDN4	3	1	0	2	3	hESC H9	0
ChIP-Atlas	SRX9969702	q05	CLDN4	1	1	0	1	1	hESC H9	0
ReMap2022	GSE105081.TFAP2A.WA09	NA	CLDN4	3	2	0	3	3	WA09	0
ReMap2022	GSE60270.TFAP2A.MCF-7	NA	CLDN4	2	2	0	1	2	MCF-7	0
ReMap2022	GSE60270.TFAP2A.MCF-7_E2	NA	CLDN4	3	3	0	2	3	MCF-7_E2	0
ReMap2022	GSE60270.TFAP2A.MCF-7_E2	NA	TACSTD2	2	0	1	2	2	MCF-7_E2	0
