cohort	gene	n	median_rsem	q1_rsem	q3_rsem	zero_count
LUAD	TFAP2A	510	187.1455	83.8047	416.4638	0
LUAD	TACSTD2	510	6336.0050	4045.8250	9542.9975	0
LUAD	CLDN4	510	9133.5950	5898.9150	12945.0250	0
LUSC	TFAP2A	484	874.8935	582.8293	1321.9075	0
LUSC	TACSTD2	484	8830.3850	4998.1675	15563.3500	0
LUSC	CLDN4	484	4298.3300	2567.9250	6870.4825	0
