cohort	gene_1	gene_2	n	spearman_rho	pearson_log2_r_plus_1
LUAD	TFAP2A	TACSTD2	510	0.2406	0.2074
LUAD	TFAP2A	CLDN4	510	0.1465	0.1128
LUAD	TACSTD2	CLDN4	510	0.4593	0.4748
LUSC	TFAP2A	TACSTD2	484	0.1410	0.2774
LUSC	TFAP2A	CLDN4	484	-0.1700	-0.1287
LUSC	TACSTD2	CLDN4	484	0.3922	0.4347
