source	dataset_id	cell	tissue_class	lung	status	n_peaks	note	url
ENCODE	ENCSR000EVP	HeLa-S3	Uterus/cervix	no	revoked		Only ENCODE TFAP2A TF ChIP-seq experiment; revoked, not used for overlap	https://www.encodeproject.org/experiments/ENCSR000EVP/
ReMap2022	GSE60270.TFAP2A.MCF-7	MCF-7	Breast	no	released	9953	ReMap 2022 uniformly processed public ChIP-seq; no lung biotype	https://remap.univ-amu.fr/storage/remap2022/hg38/MACS2/DATASET/GSE60270.TFAP2A.MCF-7.bed.gz
ReMap2022	GSE60270.TFAP2A.MCF-7_E2	MCF-7_E2	Breast	no	released	33495	ReMap 2022 uniformly processed public ChIP-seq; no lung biotype	https://remap.univ-amu.fr/storage/remap2022/hg38/MACS2/DATASET/GSE60270.TFAP2A.MCF-7_E2.bed.gz
ReMap2022	GSE105081.TFAP2A.WA09	WA09	Pluripotent stem cell	no	released	16872	ReMap 2022 uniformly processed public ChIP-seq; no lung biotype	https://remap.univ-amu.fr/storage/remap2022/hg38/MACS2/DATASET/GSE105081.TFAP2A.WA09.bed.gz
ChIP-Atlas	Oth.ALL.05.TFAP2A.AllCell	All cell types	mixed; Lung=0	no	released		Assembled MACS2 peaks, q-value 1e-5. ChIP-Atlas TFAP2A experiment counts by class: Lung=0, Breast=1, Digestive tract=6, Epidermis=3, Neural=1, Pluripotent stem cell=25, Uterus=1, Muscle=4, Others=2	https://chip-atlas.dbcls.jp/data/hg38/assembled/Oth.ALL.05.TFAP2A.AllCell.bed
ChIP-Atlas	Oth.ALL.10.TFAP2A.AllCell	All cell types	mixed; Lung=0	no	released		Assembled MACS2 peaks, q-value 1e-10. ChIP-Atlas TFAP2A experiment counts by class: Lung=0, Breast=1, Digestive tract=6, Epidermis=3, Neural=1, Pluripotent stem cell=25, Uterus=1, Muscle=4, Others=2	https://chip-atlas.dbcls.jp/data/hg38/assembled/Oth.ALL.10.TFAP2A.AllCell.bed
