cohort	gene_1	gene_2	gene_1_top_quartile_n	gene_2_top_quartile_n	intersection_n	jaccard
LUAD	TFAP2A	TACSTD2	128	128	49	0.2367
LUAD	TFAP2A	CLDN4	128	128	45	0.2133
LUAD	TACSTD2	CLDN4	128	128	64	0.3333
LUSC	TFAP2A	TACSTD2	121	121	39	0.1921
LUSC	TFAP2A	CLDN4	121	121	23	0.1050
LUSC	TACSTD2	CLDN4	121	121	56	0.3011
