cohort	sample_id	TFAP2A	TACSTD2	CLDN4
LUAD	TCGA-05-4244-01	275.417	8024.78	16118.3
LUAD	TCGA-05-4249-01	103.992	5092.07	15705.4
LUAD	TCGA-05-4250-01	291.47	6150.05	28839.6
LUAD	TCGA-05-4382-01	38.0494	8562.78	14863.4
LUAD	TCGA-05-4384-01	101.405	4045.82	6038.48
LUAD	TCGA-05-4389-01	27.8523	5737.58	8427.85
LUAD	TCGA-05-4390-01	90.0527	4457.93	12511.6
LUAD	TCGA-05-4395-01	261.729	14732.8	13995.9
LUAD	TCGA-05-4396-01	244.882	5914.33	7880.21
LUAD	TCGA-05-4397-01	206.118	4587.3	3595.36
LUAD	TCGA-05-4398-01	166.377	9609.18	23663.5
LUAD	TCGA-05-4402-01	320.888	11973.5	13191.1
LUAD	TCGA-05-4403-01	591.882	11078.1	13129.3
LUAD	TCGA-05-4405-01	335.954	5151.96	16387.5
LUAD	TCGA-05-4410-01	218.654	8428.13	13765.3
LUAD	TCGA-05-4415-01	1132.44	237.333	212.444
LUAD	TCGA-05-4417-01	83.2346	2624.11	4603.95
LUAD	TCGA-05-4418-01	698.606	3770.67	5780.47
LUAD	TCGA-05-4420-01	146.2	15532.5	12179.6
LUAD	TCGA-05-4422-01	44.14	4005.78	10227.4
LUAD	TCGA-05-4424-01	15.2526	3726.88	5089.13
LUAD	TCGA-05-4425-01	611.64	7090.1	4867.38
LUAD	TCGA-05-4426-01	497.962	17275.1	6585.55
LUAD	TCGA-05-4427-01	202.321	5824.92	9771.95
LUAD	TCGA-05-4430-01	178.947	4226.79	15287.4
LUAD	TCGA-05-4432-01	16.7292	3273.15	7742.43
LUAD	TCGA-05-4433-01	414.876	7105.79	9396.69
LUAD	TCGA-05-4434-01	695.23	16521.1	12225.9
LUAD	TCGA-05-5423-01	52.7473	5910.62	17857.9
LUAD	TCGA-05-5425-01	312.783	3740.95	11296.4
LUAD	TCGA-05-5428-01	79.3547	11420.1	20240.7
LUAD	TCGA-05-5429-01	938.902	15710.8	18637.3
LUAD	TCGA-05-5715-01	499.707	11469.1	20944.8
LUAD	TCGA-35-3615-01	117.609	1031.19	6236.52
LUAD	TCGA-35-4122-01	33.6683	9825.13	12308.5
LUAD	TCGA-35-4123-01	179.595	5827.41	12904.1
LUAD	TCGA-35-5375-01	473.918	14917.9	9173.14
LUAD	TCGA-38-4625-01	771.887	303.577	5642.64
LUAD	TCGA-38-4626-01	40.4954	2841.69	5085.91
LUAD	TCGA-38-4627-01	93.7614	6444.36	6927.76
LUAD	TCGA-38-4628-01	24.3363	10298.4	19649.5
LUAD	TCGA-38-4631-01	15.6952	5053.06	8547.59
LUAD	TCGA-38-4632-01	30.5869	8242.4	14686.3
LUAD	TCGA-38-6178-01	142.746	5924.34	7581.12
LUAD	TCGA-38-7271-01	290.053	6949.13	13300.7
LUAD	TCGA-38-A44F-01	338.47	6934.36	5566.21
LUAD	TCGA-44-2655-01	19.4225	7958.82	7302.6
LUAD	TCGA-44-2656-01	130.877	11546.7	12259.9
LUAD	TCGA-44-2657-01	119.463	7768.46	15990.6
LUAD	TCGA-44-2659-01	113.436	5094.15	7800.59
LUAD	TCGA-44-2662-01	153.335	10495.4	15646.6
LUAD	TCGA-44-2665-01	913.188	4623.34	5106.74
LUAD	TCGA-44-2666-01	20.0188	4092.59	8008.34
LUAD	TCGA-44-2668-01	285.227	7658.55	6919.41
LUAD	TCGA-44-3396-01	452.674	7714.03	17235.2
LUAD	TCGA-44-3398-01	105.353	5168.31	4425.7
LUAD	TCGA-44-3918-01	692.601	740.275	11016
LUAD	TCGA-44-3919-01	226.341	8432.52	10774
LUAD	TCGA-44-4112-01	274.297	1595.98	11855.8
LUAD	TCGA-44-5643-01	479.437	13063.7	4492.39
LUAD	TCGA-44-5644-01	105.736	1493.6	4860.52
LUAD	TCGA-44-5645-01	86.6322	12115.3	7690.76
LUAD	TCGA-44-6145-01	198.989	6889.45	4264.06
LUAD	TCGA-44-6146-01	191.787	11316.3	2540.61
LUAD	TCGA-44-6148-01	108.21	7517.34	4077.14
LUAD	TCGA-44-6774-01	72.4907	2766.73	4996.28
LUAD	TCGA-44-6775-01	340.232	10365.5	7071.18
LUAD	TCGA-44-6776-01	36.6379	4240.66	7657.33
LUAD	TCGA-44-6777-01	136.244	3819.04	5693.32
LUAD	TCGA-44-6778-01	3.1726	973.35	2509.52
LUAD	TCGA-44-6779-01	278.143	14660.3	5294.28
LUAD	TCGA-44-7659-01	201.794	4118.09	11104.6
LUAD	TCGA-44-7660-01	12.1964	18878.4	5373.57
LUAD	TCGA-44-7661-01	310.119	3002.19	8836.98
LUAD	TCGA-44-7662-01	239.438	9343.1	12942.7
LUAD	TCGA-44-7667-01	3.9953	799.051	4503.98
LUAD	TCGA-44-7669-01	155.796	1103.15	3758.73
LUAD	TCGA-44-7670-01	264.317	4201.25	11057.1
LUAD	TCGA-44-7671-01	33.7141	4115.95	6406.62
LUAD	TCGA-44-7672-01	133.151	4297.54	11101.5
LUAD	TCGA-44-8117-01	738.257	29915.3	20607.6
LUAD	TCGA-44-8119-01	82.8566	2709.02	4194.38
LUAD	TCGA-44-8120-01	497.048	5739.46	13246.5
LUAD	TCGA-44-A479-01	124.858	647.56	1896.71
LUAD	TCGA-44-A47A-01	184.238	7607.98	5745.14
LUAD	TCGA-44-A47B-01	89.1178	3692.79	4600.09
LUAD	TCGA-44-A47G-01	93.786	9078.83	6915.42
LUAD	TCGA-44-A4SS-01	585.967	13958.5	19555.7
LUAD	TCGA-44-A4SU-01	831.553	10337.4	13704.4
LUAD	TCGA-49-4486-01	9.6422	7267.9	12497
LUAD	TCGA-49-4487-01	487.784	3303.29	7232.52
LUAD	TCGA-49-4488-01	110.072	31566.3	19470.2
LUAD	TCGA-49-4490-01	773.191	21650.3	26721.9
LUAD	TCGA-49-4494-01	414.283	6635.91	22065.7
LUAD	TCGA-49-4501-01	28.7979	13816.4	13045.4
LUAD	TCGA-49-4505-01	284.592	11115.1	21808.3
LUAD	TCGA-49-4506-01	277.286	3912.05	2161.38
LUAD	TCGA-49-4507-01	498.838	19932.9	4590.11
LUAD	TCGA-49-4510-01	32.567	7963.92	13484.7
LUAD	TCGA-49-4512-01	90.6995	4843.2	12890.1
LUAD	TCGA-49-4514-01	111.706	7136.91	6312.89
LUAD	TCGA-49-6742-01	471.29	8312.45	12072.3
LUAD	TCGA-49-6743-01	41.2371	9965.27	6817.15
LUAD	TCGA-49-6744-01	78.4114	5816.19	8571.28
LUAD	TCGA-49-6745-01	208.354	12929.7	16068.8
LUAD	TCGA-49-6761-01	555.087	4431.16	11297.5
LUAD	TCGA-49-6767-01	1171.01	44794.1	31189.9
LUAD	TCGA-49-AAQV-01	580.282	8936.47	14690.4
LUAD	TCGA-49-AAR0-01	83.7878	6632.62	15435.8
LUAD	TCGA-49-AAR2-01	11.7552	7515.31	5245.31
LUAD	TCGA-49-AAR3-01	208.188	7678.57	6990.42
LUAD	TCGA-49-AAR4-01	674.653	12392.8	12296.3
LUAD	TCGA-49-AAR9-01	1444.1	14257	22599.8
LUAD	TCGA-49-AARE-01	813.837	21718.3	24645.9
LUAD	TCGA-49-AARN-01	322.388	7557.46	11229.9
LUAD	TCGA-49-AARO-01	460.438	17719.2	16098
LUAD	TCGA-49-AARQ-01	1477.53	1563.48	4633.15
LUAD	TCGA-49-AARR-01	324.021	6875.37	5649.7
LUAD	TCGA-4B-A93V-01	184.743	1472.17	7198.23
LUAD	TCGA-50-5044-01	78.8127	1224.16	1405.32
LUAD	TCGA-50-5045-01	101.523	5709.39	8298.22
LUAD	TCGA-50-5049-01	15.067	7516.18	11890.6
LUAD	TCGA-50-5051-01	267.235	6398.14	11450.8
LUAD	TCGA-50-5055-01	55.6478	7628.74	6966.78
LUAD	TCGA-50-5066-01	17.4216	3072.3	9164.63
LUAD	TCGA-50-5068-01	190.682	9540.08	13421.3
LUAD	TCGA-50-5072-01	911.677	10672.5	8556.12
LUAD	TCGA-50-5930-01	90.3075	9789.07	6745.18
LUAD	TCGA-50-5931-01	1381.31	6235.48	8321.97
LUAD	TCGA-50-5932-01	54.4472	15774.3	20630.9
LUAD	TCGA-50-5933-01	366.369	6070.59	5980.28
LUAD	TCGA-50-5935-01	316.409	3980.9	18187.5
LUAD	TCGA-50-5936-01	578.933	12931.3	16728.1
LUAD	TCGA-50-5939-01	779.887	16909.2	3397.3
LUAD	TCGA-50-5941-01	216.026	7237.18	9102.56
LUAD	TCGA-50-5942-01	74.7993	5332.49	5344
LUAD	TCGA-50-5944-01	65.8637	11366.4	12020.1
LUAD	TCGA-50-5946-01	284.979	11495.3	11842.1
LUAD	TCGA-50-6590-01	456.522	3033.15	3952.72
LUAD	TCGA-50-6591-01	256.272	428.315	1415.77
LUAD	TCGA-50-6592-01	670.472	9855.85	13240.8
LUAD	TCGA-50-6593-01	83.3868	8669.66	8967.93
LUAD	TCGA-50-6594-01	95.7746	5838.03	14528.9
LUAD	TCGA-50-6595-01	589.067	7587.14	5367.2
LUAD	TCGA-50-6597-01	97.0782	8877.47	7290.29
LUAD	TCGA-50-6673-01	196.859	3574.87	7396.52
LUAD	TCGA-50-7109-01	249.569	4821.75	6789.02
LUAD	TCGA-50-8457-01	64.8025	5441.63	12841.5
LUAD	TCGA-50-8459-01	206.455	5042.2	2651.46
LUAD	TCGA-50-8460-01	145.601	8463.44	9843.87
LUAD	TCGA-53-7624-01	3948.52	7471.67	5173.03
LUAD	TCGA-53-7626-01	654.667	9373.57	15846.8
LUAD	TCGA-53-7813-01	159.301	3609.46	3477.9
LUAD	TCGA-53-A4EZ-01	3.9343	2057.24	5589.85
LUAD	TCGA-55-1592-01	300.962	13648.6	9997.24
LUAD	TCGA-55-1594-01	115.566	1190.25	3575.47
LUAD	TCGA-55-1595-01	139.782	2781.29	6714.71
LUAD	TCGA-55-1596-01	41.4446	19168.1	11814.7
LUAD	TCGA-55-5899-01	131.447	364.052	6999.86
LUAD	TCGA-55-6543-01	973.751	8195.09	11908
LUAD	TCGA-55-6642-01	332.241	3838.79	4324.38
LUAD	TCGA-55-6712-01	158.638	17858.8	16285.9
LUAD	TCGA-55-6968-01	753.291	1250.14	8529.48
LUAD	TCGA-55-6969-01	7.2439	1579.18	5630.95
