source	distance_from_tss	gene	n_experiments	average_score	n_nonzero_experiments	top_experiments	lung_experiments_nonzero
ChIP-Atlas target genes	10kb	CLDN4	46	82.555556	12	SRX150447|HeLa:1027;SRX18711630|GP5d:965;SRX233463|MCF-7:354;SRX10412077|HEPM:274;SRX3292076|hESC_derived_trophoblast_cells:203;SRX1091550|hESC_derived_neural_crests:174;SRX9969701|hESC_H9:156;SRX9969702|hESC_H9:143	0
ChIP-Atlas target genes	1kb	CLDN4	46	0	0		0
ChIP-Atlas target genes	5kb	CLDN4	46	38.955556	7	SRX18711630|GP5d:965;SRX3292076|hESC_derived_trophoblast_cells:203;SRX9969701|hESC_H9:156;SRX9969702|hESC_H9:143;SRX21457790|92-1:98;SRX20744801|GP5d:97;SRX3292075|hESC_derived_trophoblast_cells:91	0
ChIP-Atlas target genes	10kb	TACSTD2	46	2.200000	1	SRX20744801|GP5d:99	0
ChIP-Atlas target genes	1kb	TACSTD2	46	2.200000	1	SRX20744801|GP5d:99	0
ChIP-Atlas target genes	5kb	TACSTD2	46	2.200000	1	SRX20744801|GP5d:99	0
