human	matched	logFC	direction	author_PValue	author_FDR	source
IFI27	Ifi27l2a	0.6236	UP	0.016289737	0.219629205	author edgeR GSE50927; match from fable_cldn4_kdko
OAS2	Oas2	1.4887	UP	1.7297e-05	0.001526145	author edgeR GSE50927; match from fable_cldn4_kdko
IFIT1	Ifit1	0.5758	UP	0.000719541	0.02824166	author edgeR GSE50927; match from fable_cldn4_kdko
MX1	Mx1	0.6267	UP	0.11907033	0.648233013	author edgeR GSE50927; match from fable_cldn4_kdko
ISG15	Isg15	1.0754	UP	3.92718e-05	0.003095569	author edgeR GSE50927; match from fable_cldn4_kdko
HLA-A	H2-K1	-0.0709	down	0.724031147	1.0	author edgeR GSE50927; match from fable_cldn4_kdko
TAP1	Tap1	0.1836	UP	0.441394482	1.0	author edgeR GSE50927; match from fable_cldn4_kdko
TAP2	Tap2	-0.0086	down	0.962929036	1.0	author edgeR GSE50927; match from fable_cldn4_kdko
