human	matched	arm	core	logFC	direction	author_PValue	author_FDR	source
ISG15	Isg15	ISG	yes	1.0754	UP	3.92718e-05	0.003095569	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
MX1	Mx1	ISG	yes	0.6267	UP	0.11907033	0.648233013	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
MX2	Mx2	ISG	no	0.2361	UP	0.543320868	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
OAS1	Oas1a	ISG	no	0.7623	UP	0.014921827	0.208748722	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
OAS2	Oas2	ISG	yes	1.4887	UP	1.7297e-05	0.001526145	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
OAS3	Oas3	ISG	no	1.8158	UP	1.89353e-05	0.001643963	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
OASL	Oasl1	ISG	no	1.1074	UP	0.033653348	0.335645718	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
RSAD2	Rsad2	ISG	no	1.1982	UP	0.016139179	0.218459763	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFIT1	Ifit1	ISG	yes	0.5758	UP	0.000719541	0.02824166	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFIT2	Ifit2	ISG	no	-0.369	down	0.012872714	0.19255841	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFIT3	Ifit3	ISG	no	-0.207	down	0.315638468	0.967196558	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFI27	Ifi27l2a	ISG	yes	0.6236	UP	0.016289737	0.219629205	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
