dataset,set,symbol,log2FC_KDvsCtrl,n_arrays,p_1samp_t
GSE22493,JUNCTION,CLDN1,0.0503,3,0.7868380253453096
GSE22493,JUNCTION,CLDN2,-0.4006,2,
GSE22493,JUNCTION,CLDN3,-0.1089,3,0.8291948198910027
GSE22493,JUNCTION,CLDN4,0.3864,2,
GSE22493,JUNCTION,CLDN6,-0.0651,3,0.9273962612837103
GSE22493,JUNCTION,CLDN7,-0.0159,3,0.9638210348134751
GSE22493,JUNCTION,CLDN9,1.1488,3,0.6577781425678553
GSE22493,JUNCTION,CLDN10,-1.5304,3,0.0034329871251411815
GSE22493,JUNCTION,CLDN11,-0.2163,3,0.8567197070566182
GSE22493,JUNCTION,CLDN12,1.0222,3,0.03158034214298409
GSE22493,JUNCTION,CLDN15,0.4118,3,0.012665826498056742
GSE22493,JUNCTION,CLDN18,0.0642,3,0.9642134825769256
GSE22493,JUNCTION,CLDN23,0.4834,2,
GSE22493,JUNCTION,TJP1,-0.01,3,0.9876522525703598
GSE22493,JUNCTION,TJP2,-1.2561,2,
GSE22493,JUNCTION,TJP3,-1.6967,3,0.44896353096933467
GSE22493,JUNCTION,OCLN,-0.4372,3,0.05579083365614903
GSE22493,JUNCTION,MARVELD2,-0.0241,3,0.9860147847186274
GSE22493,JUNCTION,MARVELD3,-0.6814,3,0.5525062271887782
GSE22493,JUNCTION,F11R,-0.526,3,0.44030215264228795
GSE22493,JUNCTION,JAM3,0.5398,3,0.48799121053408884
GSE22493,JUNCTION,CGN,-0.5876,3,0.605525463950043
GSE22493,JUNCTION,CDH1,-0.2072,3,0.6979568917803867
GSE22493,JUNCTION,CDH2,0.6013,3,0.13295116345430144
GSE22493,JUNCTION,CTNNB1,0.1559,3,0.7112536838754338
GSE22493,JUNCTION,CTNND1,0.3192,3,0.3799334394715421
GSE22493,JUNCTION,JUP,-0.02,3,0.9701950765332392
GSE22493,JUNCTION,VCL,-0.4607,3,0.7005272168199355
GSE22493,JUNCTION,DSP,-2.6434,3,0.07120369751701246
GSE22493,JUNCTION,DSG2,1.4504,3,0.1110439409660365
GSE22493,JUNCTION,DSG3,-0.4584,3,0.8391593887729816
GSE22493,JUNCTION,DSC2,-1.6324,3,0.23724337676947724
GSE22493,JUNCTION,DSC3,-1.858,3,0.1755873193452365
GSE22493,JUNCTION,PKP2,0.3161,3,0.5837224019687561
GSE22493,JUNCTION,PERP,0.3095,3,0.682579808654555
GSE22493,JUNCTION,CRB3,1.1032,3,0.15578770982182338
GSE22493,JUNCTION,PARD3,2.2308,3,0.15933735086950246
GSE22493,IFN_IMMUNE,MX1,0.2661,2,
GSE22493,IFN_IMMUNE,OAS1,0.3862,3,0.06565339325583144
GSE22493,IFN_IMMUNE,OAS2,-1.2182,3,0.32961366362943134
GSE22493,IFN_IMMUNE,OAS3,1.2135,3,0.04174312809230149
GSE22493,IFN_IMMUNE,OASL,-1.7278,2,
