dataset,gene_set,n_set,n_bg,U,p,median_set,median_bg
GSE207704,JUNCTION,30,12563,149253.0,0.04877230678920452,-0.08822770954890055,0.011893727347074654
GSE207704,IFN_IMMUNE,30,12563,107459.0,4.6609359329244094e-05,-0.19713059155179333,0.011920227050871462
GSE50927,JUNCTION,45,21543,387194.0,0.019013302811778144,-0.047086636,0.0
GSE50927,IFN_IMMUNE,69,21519,1114534.0,4.792415993062004e-13,0.388118792,0.0
GSE22493,JUNCTION,37,17163,314203.0,0.9125871779818694,-0.019993404459759574,-0.05364632183429352
GSE22493,IFN_IMMUNE,55,17145,389110.0,0.02505021535981622,-0.35315983019826797,-0.05285891904577755
