gsm,CLDN4_ctrl_Cy3,CLDN4_KD_Cy5,log2_KD_over_ctrl
GSM558700,89.0,-39.0,NA(nonpos)
GSM558701,251.0,584.0,1.218
GSM558702,1031.0,330.0,-1.644
