dataset,human,matched,logFC,direction,PValue,FDR,log2FC_MCF7,log2FC_T47D,p_1samp,n_arrays
GSE50927,IFI27,Ifi27l2a,0.6236,UP,0.016289737,0.219629205,,,,
GSE50927,OAS2,Oas2,1.4887,UP,1.7297e-05,0.001526145,,,,
GSE50927,IFIT1,Ifit1,0.5758,UP,0.000719541,0.02824166,,,,
GSE50927,MX1,Mx1,0.6267,UP,0.11907033,0.648233013,,,,
GSE50927,ISG15,Isg15,1.0754,UP,3.92718e-05,0.003095569,,,,
GSE50927,HLA-A,H2-K1,-0.0709,down,0.724031147,1.0,,,,
GSE50927,TAP1,Tap1,0.1836,UP,0.441394482,1.0,,,,
GSE50927,TAP2,Tap2,-0.0086,down,0.962929036,1.0,,,,
GSE207704,IFI27,,,not detected,,,,,,
GSE207704,OAS2,,,not detected,,,,,,
GSE207704,IFIT1,IFIT1,-0.4055,down,,,-0.789,-0.022,,
GSE207704,MX1,,,not detected,,,,,,
GSE207704,ISG15,ISG15,-0.8819,down,,,0.104,-1.868,,
GSE207704,HLA-A,,,not detected,,,,,,
GSE207704,TAP1,,,not detected,,,,,,
GSE207704,TAP2,,,not detected,,,,,,
GSE22493,IFI27,IFI27,-1.7192,down,,,,,0.016011884978293804,3.0
GSE22493,OAS2,OAS2,-1.2178,down,,,,,0.32976717509957576,3.0
GSE22493,IFIT1,IFIT1,-2.8635,down,,,,,,2.0
GSE22493,MX1,MX1,0.2666,UP,,,,,,2.0
GSE22493,ISG15,,,not detected,,,,,,
GSE22493,HLA-A,HLA-A,-0.6753,down,,,,,0.010880966389868765,3.0
GSE22493,TAP1,TAP1,-1.499,down,,,,,0.09683844392571933,3.0
GSE22493,TAP2,TAP2,0.143,UP,,,,,0.9040385154347733,3.0
