dataset,set,symbol,logFC_KOvsWT,PValue,FDR
GSE50927,TACSTD2,Tacstd2,-0.1449,0.485961384,1.0
GSE50927,JUNCTION,Cldn4,-6.0613,1.7663000000000002e-29,4.0673e-26
GSE50927,JUNCTION,Cldn2,0.9652,0.349378196,1.0
GSE50927,JUNCTION,Cdh2,-0.8171,0.048599092,0.408695579
GSE50927,JUNCTION,Cldn11,-0.7885,0.31658226,0.967551501
GSE50927,JUNCTION,Cldn6,0.7251,0.279743327,0.917610536
GSE50927,JUNCTION,Cldn15,-0.6082,0.059090517,0.450970347
GSE50927,JUNCTION,Cldn8,-0.5492,0.012443968,0.188614757
GSE50927,JUNCTION,Cldn23,-0.5491,0.081036061,0.529945075
GSE50927,JUNCTION,Dsc2,-0.5217,0.25481158,0.888817422
GSE50927,JUNCTION,Pkp2,-0.4974,0.015980375,0.217191002
GSE50927,JUNCTION,Jam2,0.4622,0.027617759,0.300171987
GSE50927,JUNCTION,Cldn18,-0.4525,0.041302892,0.376994602
GSE50927,JUNCTION,Dsp,-0.3742,0.045060831,0.395489416
GSE50927,JUNCTION,Marveld3,0.3693,0.090926353,0.563201726
GSE50927,JUNCTION,Jup,0.2469,0.080433983,0.527922051
GSE50927,JUNCTION,Dsg2,-0.2456,0.161920385,0.743370617
GSE50927,JUNCTION,Cgn,-0.2305,0.125268569,0.662406999
GSE50927,JUNCTION,Cldn5,0.2084,0.135865801,0.683571603
GSE50927,JUNCTION,Pard3,0.1629,0.266935477,0.898547538
GSE50927,JUNCTION,Tjp3,0.1445,0.472928428,1.0
GSE50927,JUNCTION,Cdh1,-0.1398,0.372915549,1.0
GSE50927,JUNCTION,F11r,-0.1174,0.461547387,1.0
GSE50927,JUNCTION,Cldn7,0.1129,0.473673217,1.0
GSE50927,JUNCTION,Tjp1,-0.1037,0.459751347,1.0
GSE50927,JUNCTION,Cldn10,-0.1,0.656163109,1.0
GSE50927,JUNCTION,Cldn3,0.0911,0.523842584,1.0
GSE50927,JUNCTION,Epcam,-0.0881,0.527066536,1.0
GSE50927,JUNCTION,Perp,-0.0831,0.647006264,1.0
GSE50927,JUNCTION,Cldn1,-0.0799,0.718607969,1.0
GSE50927,JUNCTION,Cgnl1,-0.0767,0.623822646,1.0
GSE50927,JUNCTION,Ctnna1,-0.0764,0.619532744,1.0
GSE50927,JUNCTION,Jam3,-0.067,0.774992314,1.0
GSE50927,JUNCTION,Ctnnd1,0.064,0.667092189,1.0
GSE50927,JUNCTION,Ctnnb1,-0.0471,0.737314123,1.0
GSE50927,JUNCTION,Ocln,-0.0456,0.764313783,1.0
GSE50927,JUNCTION,Crb3,-0.0402,0.840919331,1.0
GSE50927,JUNCTION,Pkp3,0.0398,0.860344158,1.0
GSE50927,JUNCTION,Cldn12,-0.0393,0.79185611,1.0
GSE50927,JUNCTION,Marveld2,-0.026,0.888516897,1.0
GSE50927,JUNCTION,Tjp2,-0.0128,0.938468817,1.0
GSE50927,JUNCTION,Vcl,-0.0005,0.998124771,1.0
GSE50927,JUNCTION,Dsg3,0.0,1.0,1.0
GSE50927,JUNCTION,Dsc3,0.0,1.0,1.0
GSE50927,JUNCTION,Cldn9,0.0,1.0,1.0
GSE50927,JUNCTION,Cldn14,0.0,1.0,1.0
GSE50927,IFN_IMMUNE,Cxcl11,5.0444,0.010305774,0.167807069
GSE50927,IFN_IMMUNE,Cxcl9,2.8833,0.002282902,0.06232753
GSE50927,IFN_IMMUNE,Ccl5,2.7103,1.18618e-05,0.001144781
GSE50927,IFN_IMMUNE,Cxcl10,2.5429,0.004257013,0.093900892
GSE50927,IFN_IMMUNE,Ifng,2.4448,0.100971434,0.590157829
GSE50927,IFN_IMMUNE,Gbp4,2.3851,1.59806e-09,4.75148e-07
GSE50927,IFN_IMMUNE,Oas3,1.8158,1.89353e-05,0.001643963
GSE50927,IFN_IMMUNE,Oas2,1.4887,1.7297e-05,0.001526145
GSE50927,IFN_IMMUNE,Rsad2,1.1982,0.016139179,0.218459763
GSE50927,IFN_IMMUNE,Oas1g,1.192,0.00071458,0.028169313
GSE50927,IFN_IMMUNE,Oasl1,1.1074,0.033653348,0.335645718
GSE50927,IFN_IMMUNE,Isg15,1.0754,3.92718e-05,0.003095569
GSE50927,IFN_IMMUNE,Gbp5,1.0669,0.000397864,0.018691864
GSE50927,IFN_IMMUNE,H2-T23,1.0453,2.91128e-06,0.000365257
GSE50927,IFN_IMMUNE,Zbp1,0.9972,0.001493068,0.046295608
GSE50927,IFN_IMMUNE,Il6,-0.9569,0.40784964,1.0
GSE50927,IFN_IMMUNE,Psmb9,0.9018,0.001094233,0.037343278
GSE50927,IFN_IMMUNE,Oas1a,0.7623,0.014921827,0.208748722
GSE50927,IFN_IMMUNE,Ifi44,0.7495,0.000843269,0.031234037
