dataset,set,symbol,MCF7_WT,MCF7_KO,T47D_WT,T47D_KO,log2FC_MCF7,log2FC_T47D,log2FC_mean
GSE207704,TACSTD2,TACSTD2,59.917,29.539,59.605,38.519,-0.9962,-0.6169,-0.8066
GSE207704,JUNCTION,CDH1,108.16,91.266,62.523,68.766,-0.2426,0.1352,-0.0537
GSE207704,JUNCTION,CGN,20.561,14.599,5.423,7.384,-0.467,0.3842,-0.0414
GSE207704,JUNCTION,CGNL1,0.131,2.302,0.774,0.291,1.546,-0.4584,0.5438
GSE207704,JUNCTION,CLDN12,7.641,11.369,9.928,8.196,0.5175,-0.2491,0.1342
GSE207704,JUNCTION,CLDN15,3.056,2.312,1.755,0.902,-0.2923,-0.5345,-0.4134
GSE207704,JUNCTION,CLDN23,1.629,1.01,2.906,1.244,-0.3874,-0.7995,-0.5935
GSE207704,JUNCTION,CLDN3,39.646,41.321,37.361,23.195,0.0582,-0.6649,-0.3033
GSE207704,JUNCTION,CLDN4,86.615,52.325,43.405,20.578,-0.7164,-1.0412,-0.8788
GSE207704,JUNCTION,CLDN7,103.99,108.116,81.492,64.714,0.0556,-0.328,-0.1362
GSE207704,JUNCTION,CLDN9,4.235,1.026,0.0,0.0,-1.3693,0.0,-0.6847
GSE207704,JUNCTION,CLDND1,43.231,50.786,44.987,46.819,0.2275,0.0564,0.1419
GSE207704,JUNCTION,CRB3,14.375,12.797,20.77,19.909,-0.1562,-0.0582,-0.1072
GSE207704,JUNCTION,CTNNA1,183.222,140.8,130.87,148.95,-0.3776,0.1854,-0.0961
GSE207704,JUNCTION,CTNNB1,156.619,153.16,94.793,95.873,-0.032,0.0162,-0.0079
GSE207704,JUNCTION,DSC2,4.889,8.678,12.226,18.093,0.7169,0.5296,0.6232
GSE207704,JUNCTION,DSG2,5.444,8.658,11.274,15.751,0.5838,0.4487,0.5162
GSE207704,JUNCTION,DSP,32.351,43.406,48.165,41.357,0.413,-0.2151,0.099
GSE207704,JUNCTION,EPCAM,153.335,163.841,163.921,207.956,0.095,0.3414,0.2182
GSE207704,JUNCTION,F11R,41.286,30.778,26.265,29.384,-0.4121,0.1563,-0.1279
GSE207704,JUNCTION,JAM3,1.045,0.701,1.534,0.898,-0.2656,-0.4174,-0.3415
GSE207704,JUNCTION,JUP,37.139,36.404,19.117,19.493,-0.0281,0.0267,-0.0007
GSE207704,JUNCTION,MARVELD3,17.167,14.354,14.853,13.337,-0.2427,-0.145,-0.1938
GSE207704,JUNCTION,OCLN,38.224,34.243,47.302,40.816,-0.1544,-0.208,-0.1812
GSE207704,JUNCTION,PARD3,56.456,54.571,41.91,29.266,-0.0481,-0.5036,-0.2759
GSE207704,JUNCTION,PERP,56.354,67.582,103.851,79.827,0.2579,-0.3754,-0.0587
GSE207704,JUNCTION,PKP2,4.951,3.966,2.725,2.283,-0.2608,-0.1824,-0.2216
GSE207704,JUNCTION,PKP3,23.923,25.286,21.888,27.662,0.0768,0.3246,0.2007
GSE207704,JUNCTION,TJP2,12.839,11.326,14.659,13.549,-0.1669,-0.1061,-0.1365
GSE207704,JUNCTION,TJP3,11.671,12.6,17.652,15.408,0.1021,-0.1849,-0.0414
GSE207704,JUNCTION,VCL,13.704,12.047,7.861,7.934,-0.1725,0.0118,-0.0803
GSE207704,IFN_IMMUNE,BST2,0.628,0.18,8.224,0.224,-0.4645,-2.9141,-1.6893
GSE207704,IFN_IMMUNE,DDX58,4.228,5.492,10.103,8.334,0.3125,-0.2504,0.0311
GSE207704,IFN_IMMUNE,EIF2AK2,9.067,8.645,11.258,12.862,-0.0617,0.1774,0.0578
GSE207704,IFN_IMMUNE,GBP2,7.38,4.045,4.312,3.611,-0.732,-0.2042,-0.4681
GSE207704,IFN_IMMUNE,HERC5,4.162,17.194,3.771,8.704,1.8176,1.0244,1.421
GSE207704,IFN_IMMUNE,HLA-C,3.1,8.283,10.853,7.533,1.179,-0.474,0.3525
GSE207704,IFN_IMMUNE,IFI35,0.462,0.507,2.844,0.424,0.0438,-1.4326,-0.6944
GSE207704,IFN_IMMUNE,IFI44,1.109,0.23,6.459,0.527,-0.778,-2.2885,-1.5333
GSE207704,IFN_IMMUNE,IFI44L,0.722,0.152,1.259,1.576,-0.5803,0.1892,-0.1955
GSE207704,IFN_IMMUNE,IFI6,32.513,23.365,78.86,30.567,-0.4599,-1.339,-0.8995
GSE207704,IFN_IMMUNE,IFIH1,0.207,1.04,3.834,2.781,0.7569,-0.3547,0.2011
GSE207704,IFN_IMMUNE,IFIT1,1.423,0.403,1.034,1.003,-0.7885,-0.0225,-0.4055
GSE207704,IFN_IMMUNE,IFIT5,4.348,7.516,11.657,8.06,0.6712,-0.4823,0.0945
GSE207704,IFN_IMMUNE,IFITM1,1.21,0.773,9.448,10.783,-0.3181,0.1734,-0.0723
GSE207704,IFN_IMMUNE,IFITM2,35.724,16.791,51.452,81.197,-1.0455,0.6481,-0.1987
GSE207704,IFN_IMMUNE,IFITM3,47.085,20.603,75.095,83.025,-1.1544,0.143,-0.5057
GSE207704,IFN_IMMUNE,IFNAR1,10.318,6.932,18.31,19.609,-0.5128,0.0939,-0.2094
GSE207704,IFN_IMMUNE,IFNAR2,2.615,2.41,4.224,3.905,-0.0842,-0.0908,-0.0875
GSE207704,IFN_IMMUNE,IFNGR1,19.732,18.69,22.674,22.572,-0.0744,-0.0063,-0.0403
GSE207704,IFN_IMMUNE,IRF1,2.745,2.416,4.012,2.741,-0.1326,-0.4221,-0.2773
GSE207704,IFN_IMMUNE,ISG15,40.052,43.115,50.631,13.147,0.1038,-1.8677,-0.8819
GSE207704,IFN_IMMUNE,JAK2,2.675,4.951,18.142,10.976,0.6953,-0.6766,0.0093
GSE207704,IFN_IMMUNE,NFKB1,10.384,9.147,9.259,8.982,-0.166,-0.0395,-0.1028
GSE207704,IFN_IMMUNE,OAS1,0.839,0.137,1.961,1.109,-0.6944,-0.4891,-0.5917
GSE207704,IFN_IMMUNE,OAS3,6.298,4.617,10.726,6.819,-0.3777,-0.5847,-0.4812
GSE207704,IFN_IMMUNE,RELA,11.344,9.856,11.197,10.883,-0.1854,-0.0377,-0.1116
GSE207704,IFN_IMMUNE,SOCS3,6.038,2.528,0.546,0.57,-0.9962,0.0221,-0.487
GSE207704,IFN_IMMUNE,STAT1,34.978,33.694,24.152,25.997,-0.0524,0.1021,0.0249
GSE207704,IFN_IMMUNE,STAT2,8.835,7.182,6.726,6.804,-0.2654,0.0145,-0.1255
GSE207704,IFN_IMMUNE,USP18,7.991,5.967,15.544,12.107,-0.3679,-0.336,-0.3519
