cluster	n	label	fine	author_malignant_frac	top_score	rule
0	2910	T	T	0.00274914089347079	1.48785968513803	marker
1	2602	myeloid	myeloid	0.000768639508070715	2.34340590449296	marker
10	618	myeloid	myeloid	0	1.68858154566143	marker
11	610	other	fibroblast	0.00163934426229508	1.46949932111992	marker
12	544	malignant	malignant	0.354779411764706	2.45860472412418	marker
13	539	malignant	malignant	0.614100185528757	1.63793655631126	author_malignant_frac>=0.50
14	519	other	endothelial	0	0.233785351529694	marker
15	463	malignant	malignant	0.00647948164146868	1.91933923641591	marker
16	443	malignant	malignant	0.803611738148984	1.15968403584531	author_malignant_frac>=0.50
17	436	malignant	malignant	0.940366972477064	1.57840210384537	author_malignant_frac>=0.50
18	428	malignant	malignant	0.149532710280374	1.57501922079241	marker
19	378	myeloid	myeloid	0	0.349159184462296	marker
2	2045	T	T	0.0019559902200489	1.77973740824311	marker
20	367	malignant	malignant	0.0926430517711172	2.11090111713361	marker
21	353	malignant	malignant	0.864022662889518	1.18340671771268	author_malignant_frac>=0.50
22	293	malignant	malignant	0.84641638225256	0.84191411607451	author_malignant_frac>=0.50
23	288	malignant	malignant	0.0104166666666667	1.73413210362739	marker
24	258	T	T	0.193798449612403	1.27384525615544	marker
25	213	malignant	malignant	0.0610328638497653	2.19026019557358	marker
26	207	malignant	malignant	0.294685990338164	2.0448237761952	marker
27	156	other	other	0	0.0947523066042529	top<0.15
28	108	malignant	malignant	0.314814814814815	1.60321825217934	marker
3	1814	NK	NK	0	2.86979250816072	marker
4	1552	B	B	0.00128865979381443	2.01460623360254	marker
5	1318	malignant	malignant	0.254931714719272	1.76491079679276	marker
6	1145	T	T	0.000873362445414847	2.11271063617962	marker
7	786	malignant	malignant	0.304071246819338	1.20452919000282	marker
8	638	malignant	malignant	0.442006269592476	2.07237580233161	marker
9	622	myeloid	myeloid	0	2.42856650472667	marker
