hugo	set	source
DCN	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PAPPA	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SFRP4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
THBS2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LY86	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CXCL14	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FOXF1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL10A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ACTG2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
APBB1IP	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SH2D1A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SULF1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MSR1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
C3AR1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FAP	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTGIS	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITGBL1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
BGN	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CXCL12	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ECM2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FCGR2A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MS4A4A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
WISP1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL1A2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MS4A6A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EDNRA	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
VCAM1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GPR124	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SCUBE2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
AIF1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HEPH	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LUM	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTGER3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RUNX1T1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CDH5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PIK3R5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RAMP3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LDB2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COX7A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EDIL3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
DDR2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FCGR2B	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LPPR4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL15A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
AOC3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITIH3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FMO1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PRKG1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PLXDC1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
VSIG4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL6A3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SGCD	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL3A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
F13A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
OLFML1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IGSF6	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COMP	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HGF	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GIMAP5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ABCA6	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITGAM	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MAF	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITM2A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CLEC7A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ASPN	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LRRC15	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ERG	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD86	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TRAT1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL8A2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TCF21	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD93	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD163	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GREM1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LMOD1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TLR2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ZEB2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
C1QB	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
KCNJ8	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
KDR	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD33	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RASGRP3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TNFSF4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CCR1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CSF1R	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
BTK	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MFAP5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MXRA5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ISLR	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ARHGAP28	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ZFPM2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TLR7	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ADAM12	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
OLFML2B	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ENPP2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CILP	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SIGLEC1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SPON2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PLXNC1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ADAMTS5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SAMSN1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CH25H	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL14A1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EMCN	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RGS4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PCDH12	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RARRES2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD248	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PDGFRB	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
C1QA	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
COL5A3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IGF1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SP140	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TFEC	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TNN	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ATP8B4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ZNF423	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FRZB	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SERPING1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ENPEP	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD14	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
DIO2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FPR1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL18R1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HDC	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TXNDC3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PDE2A	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RSAD2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITIH5	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FASLG	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MMP3	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NOX4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
WNT2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LRRC32	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CXCL9	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ODZ4	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FBLN2	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EGFL6	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL1B	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SPON1	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD200	Stromal141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LCP2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LSP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FYB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PLEK	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HCK	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL10RA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LILRB1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NCKAP1L	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LAIR1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NCF2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CYBB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTPRC	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL7R	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LAPTM5	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD53	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EVI2B	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SLA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITGB2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GIMAP4	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MYO1F	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HCLS1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MNDA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL2RG	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD48	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
AOAH	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CCL5	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LTB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GMFG	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GIMAP6	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GZMK	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LST1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GPR65	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LILRB2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
WIPF1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD37	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
BIN2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
