predictor	endpoint	n	unadj_rho	unadj_p	partial_rho	partial_p	partial_ci_low	partial_ci_high	purity	note
CLDN4	CD8A	169	-0.41604097260205863	1.8494205424123934e-08	-0.2849848360925362	0.00018097501204688483	-0.4183433231588517	-0.13959865771835506	published PURITY	
CLDN4	ImmuneScore	169	-0.431781114812789	4.590379392291736e-09	-0.30793098211497655	4.8956052171380026e-05	-0.43887859915598837	-0.1641756806794185	published PURITY	A1 8-gene mean z; not ESTIMATE
CLDN4	CD274	169	-0.3625207364880222	1.2751857991653831e-06	-0.24226218908277547	0.0015567015524922717	-0.37974268784202053	-0.09431183929175758	published PURITY	
CLDN4	IMSIG_T_CELLS	169	-0.5261448958281537	2.037055666870187e-13	-0.4144526084549918	2.3364661226909458e-08	-0.5324499988740445	-0.2806545010427072	published PURITY	published clinical IMSIG T-cell column
CLDN4	TACSTD2	169	0.5046094177315896	2.6471173177242266e-12	0.46242086702633545	2.785367349632435e-10	0.33442592371980906	0.573665444229313	published PURITY	companion; PR 139 is the TACSTD2 claim
CLDN4	PURITY	169	0.3590104164008631	1.6408392808369658e-06						
CLDN4	TJ_noCLDN4	169	0.54687235841082	1.4457114128199112e-14	0.484415741270713	2.8703455575436758e-11	0.3593635755058277	0.5923774386958991	published PURITY	
CD8A	ImmuneScore	169	0.9101163542340015	8.533666682268088e-66						positive control
CD274	ImmuneScore	169	0.5629845376813142	1.624652257551788e-15	0.4335862767836487	4.334156870846706e-09	0.30200272646387927	0.5489574456153162	published PURITY	
CD274	CD8A	169	0.44748424213389515	1.0628337779513807e-09	0.27766729716503147	0.000268400717216383	0.1317985210596927	0.41176581508958804	published PURITY	
TACSTD2	CD8A	169	-0.3803664661130725	3.376491109743246e-07	-0.30865764191436074	4.688545063105847e-05	-0.4395266845505271	-0.16495691362187448	published PURITY	companion; should match PR 139 unadj/partial
TACSTD2	ImmuneScore	169	-0.3872333548804137	1.9818179340487578e-07	-0.3177689432608658	2.700924161461279e-05	-0.44764122366750764	-0.17476781478000386	published PURITY	companion
TACSTD2	CD274	169	-0.38193922600774743	2.9917971090912784e-07	-0.31728645903391406	2.7822275406995497e-05	-0.44721205813199805	-0.1742475705943366	published PURITY	companion
TACSTD2	PURITY	169	0.2378964909710367	0.0018423150526558094						
