gsm,title,tissue,disease state,sample,TACSTD2,CLDN4
GSM5718771,13013321,lung tumor tissue,non-squamous,13013321,6.355934223823226,5.183658643037541
GSM5718772,14000702,lung tumor tissue,squamous,14000702,7.634135819784473,4.511946096321519
GSM5718773,14008707,lung tumor tissue,non-squamous,14008707,5.694420573875791,3.370811255334913
GSM5718774,14014368,lung tumor tissue,non-squamous,14014368,5.660640592026739,3.7427668691223785
GSM5718775,15000683,lung tumor tissue,squamous,15000683,6.104372307362254,3.9573586733125783
GSM5718776,15001489,lung tumor tissue,non-squamous,15001489,6.327302929570619,4.1126761170975765
GSM5718778,15012306,lung tumor tissue,non-squamous,15012306,6.731047439337348,3.9520857473014837
GSM5718779,16000827,lung tumor tissue,non-squamous,16000827,3.211546483738106,3.9235229061017476
GSM5718780,16007195,lung tumor tissue,squamous,16007195,7.169474088783262,4.377099449441481
GSM5718781,16007916,lung tumor tissue,non-squamous,16007916,5.4798643177621535,5.318512806395185
GSM5718782,16008059,lung tumor tissue,squamous,16008059,4.323579035725816,2.3392266265333173
GSM5718783,16008668,lung tumor tissue,squamous,16008668,6.544106672361072,4.175879473195161
GSM5718785,N15-158-RNA-116124,lung tumor tissue,squamous,N15-158-RNA-116124,2.3801475993160333,2.8395497111924506
GSM5718786,N15-173-RNA-116117,lung tumor tissue,non-squamous,N15-173-RNA-116117,6.682250227824811,4.70689352121543
GSM5718787,N15-178-RNA-116122,lung tumor tissue,non-squamous,N15-178-RNA-116122,5.079885802641846,4.88511395650284
GSM5718789,N15-205-RNA-116129,lung tumor tissue,non-squamous,N15-205-RNA-116129,6.626675672565475,6.198857836871082
GSM5718790,N15-220-RNA-116118,lung tumor tissue,non-squamous,N15-220-RNA-116118,5.863769994053078,5.07129587988774
GSM5718791,N15-243-RNA-116125,lung tumor tissue,non-squamous,N15-243-RNA-116125,6.972922364225416,4.4317847357213385
GSM5718792,N15-443-RNA-116119,lung tumor tissue,non-squamous,N15-443-RNA-116119,6.183954897458079,4.017729179564837
GSM5718793,N15-479-RNA-116127,lung tumor tissue,squamous,N15-479-RNA-116127,7.67728976369511,3.466071990003633
GSM5718794,N15-504-RNA-116126,lung tumor tissue,NA,N15-504-RNA-116126,7.380651535881273,4.9873175002433285
GSM5718795,N16-135-RNA-116123,lung tumor tissue,non-squamous,N16-135-RNA-116123,5.380483576583895,4.081078147667031
GSM5718796,N16-159-RNA-116131,lung tumor tissue,squamous,N16-159-RNA-116131,5.339960427167867,5.158451819305295
GSM5718802,N16-309-RNA-121159,lung tumor tissue,squamous,N16-309-RNA-121159,8.767442933189475,3.8123262211876687
GSM5718803,N16-45-RNA-116132,lung tumor tissue,squamous,N16-45-RNA-116132,5.956656101505462,3.3389226468767177
GSM5718804,N16-77-RNA-116120,lung tumor tissue,squamous,N16-77-RNA-116120,6.830724346946627,4.464135360012915
