sample,group,TACSTD2,CLDN4,TACSTD2_log,CLDN4_log
NSCLC 1,A,115.4530106,31.05916214,6.863604127061126,5.0026648163167415
NSCLC 2,A,76.58769989,85.04853821,6.277756052528864,6.427078778900699
NSCLC 3,A,349.519989,80.81700134,8.45335290850103,6.3543287571293465
NSCLC 4,A,36.26561356,29.87364197,5.2197731080066,4.948303773568949
NSCLC 5,A,68.91200256,76.01599884,6.127468255027248,6.267086268611284
NSCLC 6,A,26.42098045,21.97394562,4.777208251163679,4.5219267460119905
NSCLC 7,B,91.81500244,92.3259964,6.536286113564045,6.544207101508822
NSCLC 8,B,383.6288452,48.83664322,8.5873231512734,5.639134992844963
NSCLC 9,B,54.45034027,56.40093613,5.793124408373272,5.843002360344001
NSCLC 10,B,47.06336975,8.638068199,5.586865895065255,3.268744009628534
NSCLC 11,B,83.08047485,45.53429031,6.39369891192539,5.540222299898302
NSCLC 12,B,48.92499924,79.59300232,5.641690500594702,6.3325826736343425
NSCLC 13,B,182.3435669,89.40326691,7.518405835893624,6.498303003254542
NSCLC 14,B,138.3413696,136.0015106,7.122479838640103,7.098047990428511
NSCLC 15,B,82.01779938,177.7280579,6.375348784650621,7.481622325640938
NSCLC 16,B,53.51800156,50.57180786,5.768660773825793,5.688510715273063
NSCLC 17,C,9.996800423,62.6590004,3.4590119199707066,5.992292598243773
NSCLC 18,C,10.13099957,16.17000008,3.476511248207893,4.1018181409493435
NSCLC 19,C,8.433799744,9.894100189,3.237838976381132,3.445475135170719
NSCLC 20,C,23.88800049,31.22900009,4.637378423276368,5.010287524129499
NSCLC 21,C,133.0916443,18.73914528,7.067075530652231,4.302987616241852
NSCLC 22,C,35.90356445,8.612259865,5.2056882652646905,3.2648756518884006
