dataset,compartment,gene,outcome,n,n_group1,n_group2,effect,p_value,direction,note
GSE190266,tumor biopsy,CLDN4,6-month PFS (Cox per log2(TPM+1) / KM median-split),70,35,35,HR=0.917; logrank p=0.2105,0.1246,higher expr -> longer PFS,TACSTD2 not in deposited TPM matrix (16383 genes; CLDN4 present). PFS is 6-month truncated as deposited.
GSE190266,tumor biopsy,TACSTD2,6-month PFS,70,,,gene absent from deposited TPM matrix,,n/a,not computed
GSE190265,tumor biopsy,TACSTD2,histology (squamous vs non-squamous) — NOT an ICI endpoint,25,11,14,AUC_sq_vs_nsq=0.623; med_sq=6.544; med_nsq=6.024,0.3112,higher in squamous,No response/PFS deposited in GEO for this series.
GSE190265,tumor biopsy,CLDN4,histology (squamous vs non-squamous) — NOT an ICI endpoint,25,11,14,AUC_sq_vs_nsq=0.312; med_sq=3.957; med_nsq=4.272,0.1187,higher in non-squamous,No response/PFS deposited in GEO for this series.
GSE181820,tumor,TACSTD2,GEO group A/B/C (Kruskal–Wallis) — NOT a deposited ICI response,22,6,16,H=6.979; medA=6.203 medB=6.385 medC=4.057,0.0305,see medians,Group labels A/B/C are deposited; their biological meaning is not in series_matrix. Do not treat as ICI outcome.
GSE181820,tumor,CLDN4,GEO group A/B/C (Kruskal–Wallis) — NOT a deposited ICI response,22,6,16,H=6.599; medA=5.635 medB=6.088 medC=4.202,0.0369,see medians,Group labels A/B/C are deposited; their biological meaning is not in series_matrix. Do not treat as ICI outcome.
GSE146100,scRNA nodules (1 patient),TACSTD2,per-nodule mean (W2 responded vs W1/W3 non-responded),3,1,2,W1(non-responder) mean=0.0581 pct>0=0.040; W2(responder) mean=0.1066 pct>0=0.077; W3(non-responder) mean=0.3832 pct>0=0.234,"not tested (n=3 nodules, 1 patient)",descriptive only,No inferential test. Single-patient scRNA.
GSE146100,scRNA nodules (1 patient),CLDN4,per-nodule mean (W2 responded vs W1/W3 non-responded),3,1,2,W1(non-responder) mean=0.0613 pct>0=0.042; W2(responder) mean=0.0839 pct>0=0.063; W3(non-responder) mean=0.3278 pct>0=0.199,"not tested (n=3 nodules, 1 patient)",descriptive only,No inferential test. Single-patient scRNA.
GSE145896,PD-1+ TILs,TACSTD2,CD28+ vs CD28- subset (NOT patient ICI response),8,4,4,AUC(+ vs -)=0.375; med+=77.0; med-=101.5,0.6857,higher in CD28-,Paired subset RNA from same tumors; not a patient-level ICI endpoint.
GSE145896,PD-1+ TILs,CLDN4,CD28+ vs CD28- subset (NOT patient ICI response),8,4,4,AUC(+ vs -)=0.500; med+=182.5; med-=147.0,1.0,higher in CD28+,Paired subset RNA from same tumors; not a patient-level ICI endpoint.
GSE131933,ex-vivo NSCLC explant scRNA,TACSTD2/CLDN4,T1D7 file (958 MB),,,,gene symbols TACSTD2 and CLDN4 absent from this file,,n/a,Downloaded (no size skip). File uses gene symbols; targets not present.
GSE131933,ex-vivo explant Tumor cells,TACSTD2,descriptive mean by sample_treat (D0 / Durva / combo) — not patient ICI survival,771,,,T1D0 n=68 mean=1.3856 pct>0=0.691; T3D0 n=703 mean=3.0029 pct>0=0.997,"not tested (explant timepoints, not independent patients)",descriptive only,Durvalumab/tremelimumab applied ex vivo. Not a clinical ICI endpoint.
GSE131933,ex-vivo explant Tumor cells,CLDN4,descriptive mean by sample_treat — not patient ICI survival,771,,,T1D0 n=68 mean=0.9088 pct>0=0.456; T3D0 n=703 mean=2.9163 pct>0=0.996,"not tested (explant timepoints, not independent patients)",descriptive only,Durvalumab/tremelimumab applied ex vivo. Not a clinical ICI endpoint.
GSE184053,Temra (tumor vs blood),TACSTD2,expression magnitude (epithelial-null check),9,3,6,mean=0.4053; max=3.5346,not an ICI endpoint,near-zero as expected in T cells,No patient ICI response deposited.
GSE152590,PBMC CD8+ T cells (blood),TACSTD2/CLDN4,n/a,8,,,both genes absent from deposited TPM matrix (24530 genes; CLDN4 not among CLDN* listed),,n/a,Blood leftover revisited. Processed xlsx downloaded. No fabricate.
GSE141479,"PBMC CD8+ (blood, PD-1 treated)",TACSTD2/CLDN4,treatment timepoints deposited; no response/PFS,74,,,series_matrix uses probe IDs (TC*.hg.1); TACSTD2/CLDN4 symbols not present,,n/a,Blood leftover revisited (57 MB series_matrix downloaded). No symbol mapping invented.
GSE179994,T-cell scRNA (anti-PD-1 lung),TACSTD2,pre vs on-treatment only (no response/PFS in GEO),47,,,TACSTD2 string present in 441 MB RDS; patient-level matrix not extracted (R object). No stats invented.,,n/a,Large leftover downloaded (no size skip). T-cell compartment; epithelial genes not a valid ICI-outcome test without cell-type aggregation we did not fabricate.
GSE180347,LUAD tumor,TACSTD2/CLDN4,PD-L1 group deposited; no processed expression matrix,144,,,"suppl is RAW.tar only; series_matrix has metadata, no gene rows",,n/a,No open processed matrix. Not computed.
GSE173351,T cells / multi-site,TACSTD2/CLDN4,no processed expression matrix,212,,,RAW.tar only,,n/a,No open processed matrix. Not computed.
GSE176021,scRNA annotations,TACSTD2/CLDN4,response status IS deposited; no processed gene matrix,110,,,"suppl has annotation RDS + RAW.tar, no gene-expression matrix",,n/a,Would have been an ICI-response leftover if a processed matrix existed. Honest skip: no processed expression.
GSE136961,tumor (Oncomine 395-gene panel),TACSTD2/CLDN4,DCB/NDB + survival deposited,21,,,target genes absent from panel (first-pass verified),,n/a,Reconfirmed: cannot compute.
