sample,subset,TACSTD2,CLDN4
PD1_plus_CD28_plus_1,CD28+,76.0,170.0
PD1_plus_CD28_plus_2,CD28+,78.0,195.0
PD1_plus_CD28_plus_3,CD28+,108.0,258.0
PD1_plus_CD28_plus_4,CD28+,4.0,12.0
PD1_plus_CD28_minus_1,CD28-,146.0,171.0
PD1_plus_CD28_minus_2,CD28-,365.0,627.0
PD1_plus_CD28_minus_3,CD28-,57.0,123.0
PD1_plus_CD28_minus_4,CD28-,7.0,15.0
