stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments	marker
4T1_RTM28723893	4T1	RTM28723893	Mammary carcinoma	Mammary	False	False	False	False	3	3	8.727873243432926	8.404537390032823	8.77610223919473	8.4230230713266	-0.32333585340010274	-0.3530791678681293		Cldn4
4T1_XW33589424	4T1	XW33589424	Mammary carcinoma	Mammary	False	False	False	False	7	8	7.662185636111142	8.006047702440265	7.8739173898559	7.823374986596544	0.3438620663291232	-0.05054240325935577		Cldn4
B16_GSE106390	B16	GSE106390	Melanoma	Melanoma	False	False	False	False	3	3	0.0024503689583942998	0.0022642299185395664	0.0024275010708868	0.00227756734557	-0.00018613903985473332	-0.0001499337253168002		Cldn4
B16_GSE107670	B16	GSE107670	Melanoma	Melanoma	False	False	False	False	3	3	0.056253468344747266	0.003961712188137967	0.0038984612858426	0.003901338886657	-0.0522917561566093	2.8776008144000553e-06		Cldn4
B16_GSE149824	B16	GSE149824	Melanoma	Melanoma	False	False	False	False	2	6	0.0039599720928174004	0.004028104198881817	0.0039599720928174004	0.0040317431347602	6.813210606441619e-05	7.177104194279992e-05		Cldn4
B16_GSE85535	B16	GSE85535	Melanoma	Melanoma	False	False	False	False	4	3	0.0027687034562633005	0.0027038999124645666	0.0027591079283878998	0.002795335798482	-6.48035437987339e-05	3.622787009410029e-05		Cldn4
B16_SSG33589424	B16	SSG33589424	Melanoma	Melanoma	False	False	False	False	4	12	0.003346082663835125	0.0026284909563700502	0.00354235490029725	0.0026453981686543502	-0.0007175917074650749	-0.0008969567316428999		Cldn4
CT26_RTM28723893	CT26	RTM28723893	Colorectal carcinoma	Colorectal	False	False	False	False	3	3	0.0	0.0	0.0	0.0	0.0	0.0		Cldn4
EMT6_XW33589424	EMT6	XW33589424	Mammary carcinoma	Mammary	False	False	False	False	4	2	0.32349267197286824	0.1482348859708068	0.337205360980267	0.1482348859708068	-0.17525778600206143	-0.18897047500946018		Cldn4
KPC_RTM28723893	KPC	RTM28723893	Unknown	Other	False	False	False	False	3	3	2.3987227980986465	3.4733042093799136	2.43753483831203	3.41281674563256	1.074581411281267	0.9752819073205301		Cldn4
LLC_RTM28723893	LLC	RTM28723893	Lung carcinoma	Lung	True	True	False	False	9	11	0.0	0.0	0.0	0.0	0.0	0.0		Cldn4
MC38_RTM28723893	MC38	RTM28723893	Colorectal carcinoma	Colorectal	False	False	False	False	12	12	0.0	0.012235648289881365	0.0	0.0	0.012235648289881365	0.0		Cldn4
MOC1_RU31562203_LZ5733	MOC1	RU31562203_LZ5733	Unknown	Other	False	False	False	False	9	9	6.020601936115067	6.428949858926298	6.30892056022952	6.82237512736704	0.408347922811231	0.5134545671375195		Cldn4
