stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments
402230_GSE148856_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	0.062426122840972154	0.16170368606383562	0.0471920173235723	0.16738151036613774	0.09927756322286346	0.12018949304256545	antiPD1;isotype
402230_GSE148856_radiation_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	0.23825551047153581	0.15458144114316524	0.224304611504716	0.0693390930473855	-0.08367406932837057	-0.1549655184573305	antiPD1; radiation;;isotype; radiation;
4T1_GSE130472_old_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	6.069634781563109	6.056395227828862	6.10319272346033	6.10933822846104	-0.013239553734247345	0.006145505000709761	antiCTLA4; old;;isotype; old;
4T1_GSE130472_old_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	6.069634781563109	5.909861270494183	6.10319272346033	5.65230546565025	-0.15977351106892623	-0.45088725781007977	antiPDL1; old;;isotype; old;
4T1_GSE130472_young_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	12	5.477910590715585	5.0625940085278485	5.50943306211066	5.15621798179498	-0.4153165821877369	-0.35321508031567994	antiCTLA4; young;;isotype; young;
4T1_GSE130472_young_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	10	5.477910590715585	5.608436736607784	5.50943306211066	5.67991410956419	0.13052614589219846	0.17048104745352965	antiPDL1; young;;isotype; young;
4T1_GSE132529_antiPD1	4T1	GSE132529	Mammary carcinoma	Mammary	False	False	False	False	3	3	6.870862547908357	6.8577733306809465	6.69924746219443	6.96539942547292	-0.013089217227410188	0.26615196327848967	antiPD1;vehicle
4T1_GSE137818_Brca1_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	5	8.041262329779764	7.962424593227169	7.99579756340907	7.9664555545573	-0.07883773655259496	-0.02934200885176974	antiPD1;no_treatment
4T1_GSE137818_Brca2_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	3	7.650635802905315	7.725200165328396	7.61252217186314	7.73726729199355	0.0745643624230814	0.12474512013041039	antiPD1;no_treatment
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	Melanoma	False	False	False	False	3	3	0.0	0.0005918980905810334	0.0	0.0005535795256006	0.0005918980905810334	0.0005535795256006	antiPD1; antiCTLA4; intra&extracranial;;isotype; intra&extracranial;
