marker	stratum	location	n_pairs	n_up	n_down	n_tie	n_tested	binomial_p_two_sided	binomial_p_greater	wilcoxon_n	wilcoxon_stat	wilcoxon_p_two_sided	wilcoxon_p_greater	mean_delta	median_delta
Tacstd2	all	mean	64	49	15	0	64	2.436457216293327e-05	1.2182286081466635e-05	64	439.0	5.8398482923347564e-05	2.9199241461673782e-05	0.265392132370705	0.11606931339508711
Tacstd2	all	median	64	40	18	6	58	0.005354859650800294	0.002677429825400147	58	508.0	0.007135232107466571	0.0035676160537332856	0.18730493195441897	0.041838702291518454
Tacstd2	lung	mean	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.4286117432612462	0.4286117432612462
Tacstd2	lung	median	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.17010300903032913	0.17010300903032913
Tacstd2	kl_kp_llc	mean	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.4286117432612462	0.4286117432612462
Tacstd2	kl_kp_llc	median	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.17010300903032913	0.17010300903032913
Cldn4	all	mean	64	34	28	2	62	0.52577336017565	0.262886680087825	62	724.0	0.07667785136224303	0.038338925681121516	0.12922545394484863	0.03995156983503673
Cldn4	all	median	64	35	21	8	56	0.08142681460950618	0.04071340730475309	56	586.0	0.08375507672805667	0.041877538364028334	0.1401461239795371	0.01998268712979448
Cldn4	lung	mean	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.20714677084783334	0.20714677084783334
Cldn4	lung	median	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.05437317459559756	0.05437317459559756
Cldn4	kl_kp_llc	mean	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.20714677084783334	0.20714677084783334
Cldn4	kl_kp_llc	median	2	2	0	0	2	0.5	0.25	2	0.0	0.5	0.25	0.05437317459559756	0.05437317459559756
TJ	all	mean	64	37	27	0	64	0.26043547657665356	0.13021773828832678	64	784.0	0.08689644662558298	0.04344822331279149	0.04847844336434701	0.035499515451832
TJ	all	median	64	35	29	0	64	0.5323087760278422	0.2661543880139211	64	863.0	0.23653645931980605	0.11826822965990302	0.028845360878147833	0.023768423579570763
TJ	lung	mean	2	0	2	0	2	0.5	1.0	2	0.0	0.5	1.0	-0.14497593395945924	-0.14497593395945924
TJ	lung	median	2	0	2	0	2	0.5	1.0	2	0.0	0.5	1.0	-0.21965289508646407	-0.21965289508646407
TJ	kl_kp_llc	mean	2	0	2	0	2	0.5	1.0	2	0.0	0.5	1.0	-0.14497593395945924	-0.14497593395945924
TJ	kl_kp_llc	median	2	0	2	0	2	0.5	1.0	2	0.0	0.5	1.0	-0.21965289508646407	-0.21965289508646407
